訓練日期,20120801 - 20121102
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11285354.580000000074506
真實報酬,1285354.580000000074506

夏普值報酬,0.119835458000000
夏普值風險,0.041520756001746
夏普值,2.886157901242469

預期報酬,23198.273190199110104
風險,103907.935960264861933
趨勢值,0.223257954032215
找到最佳解世代,2759
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
GS[8](4),HD[9](1),JNJ[12](23),TRV[22](2),UNH[23](5),
Stock#,GS[8](4),HD[9](1),JNJ[12](23),TRV[22](2),UNH[23](5),
張數,19821,38328,28893,31923,39146,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,61.099999999860302,44.959999999962747,26.540000000037253,24.050000000046566,30.859999999869615,
20120801,1983944.989999999990687,1980836.000000000000000,2004622.879999999888241,2022346.100000000093132,2004697.520000000018626,9996447.490000000223517
20120802,1938753.109999999869615,1969720.879999999888241,1977752.390000000130385,2007023.060000000055879,2000391.459999999962747,9893640.899999998509884
20120803,2001585.679999999934807,2004216.079999999841675,1997110.700000000186265,2033838.380000000121072,2020355.919999999925494,10057106.759999999776483
20120806,2022199.519999999785796,1993100.959999999962747,1989020.660000000149012,2027773.010000000242144,1996476.859999999869615,10028571.009999999776483
20120807,2046381.139999999664724,2008432.159999999916181,1973129.510000000242144,2022984.560000000055879,2056761.699999999720603,10107689.070000000298023
20120808,2031713.599999999860302,2023380.079999999841675,1974863.089999999850988,2037030.680000000167638,2064199.439999999711290,10131186.889999998733401
20120809,2053516.699999999720603,2037178.159999999916181,1973996.299999999813735,2039584.520000000018626,2036405.780000000027940,10140681.459999999031425
20120810,2042020.519999999785796,2033728.640000000130385,1983242.060000000055879,2042457.589999999850988,2031708.259999999776483,10133157.070000000298023
20120813,2053714.909999999916181,2024529.919999999925494,1978041.319999999832362,2034476.839999999850988,2031708.259999999776483,10122471.250000000000000
20120814,2046777.560000000055879,2096969.840000000083819,1983242.060000000055879,2028411.469999999972060,2034448.479999999748543,10189849.410000000149012
20120815,2044200.829999999841675,2108084.959999999962747,1974863.089999999850988,2035115.300000000046566,2067722.579999999841675,10229986.759999999776483
20120816,2051336.389999999664724,2158294.640000000130385,1970529.140000000130385,2044053.739999999990687,2090035.799999999813735,10314249.710000000894070
20120817,2053516.699999999720603,2174392.399999999906868,1958971.939999999944121,2079169.039999999804422,2079857.840000000083819,10345907.919999999925494
20120820,2086815.979999999981374,2168259.919999999925494,1956082.640000000130385,2095449.770000000018626,2082598.060000000055879,10389206.370000001043081
20120821,2087608.819999999832362,2158677.919999999925494,1958394.080000000074506,2082361.340000000083819,2091210.179999999934807,10378252.339999999850988
20120822,2074725.169999999925494,2170942.879999999888241,1957527.290000000037253,2089384.400000000139698,2112740.479999999981374,10405320.220000000670552
20120823,2063030.779999999795109,2167493.359999999869615,1957238.359999999869615,2068634.449999999953434,2110783.180000000167638,10367180.130000000819564
20120824,2080473.259999999776483,2183207.839999999850988,1953193.339999999850988,2087788.250000000232831,2120178.219999999739230,10424840.910000000149012
20120827,2083644.619999999878928,2172092.720000000204891,1950015.109999999869615,2080765.190000000176951,2137793.919999999925494,10424311.559999998658895
20120828,2081860.729999999981374,2166726.799999999813735,1950592.970000000204891,2069911.370000000111759,2126833.039999999571592,10395924.910000000149012
20120829,2091771.229999999981374,2178608.479999999981374,1946547.950000000186265,2068634.449999999953434,2138968.299999999813735,10424530.410000000149012
20120830,2075716.219999999739230,2170176.319999999832362,1941925.069999999832362,2058738.319999999832362,2140925.599999999627471,10387481.529999999329448
20120831,2095537.219999999739230,2175158.959999999962747,1948281.530000000260770,2066719.069999999832362,2125658.659999999683350,10411355.439999999478459
20120904,2109213.709999999962747,2176692.080000000074506,1943369.720000000204891,2063526.770000000018626,2135836.620000000111759,10428638.899999998509884
20120905,2179181.839999999850988,2167110.080000000074506,1943658.649999999906868,2060015.239999999990687,2124875.739999999757856,10474841.550000000745058
20120906,2250537.440000000409782,2209654.159999999683350,1960127.660000000149012,2085872.870000000111759,2148754.799999999813735,10654946.929999999701977
20120907,2305838.030000000260770,2194706.239999999757856,1961283.379999999888241,2081722.879999999888241,2148363.339999999850988,10691913.869999999180436
20120910,2273133.379999999888241,2196239.359999999869615,1969951.280000000260770,2084915.180000000167638,2103736.899999999906868,10627976.100000001490116
20120911,2312973.589999999850988,2174009.120000000111759,1970529.140000000130385,2137268.900000000372529,2066939.659999999683350,10661720.410000000149012
20120912,2343696.139999999664724,2186657.359999999869615,1969084.490000000223517,2156103.470000000670552,2067722.579999999841675,10723264.040000000968575
20120913,2391861.169999999925494,2234567.359999999869615,1993354.609999999869615,2185153.400000000372529,2109608.799999999813735,10914545.339999999850988
20120914,2405537.660000000149012,2279027.839999999850988,1978330.250000000000000,2189303.389999999664724,2123701.359999999869615,10975900.500000000000000
20120917,2376599.000000000000000,2257947.439999999944121,1971973.790000000037253,2186111.089999999850988,2132704.939999999944121,10925336.259999999776483
20120918,2376202.580000000074506,2256031.040000000037253,1980641.689999999944121,2185472.629999999888241,2158149.839999999850988,10956497.780000001192093
20120919,2359156.519999999552965,2279411.120000000111759,1982086.339999999850988,2178130.339999999850988,2151103.560000000055879,10949887.880000000819564
20120920,2331605.330000000074506,2272128.799999999813735,1990754.240000000223517,2185153.400000000372529,2150712.099999999627471,10930353.869999999180436
20120921,2313568.219999999739230,2277494.720000000204891,1995377.120000000111759,2190261.080000000074506,2199253.139999999664724,10975954.280000001192093
20120924,2311189.700000000186265,2276344.879999999888241,1993643.540000000037253,2184195.709999999962747,2191423.939999999944121,10956797.769999999552965
20120925,2249744.599999999627471,2288993.120000000111759,2002889.299999999813735,2186111.089999999850988,2200036.060000000055879,10927774.169999999925494
20120926,2241419.780000000260770,2267912.720000000204891,1993643.540000000037253,2163764.990000000223517,2183594.739999999757856,10850335.770000001415610
20120927,2284034.929999999701977,2295125.600000000093132,1993932.470000000204891,2183876.479999999515712,2201601.899999999906868,10958571.380000000819564
20120928,2253312.379999999888241,2313906.319999999832362,1991043.169999999925494,2179088.030000000260770,2169110.719999999739230,10906460.619999997317791
20121001,2316343.160000000149012,2321571.919999999925494,1997399.629999999888241,2204945.660000000149012,2210214.020000000018626,11050474.390000000596046
20121002,2324073.349999999627471,2312373.199999999720603,1992487.819999999832362,2193134.150000000372529,2223523.659999999683350,11045592.179999999701977
20121003,2337155.209999999962747,2367565.520000000018626,1993643.540000000037253,2203030.280000000260770,2225872.419999999925494,11127266.970000000670552
20121004,2376599.000000000000000,2366415.680000000167638,2001444.649999999906868,2211649.490000000223517,2269324.479999999981374,11225433.300000000745058
20121005,2364904.610000000335276,2422374.560000000055879,2012423.990000000223517,2220587.929999999701977,2236441.839999999850988,11256732.929999999701977
20121008,2367877.759999999776483,2371781.600000000093132,2006356.459999999962747,2219949.470000000670552,2254840.459999999962747,11220805.750000000000000
20121009,2371247.330000000074506,2336136.560000000055879,1976596.669999999925494,2212926.410000000149012,2249751.479999999981374,11146658.450000001117587
20121010,2380166.780000000260770,2289759.680000000167638,1971107.000000000000000,2215480.250000000000000,2235658.919999999925494,11092172.630000000819564
20121011,2418024.889999999664724,2261780.239999999757856,1963883.750000000000000,2207818.729999999515712,2257189.219999999739230,11108696.829999998211861
20121012,2382545.299999999813735,2282860.640000000130385,1963883.750000000000000,2193772.610000000335276,2234093.080000000074506,11057155.380000000819564
20121015,2467775.599999999627471,2324638.159999999683350,1982086.339999999850988,2227930.220000000670552,2250534.399999999906868,11252964.720000000670552
20121016,2442404.719999999739230,2332687.040000000037253,2009534.689999999944121,2250276.320000000298023,2226655.339999999850988,11261558.109999999403954
20121017,2476100.419999999925494,2353000.879999999888241,2051429.540000000037253,2278687.790000000037253,2191815.399999999906868,11351034.029999999329448
20121018,2480659.250000000000000,2368715.359999999869615,2095346.899999999906868,2360410.669999999925494,2192598.319999999832362,11497730.500000000000000
20121019,2450333.120000000111759,2372164.879999999888241,2076277.520000000018626,2346683.780000000260770,2178897.219999999739230,11424356.519999999552965
