訓練日期,20120808 - 20121109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11296847.259999999776483
真實報酬,1296847.259999999776483

夏普值報酬,0.120984726000000
夏普值風險,0.040758558316443
夏普值,2.968326923162794

預期報酬,23249.649984839590616
風險,136309.008793320826953
趨勢值,0.170565762238738
找到最佳解世代,2370
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),V[25](8),
Stock#,HD[9](1),V[25](8),
張數,95419,153374,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,44.400000000372529,7.599999999627471,
20120808,5037213.410000000149012,5029141.059999999590218,10066354.469999998807907
20120809,5071564.250000000000000,4927914.219999999739230,9999478.469999998807907
20120810,5062976.540000000968575,4949386.580000000074506,10012363.120000001043081
20120813,5040075.980000000447035,4920245.519999999552965,9960321.500000000000000
20120814,5220417.890000000596046,4980061.379999999888241,10200479.269999999552965
20120815,5248089.400000000372529,4949386.580000000074506,10197475.980000000447035
20120816,5373088.290000000968575,4972392.679999999701977,10345480.970000000670552
20120817,5413164.270000000484288,4934049.179999999701977,10347213.449999999254942
20120820,5397897.230000000447035,4914110.559999999590218,10312007.789999999105930
20120821,5374042.480000000447035,4889570.719999999739230,10263613.199999999254942
20120822,5404576.560000000521541,4912576.819999999366701,10317153.379999998956919
20120823,5395988.850000000558794,4875767.059999999590218,10271755.910000000149012
20120824,5435110.640000000596046,4857362.179999999701977,10292472.820000000298023
20120827,5407439.130000000819564,4895705.679999999701977,10303144.810000000521541
20120828,5394080.470000000670552,4884969.500000000000000,10279049.970000000670552
20120829,5423660.360000000335276,4909509.339999998919666,10333169.699999999254942
20120830,5402668.179999999701977,4858895.919999999925494,10261564.099999999627471
20120831,5415072.650000000372529,4917178.040000000037253,10332250.690000001341105
20120904,5418889.410000000149012,4927914.219999999739230,10346803.629999998956919
20120905,5395034.660000000149012,4892638.199999999254942,10287672.859999999403954
20120906,5500949.750000000000000,4966257.719999999739230,10467207.469999998807907
20120907,5463736.339999999850988,4973926.419999999925494,10437662.759999999776483
20120910,5467553.100000000558794,4934049.179999999701977,10401602.280000001192093
20120911,5412210.080000000074506,5041410.979999999515712,10453621.059999998658895
20120912,5443698.350000000558794,5118097.979999999515712,10561796.330000000074506
20120913,5562972.100000000558794,5174846.360000000335276,10737818.460000000894070
20120914,5673658.140000000596046,5147239.040000000037253,10820897.179999999701977
20120917,5621177.690000000409782,5133435.379999999888241,10754613.070000000298023
20120918,5616406.740000000223517,5125766.679999999701977,10742173.419999999925494
20120919,5674612.330000000074506,5168711.400000000372529,10843323.730000000447035
20120920,5656482.720000000670552,5161042.699999999254942,10817525.419999999925494
20120921,5669841.380000000819564,5176380.099999999627471,10846221.480000000447035
20120924,5666978.810000000521541,5128834.159999999217689,10795812.969999998807907
20120925,5698467.080000000074506,5159508.959999999962747,10857976.039999999105930
20120926,5645986.630000000819564,5081288.219999999739230,10727274.850000001490116
20120927,5713734.120000001043081,5134969.119999999180436,10848703.240000000223517
20120928,5760489.429999999701977,5148772.779999999329448,10909262.209999999031425
20121001,5779573.230000000447035,5242330.919999999925494,11021904.150000000372529
20121002,5756672.669999999925494,5214723.599999999627471,10971396.269999999552965
20121003,5894076.030000000260770,5311349.219999999739230,11205425.250000000000000
20121004,5891213.460000000894070,5355827.679999999701977,11247041.140000000596046
20121005,6030525.200000000186265,5378833.779999999329448,11409358.980000000447035
20121008,5904572.120000001043081,5319017.919999999925494,11223590.040000000968575
20121009,5815832.450000000186265,5243864.659999999217689,11059697.109999999403954
20121010,5700375.460000000894070,5268404.500000000000000,10968779.960000000894070
20121011,5630719.589999999850988,5331287.839999998919666,10962007.429999999701977
20121012,5683200.040000000968575,5334355.319999999366701,11017555.359999999403954
20121015,5787206.750000000000000,5363496.379999999888241,11150703.129999998956919
20121016,5807244.740000000223517,5412576.059999999590218,11219820.800000000745058
20121017,5857816.810000000521541,5466256.959999999962747,11324073.769999999552965
20121018,5896938.600000000558794,5440183.379999999888241,11337121.980000000447035
20121019,5905526.310000000521541,5366563.860000000335276,11272090.170000001788139
20121022,5919839.160000000149012,5329754.099999999627471,11249593.259999999776483
20121023,5892167.650000000372529,5239263.439999999478459,11131431.089999999850988
20121024,5847320.720000000670552,5233128.479999999515712,11080449.199999999254942
20121025,5770985.520000000484288,5274539.459999999962747,11045524.980000000447035
20121026,5729001.160000000149012,5303680.519999999552965,11032681.679999999701977
20121031,5856862.620000001043081,5320551.659999999217689,11177414.280000001192093
20121101,5940831.339999999850988,5516870.379999999888241,11457701.719999998807907
20121102,5917930.780000000260770,5498465.500000000000000,11416396.280000001192093
20121105,5952281.620000001043081,5426379.719999999739230,11378661.339999999850988
20121106,5975182.179999999701977,5516870.379999999888241,11492052.559999998658895
20121107,5915068.210000000894070,5466256.959999999962747,11381325.170000001788139
20121108,5807244.740000000223517,5447852.080000000074506,11255096.820000000298023
20121109,5816786.640000000596046,5480060.619999999180436,11296847.259999999776483
