訓練日期,20120824 - 20121128
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11582256.919999999925494
真實報酬,1582256.919999999925494

夏普值報酬,0.149525692000000
夏普值風險,0.042331175801407
夏普值,3.532282984566447

預期報酬,24172.680907062400365
風險,154726.214902701467508
趨勢值,0.156228735526577
找到最佳解世代,2600
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
V[25](1),
Stock#,V[25](1),
張數,314564,
分配資金,10000000.000000000000000,
剩餘資金,10.439999999478459,
20120824,9962252.320000000298023,9962252.320000000298023
20120827,10040893.320000000298023,10040893.320000000298023
20120828,10018873.839999999850988,10018873.839999999850988
20120829,10069204.079999998211861,10069204.079999998211861
20120830,9965397.959999999031425,9965397.959999999031425
20120831,10084932.279999999329448,10084932.279999999329448
20120904,10106951.759999999776483,10106951.759999999776483
20120905,10034602.039999999105930,10034602.039999999105930
20120906,10185592.759999999776483,10185592.759999999776483
20120907,10201320.959999999031425,10201320.959999999031425
20120910,10119534.320000000298023,10119534.320000000298023
20120911,10339729.119999999180436,10339729.119999999180436
20120912,10497011.119999999180436,10497011.119999999180436
20120913,10613399.800000000745058,10613399.800000000745058
20120914,10556778.279999999329448,10556778.279999999329448
20120917,10528467.519999999552965,10528467.519999999552965
20120918,10512739.320000000298023,10512739.320000000298023
20120919,10600817.240000000223517,10600817.240000000223517
20120920,10585089.039999999105930,10585089.039999999105930
20120921,10616545.439999999478459,10616545.439999999478459
20120924,10519030.599999999627471,10519030.599999999627471
20120925,10581943.400000000372529,10581943.400000000372529
20120926,10421515.759999999776483,10421515.759999999776483
20120927,10531613.159999998286366,10531613.159999998286366
20120928,10559923.919999999925494,10559923.919999999925494
20121001,10751807.959999999031425,10751807.959999999031425
20121002,10695186.439999999478459,10695186.439999999478459
20121003,10893361.759999999776483,10893361.759999999776483
20121004,10984585.320000000298023,10984585.320000000298023
20121005,11031769.919999999925494,11031769.919999999925494
20121008,10909089.959999999031425,10909089.959999999031425
20121009,10754953.599999999627471,10754953.599999999627471
20121010,10805283.839999999850988,10805283.839999999850988
20121011,10934255.079999998211861,10934255.079999998211861
20121012,10940546.359999999403954,10940546.359999999403954
20121015,11000313.519999999552965,11000313.519999999552965
20121016,11100974.000000000000000,11100974.000000000000000
20121017,11211071.400000000372529,11211071.400000000372529
20121018,11157595.519999999552965,11157595.519999999552965
20121019,11006604.800000000745058,11006604.800000000745058
20121022,10931109.439999999478459,10931109.439999999478459
20121023,10745516.679999997839332,10745516.679999997839332
20121024,10732934.119999999180436,10732934.119999999180436
20121025,10817866.400000000372529,10817866.400000000372529
20121026,10877633.559999998658895,10877633.559999998658895
20121031,10912235.599999999627471,10912235.599999999627471
20121101,11314877.519999999552965,11314877.519999999552965
20121102,11277129.839999999850988,11277129.839999999850988
20121105,11129284.759999999776483,11129284.759999999776483
20121106,11314877.519999999552965,11314877.519999999552965
20121107,11211071.400000000372529,11211071.400000000372529
20121108,11173323.720000000670552,11173323.720000000670552
20121109,11239382.159999998286366,11239382.159999998286366
20121112,11264547.279999999329448,11264547.279999999329448
20121113,11201634.479999998584390,11201634.479999998584390
20121114,11006604.800000000745058,11006604.800000000745058
20121115,11009750.439999999478459,11009750.439999999478459
20121116,11223653.959999999031425,11223653.959999999031425
20121119,11453285.679999997839332,11453285.679999997839332
20121120,11509907.200000001117587,11509907.200000001117587
20121121,11535072.320000000298023,11535072.320000000298023
20121123,11648315.359999999403954,11648315.359999999403954
20121126,11579111.279999999329448,11579111.279999999329448
20121127,11544509.240000000223517,11544509.240000000223517
20121128,11582256.919999999925494,11582256.919999999925494
