訓練日期,20130130 - 20130502
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11456673.629999998956919
真實報酬,1456673.629999998956919

夏普值報酬,0.136967363000000
夏普值風險,0.043629324873503
夏普值,3.139341793555500

預期報酬,24090.092894571065699
風險,62042.835342164711619
趨勢值,0.388281624489190
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](2),TRV[22](3),VZ[26](1),
Stock#,JNJ[12](2),TRV[22](3),VZ[26](1),
張數,44796,42839,76628,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,62.640000000130385,30.409999999683350,15.000000000000000,
20130130,3318998.280000000260770,3323480.029999999795109,3341762.080000000074506,9984241.390000000596046
20130131,3311382.960000000428408,3361178.349999999627471,3341762.080000000074506,10014324.390000000596046
20130201,3323029.920000000391155,3422438.119999999646097,3414558.680000000167638,10160027.720000000670552
20130204,3319894.200000000186265,3341472.409999999683350,3411493.560000000055879,10072861.169999999925494
20130205,3344532.000000000000000,3369317.759999999776483,3414558.680000000167638,10128409.439999999478459
20130206,3377233.080000000074506,3382597.849999999627471,3429118.000000000000000,10188949.929999999701977
20130207,3362450.400000000372529,3389452.089999999850988,3406895.879999999888241,10158799.370000001043081
20130208,3381264.720000000204891,3378313.949999999720603,3398466.800000000279397,10158046.470000000670552
20130211,3378129.000000000000000,3393307.599999999627471,3396167.959999999962747,10167605.559999998658895
20130212,3395599.439999999944121,3422866.509999999776483,3405363.319999999832362,10223830.269999999552965
20130213,3389328.000000000000000,3426722.019999999552965,3411493.560000000055879,10227544.580000000074506
20130214,3396047.400000000372529,3441715.669999999925494,3396934.239999999757856,10234698.310000000521541
20130215,3411726.000000000000000,3443857.619999999646097,3402298.199999999720603,10257882.819999998435378
20130219,3447562.799999999813735,3452853.809999999590218,3409961.000000000000000,10310378.609999999403954
20130220,3433676.040000000502914,3431862.699999999720603,3442144.760000000242144,10307684.500000000000000
20130221,3443531.160000000149012,3443429.229999999515712,3457470.359999999869615,10344431.750000000000000
20130222,3415757.640000000130385,3470417.799999999813735,3478926.199999999720603,10365102.639999998733401
20130225,3385296.359999999869615,3395021.159999999683350,3503447.159999999683350,10283765.679999999701977
20130226,3393359.640000000130385,3428863.969999999739230,3534098.359999999869615,10356322.969999998807907
20130227,3418893.359999999869615,3460564.829999999608845,3551722.800000000279397,10431181.990000000223517
20130228,3409486.200000000186265,3445142.789999999571592,3565515.840000000316650,10420145.830000000074506
20130301,3435915.840000000316650,3456709.319999999366701,3580075.159999999683350,10472701.320000000298023
20130304,3458313.840000000316650,3449426.689999999478459,3609960.080000000074506,10517701.609999999403954
20130305,3478920.000000000000000,3489695.349999999627471,3654404.319999999832362,10623020.669999999925494
20130306,3466825.080000000074506,3472988.139999999199063,3622986.840000000316650,10562801.059999998658895
20130307,3482951.640000000130385,3478557.209999999962747,3638312.439999999944121,10599822.289999999105930
20130308,3502661.879999999888241,3497834.759999999776483,3675093.879999999888241,10675591.519999999552965
20130311,3513860.879999999888241,3502118.659999999683350,3663599.680000000167638,10679580.219999998807907
20130312,3519236.400000000372529,3501690.269999999552965,3705745.080000000074506,10726672.750000000000000
20130313,3518788.439999999944121,3517969.089999999850988,3673561.319999999832362,10710319.849999999627471
20130314,3543426.239999999757856,3528250.449999999720603,3714940.439999999944121,10786618.129999998956919
20130315,3547457.879999999888241,3524823.329999999608845,3679691.560000000055879,10751973.769999999552965
20130318,3530435.400000000372529,3535533.079999999608845,3735630.000000000000000,10801599.480000000447035
20130319,3532675.200000000186265,3563806.819999999366701,3750955.600000000093132,10847438.619999999180436
20130320,3559104.840000000316650,3591652.169999999925494,3724135.800000000279397,10874893.810000000521541
20130321,3539394.600000000558794,3587796.659999999683350,3739461.399999999906868,10866653.660000000149012
20130322,3572095.679999999701977,3585226.319999999366701,3756319.560000000055879,10913642.559999998658895
20130325,3569407.920000000391155,3571517.839999999850988,3767047.479999999515712,10907974.239999998360872
20130326,3621819.239999999757856,3571089.449999999720603,3791568.439999999944121,10984478.129999998956919
20130327,3640633.560000000055879,3571517.839999999850988,3750189.319999999832362,10962341.720000000670552
20130328,3652280.520000000018626,3606645.819999999366701,3766281.199999999720603,11025208.539999999105930
20130401,3670198.920000000391155,3596364.459999999962747,3771645.159999999683350,11038209.540000000968575
20130402,3704243.879999999888241,3616070.399999999441206,3793101.000000000000000,11113416.279999999329448
20130403,3676470.359999999869615,3586511.489999999757856,3754020.720000000204891,11017003.570000000298023
20130404,3691701.000000000000000,3613071.669999999925494,3777775.399999999906868,11082549.070000000298023
20130405,3675126.480000000447035,3616070.399999999441206,3797698.680000000167638,11088896.560000000521541
20130408,3633466.200000000186265,3629778.879999999888241,3787737.040000000037253,11050983.120000001043081
20130409,3651832.560000000055879,3652911.939999999478459,3782373.080000000074506,11087118.580000000074506
20130410,3674230.560000000055879,3633206.000000000000000,3820687.080000000074506,11128124.640000000596046
20130411,3687669.359999999869615,3686754.750000000000000,3870495.279999999795109,11244920.389999998733401
20130412,3706483.679999999701977,3695322.549999999813735,3897315.080000000074506,11299122.309999998658895
20130415,3660343.799999999813735,3628922.099999999627471,3880456.919999999925494,11169723.820000000298023
20130416,3737840.879999999888241,3707745.859999999403954,3866663.879999999888241,11312251.619999999180436
20130417,3758447.040000000502914,3644344.139999999199063,3796166.120000000111759,11198958.300000000745058
20130418,3726193.920000000391155,3602790.309999999590218,3901146.479999999515712,11230131.710000000894070
20130419,3784876.679999999701977,3633206.000000000000000,4003828.000000000000000,11421911.679999999701977
20130422,3800107.319999999832362,3623353.029999999795109,3999230.319999999832362,11422691.669999999925494
20130423,3827880.840000000316650,3699178.059999999590218,4009191.959999999962747,11536251.859999999403954
20130424,3780397.080000000074506,3678186.949999999720603,3969345.399999999906868,11427930.429999999701977
20130425,3817577.760000000242144,3652911.939999999478459,4078157.159999999683350,11548647.859999999403954
20130426,3813098.160000000149012,3647771.259999999776483,4109574.640000000130385,11570445.060000000521541
20130429,3833704.319999999832362,3661908.129999999888241,4096547.879999999888241,11592161.329999998211861
20130430,3818025.720000000204891,3658909.399999999441206,4131030.479999999515712,11607966.599999997764826
20130501,3773229.720000000204891,3602790.309999999590218,4015322.199999999720603,11391343.229999998584390
20130502,3814890.000000000000000,3616498.789999999571592,4025283.840000000316650,11456673.629999998956919
