訓練日期,20130320 - 20130620
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11290540.839999999850988
真實報酬,1290540.839999999850988

夏普值報酬,0.120354084000000
夏普值風險,0.045866095547175
夏普值,2.624031598159700

預期報酬,27161.828803181546391
風險,103215.467234980998910
趨勢值,0.263156574598890
找到最佳解世代,2536
找到最佳解實驗#,7
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
Stock#,AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
張數,30707,23389,94607,45766,36251,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,53.090000000083819,6.609999999869615,8.020000000018626,25.799999999813735,32.329999999841675,
20130320,2026715.090000000083819,1996725.540000000037253,2003784.280000000027940,2019221.719999999739230,1989487.209999999962747,10035933.839999999850988
20130321,2008597.959999999962747,1972400.979999999748543,1990539.300000000046566,2004118.939999999711290,1996012.389999999897555,9971669.569999998435378
20130322,2033470.630000000121072,1983861.589999999618158,2017975.329999999841675,2009153.199999999720603,1974261.789999999804422,10018722.539999999105930
20130325,2029785.789999999804422,1984563.259999999776483,2000946.069999999832362,1999542.339999999618158,1988762.189999999711290,10003599.649999998509884
20130326,2062642.280000000027940,2025961.790000000037253,2059602.409999999916181,2031578.539999999804422,2017400.479999999748543,10197185.500000000000000
20130327,2062028.140000000363216,2016138.409999999916181,2065278.829999999841675,2018306.399999999906868,2052563.949999999720603,10214315.729999998584390
20130328,2071547.309999999823049,2007952.259999999776483,2066224.899999999906868,2022883.000000000000000,2073952.039999999804422,10242559.509999997913837
20130401,2065405.910000000149012,1993918.859999999869615,2027436.030000000027940,2029747.899999999906868,2137753.799999999813735,10254262.500000000000000
20130402,2077074.570000000065193,1966787.619999999878928,2030274.239999999990687,2055376.859999999636784,2238169.070000000298023,10367682.359999999403954
20130403,2034391.840000000083819,1973102.649999999906868,1991485.370000000111759,2075971.559999999823049,2235631.500000000000000,10310582.919999999925494
20130404,2049131.200000000186265,1986902.159999999916181,2000000.000000000000000,2074140.919999999925494,2248681.860000000335276,10358856.140000000596046
20130405,2005220.189999999944121,2015436.739999999990687,1981078.600000000093132,2065445.379999999888241,2251219.429999999701977,10318400.339999999850988
20130408,2014432.289999999804422,2029002.359999999869615,1995269.649999999906868,2081463.479999999748543,2243606.719999999739230,10363774.499999998137355
20130409,2002763.630000000121072,2039761.299999999813735,2057710.270000000018626,2082836.459999999729916,2254119.509999999776483,10437191.169999998062849
