訓練日期,20130401 - 20130701
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11520475.839999999850988
真實報酬,1520475.839999999850988

夏普值報酬,0.143347584000000
夏普值風險,0.049297767499983
夏普值,2.907790580984226

預期報酬,27051.896327336791728
風險,165202.759116253699176
趨勢值,0.163749664182668
找到最佳解世代,1833
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](7),INTC[11](3),UNH[23](5),
Stock#,BA[2](1),CSCO[4](7),INTC[11](3),UNH[23](5),
張數,29120,119617,114468,43698,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,48.000000000000000,4.700000000186265,18.879999999888241,37.419999999925494,
20130401,2482528.000000000000000,2491626.810000000055879,2453068.119999999646097,2576908.479999999981374,10004131.410000000149012
20130402,2448748.800000000279397,2538277.439999999944121,2456502.160000000149012,2697951.939999999944121,10141480.339999999850988
20130403,2456611.200000000186265,2535885.100000000093132,2409570.279999999795109,2694893.080000000074506,10096959.660000000149012
20130404,2473792.000000000000000,2516746.379999999888241,2419872.399999999906868,2710624.359999999869615,10121035.139999998733401
20130405,2509318.399999999906868,2465311.070000000298023,2396978.799999999813735,2713683.220000000204891,10085291.490000000223517
20130408,2526208.000000000000000,2460526.390000000130385,2414149.000000000000000,2704506.640000000130385,10105390.030000001192093
20130409,2539603.199999999720603,2508373.189999999944121,2489697.879999999888241,2717179.060000000055879,10254853.330000000074506
20130410,2557366.399999999906868,2568181.689999999944121,2548076.560000000055879,2727229.599999999627471,10400854.250000000000000
20130411,2578041.600000000093132,2594497.430000000167638,2498855.319999999832362,2752137.459999999962747,10423531.809999998658895
20130412,2588524.799999999813735,2576554.879999999888241,2481685.119999999646097,2754322.359999999869615,10401087.159999998286366
20130415,2526790.399999999906868,2517942.550000000279397,2447344.719999999739230,2691397.240000000223517,10183474.910000000149012
20130416,2530284.799999999813735,2531100.420000000391155,2509157.439999999944121,2744708.799999999813735,10315251.460000000894070
20130417,2524460.799999999813735,2467703.410000000149012,2510302.119999999646097,2710624.359999999869615,10213090.689999999478459
20130418,2507862.399999999906868,2461722.560000000055879,2545787.199999999720603,2608371.040000000037253,10123743.199999999254942
20130419,2561443.199999999720603,2447368.520000000484288,2568680.799999999813735,2623665.339999999850988,10201157.859999999403954
20130422,2531740.799999999813735,2462918.729999999981374,2619046.719999999739230,2587832.979999999981374,10201539.229999998584390
20130423,2567849.600000000093132,2501196.170000000391155,2676280.719999999739230,2558118.339999999850988,10303444.830000000074506
20130424,2645017.600000000093132,2438995.330000000074506,2708331.759999999776483,2569042.839999999850988,10361387.529999999329448
20130425,2669478.399999999906868,2468899.580000000074506,2676280.719999999739230,2593076.740000000223517,10407735.440000001341105
20130426,2703840.000000000000000,2472488.090000000316650,2678570.079999999608845,2599194.459999999962747,10454092.629999998956919
20130429,2676176.000000000000000,2509569.360000000335276,2719778.560000000055879,2622354.399999999906868,10527878.320000000298023
20130430,2661907.199999999720603,2502392.340000000316650,2741527.479999999981374,2618858.560000000055879,10524685.580000000074506
20130501,2655209.600000000093132,2437799.160000000149012,2746106.199999999720603,2609681.979999999981374,10448796.939999999478459
20130502,2685203.199999999720603,2479665.110000000335276,2759842.359999999869615,2599194.459999999962747,10523905.129999998956919
20130503,2729756.799999999813735,2491626.810000000055879,2742672.160000000149012,2574723.580000000074506,10538779.349999999627471
20130506,2742860.799999999813735,2489234.470000000204891,2736948.759999999776483,2630657.020000000018626,10599701.049999998882413
20130507,2760332.800000000279397,2437799.160000000149012,2764421.079999999608845,2643766.419999999925494,10606319.460000000894070
