訓練日期,20130523 - 20130823
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11209166.120000001043081
真實報酬,1209166.120000001043081

夏普值報酬,0.112216612000000
夏普值風險,0.041870899940557
夏普值,2.680062099436890

預期報酬,22153.440076015591330
風險,189317.349060457810992
趨勢值,0.117017485116702
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),UNH[23](1),
Stock#,BA[2](2),UNH[23](1),
張數,51056,80282,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,85.919999999925494,37.040000000037253,
20130523,5092921.919999999925494,5006422.559999999590218,10099344.480000000447035
20130524,5105685.919999999925494,4982337.959999999962747,10088023.879999998956919
20130528,5111302.080000000074506,5085098.919999999925494,10196401.000000000000000
20130529,5059224.959999999962747,5085901.740000000223517,10145126.699999999254942
20130530,5133256.160000000149012,5191071.160000000149012,10324327.320000000298023
20130531,5055651.040000000037253,5028098.700000000186265,10083749.740000000223517
20130603,5143467.359999999403954,5041746.639999999664724,10185214.000000000000000
20130604,5085774.080000000074506,5006422.559999999590218,10092196.640000000596046
20130605,5028591.359999999403954,4957450.540000000037253,9986041.899999998509884
20130606,5093432.480000000447035,4971098.480000000447035,10064530.960000000894070
20130607,5232815.359999999403954,5023281.780000000260770,10256097.140000000596046
20130610,5220051.359999999403954,5112394.799999999813735,10332446.160000000149012
20130611,5195033.919999999925494,5132465.299999999813735,10327499.219999998807907
20130612,5150615.199999999254942,5124437.099999999627471,10275052.299999998882413
20130613,5215966.879999999888241,5150127.340000000782311,10366094.220000000670552
20130614,5199118.399999999441206,5122028.639999999664724,10321147.039999999105930
20130617,5260385.599999999627471,5167789.380000000819564,10428174.980000000447035
20130618,5313994.399999999441206,5272958.800000000745058,10586953.199999999254942
20130619,5220561.919999999925494,5239240.360000000335276,10459802.280000001192093
20130620,5087305.759999999776483,5122028.639999999664724,10209334.399999998509884
20130621,5104664.799999999813735,5130056.839999999850988,10234721.640000000596046
20130624,4995915.519999999552965,5190268.340000000782311,10186183.859999999403954
20130625,5037781.440000000409782,5116408.899999999441206,10154190.339999999850988
20130626,5143977.919999999925494,5200705.000000000000000,10344682.919999999925494
20130627,5266512.320000000298023,5305874.419999999925494,10572386.740000000223517
20130628,5230262.559999999590218,5256902.400000000372529,10487164.960000000894070
20130701,5271107.359999999403954,5268944.699999999254942,10540052.059999998658895
20130702,5180738.240000000223517,5240043.179999999701977,10420781.419999999925494
20130703,5253237.759999999776483,5261719.320000000298023,10514957.080000000074506
20130705,5320121.120000000111759,5312296.980000000447035,10632418.100000001490116
20130708,5328800.640000000596046,5423888.959999999962747,10752689.600000001490116
20130709,5344628.000000000000000,5456804.580000000074506,10801432.580000000074506
20130710,5386493.919999999925494,5434325.620000000111759,10820819.539999999105930
20130711,5456951.199999999254942,5488114.559999999590218,10945065.759999997913837
20130712,5201160.640000000596046,5459213.040000000037253,10660373.679999999701977
20130715,5394662.879999999888241,5428705.880000000819564,10823368.760000001639128
20130716,5321652.799999999813735,5371705.660000000149012,10693358.460000000894070
20130717,5350244.160000000149012,5317113.900000000372529,10667358.060000000521541
20130718,5495243.199999999254942,5663932.139999999664724,11159175.339999999850988
20130719,5461035.679999999701977,5736185.940000000409782,11197221.620000001043081
20130722,5455930.080000000074506,5794791.800000000745058,11250721.880000000819564
20130723,5503412.160000000149012,5835735.620000000111759,11339147.780000001192093
20130724,5460525.120000000111759,5822890.500000000000000,11283415.620000001043081
20130725,5447761.120000000111759,5830115.880000000819564,11277877.000000000000000
20130726,5391599.519999999552965,5797200.259999999776483,11188799.779999999329448
20130729,5351265.280000000260770,5843763.820000000298023,11195029.100000001490116
20130730,5398236.799999999813735,5802017.179999999701977,11200253.980000000447035
20130731,5366071.519999999552965,5848580.739999999292195,11214652.259999997913837
20130801,5447761.120000000111759,5873468.160000000149012,11321229.280000001192093
20130802,5509028.320000000298023,5801214.360000000335276,11310242.679999999701977
20130805,5488605.919999999925494,5887918.919999999925494,11376524.839999999850988
20130806,5465120.160000000149012,5879890.719999999739230,11345010.879999998956919
20130807,5433465.440000000409782,5854200.480000000447035,11287665.920000001788139
20130808,5403852.959999999962747,5875073.800000000745058,11278926.760000001639128
20130809,5377814.399999999441206,5855003.300000000745058,11232817.699999999254942
20130812,5322163.359999999403954,5811651.020000000484288,11133814.379999998956919
20130813,5423764.799999999813735,5888721.739999999292195,11312486.539999999105930
20130814,5318078.879999999888241,5819679.219999999739230,11137758.099999999627471
20130815,5245068.799999999813735,5732171.840000000782311,10977240.640000000596046
20130816,5282850.240000000223517,5734580.300000000745058,11017430.540000000968575
20130819,5346670.240000000223517,5757059.259999999776483,11103729.500000000000000
20130820,5342075.199999999254942,5817270.759999999776483,11159345.959999999031425
20130821,5305314.879999999888241,5768298.739999999292195,11073613.619999999180436
20130822,5368113.759999999776483,5777932.580000000074506,11146046.339999999850988
20130823,5385472.799999999813735,5823693.320000000298023,11209166.120000001043081
