訓練日期,20130821 - 20131120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11763211.740000000223517
真實報酬,1763211.740000000223517

夏普值報酬,0.167621174000000
夏普值風險,0.054565339726630
夏普值,3.071934946978702

預期報酬,30745.381371803778165
風險,133325.209789239102975
趨勢值,0.230604410226739
找到最佳解世代,1661
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](12),MSFT[18](8),NKE[19](1),
Stock#,BA[2](2),DD[7](12),MSFT[18](8),NKE[19](1),
張數,23893,47510,79063,77351,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,75.410000000149012,23.800000000279397,27.939999999944121,15.680000000167638,
20130821,2482797.040000000037253,2512827.700000000186265,2499209.370000000111759,2480662.250000000000000,9975496.359999999403954
20130822,2512185.430000000167638,2516153.400000000372529,2560878.509999999776483,2508508.610000000335276,10097725.949999999254942
20130823,2520309.050000000279397,2621150.500000000465661,2747467.189999999944121,2482982.780000000260770,10371909.519999999552965
20130826,2521503.700000000186265,2614974.200000000186265,2700029.389999999664724,2472153.640000000130385,10308660.929999999701977
20130827,2466071.939999999944121,2541333.700000000186265,2629663.319999999832362,2429610.590000000316650,10066679.550000000745058
20130828,2467505.520000000018626,2533732.100000000093132,2610688.200000000186265,2451268.870000000111759,10063194.690000001341105
20130829,2507167.900000000372529,2538483.100000000093132,2652591.589999999850988,2455136.419999999925494,10153379.009999999776483
20130830,2483035.970000000204891,2530406.400000000372529,2640732.139999999664724,2429610.590000000316650,10083785.100000001490116
20130903,2509079.340000000316650,2533257.000000000465661,2520556.379999999888241,2486850.330000000074506,10049743.050000000745058
20130904,2541573.820000000298023,2556061.800000000279397,2466793.540000000037253,2519337.750000000000000,10083766.910000000149012
20130905,2548263.860000000335276,2598820.800000000279397,2469956.059999999590218,2528619.870000000111759,10145660.589999999850988
20130906,2534405.919999999925494,2608797.899999999906868,2462840.389999999664724,2513149.670000000391155,10119193.880000000819564
20130909,2561166.080000000074506,2625901.500000000465661,2503162.520000000018626,2529393.380000000353903,10219623.480000000447035
20130910,2584581.220000000204891,2705243.200000000186265,2560878.509999999776483,2584312.589999999850988,10435015.519999999552965
20130911,2609907.800000000279397,2696216.300000000279397,2588550.560000000055879,2614479.479999999981374,10509154.140000000596046
20130912,2623526.810000000055879,2629227.200000000651926,2584597.409999999683350,2633043.720000000204891,10470395.140000000596046
20130913,2660083.100000000093132,2697641.600000000558794,2611478.830000000074506,2626855.640000000130385,10596059.170000001788139
20130916,2763778.720000000204891,2692890.600000000093132,2593294.339999999850988,2637684.780000000260770,10687648.440000001341105
20130917,2798184.640000000130385,2686714.300000000279397,2603572.529999999795109,2642325.839999999850988,10730797.310000000521541
20130918,2829006.610000000335276,2764630.700000000186265,2634407.100000000093132,2687189.420000000391155,10915233.830000000074506
20130919,2844298.130000000353903,2747527.100000000093132,2659707.259999999776483,2687962.930000000167638,10939495.419999999925494
20130920,2786716.000000000000000,2686239.200000000186265,2592503.709999999962747,2683321.870000000111759,10748780.780000001192093
20130923,2807741.840000000316650,2654882.600000000558794,2588550.560000000055879,2667851.670000000391155,10719026.670000001788139
20130924,2843342.410000000149012,2646330.800000000279397,2566412.919999999925494,2685642.399999999906868,10741728.530000001192093
20130925,2831634.840000000316650,2696691.400000000372529,2570366.069999999832362,2665531.140000000130385,10764223.450000001117587
20130926,2852421.750000000000000,2705718.300000000279397,2590922.450000000186265,2720450.350000000093132,10869512.850000001490116
20130927,2837130.229999999981374,2640154.500000000465661,2630453.950000000186265,2848079.500000000000000,10955818.179999999701977
20130930,2807502.910000000149012,2598345.700000000186265,2631244.580000000074506,2809404.000000000000000,10846497.190000001341105
20131001,2813476.160000000149012,2592169.400000000372529,2654963.479999999981374,2800895.390000000130385,10861504.430000001564622
20131002,2815626.530000000260770,2618299.900000000372529,2681844.899999999906868,2780784.130000000353903,10896555.460000000894070
20131003,2753504.729999999981374,2623050.900000000372529,2677101.120000000111759,2770728.500000000000000,10824385.250000000000000
20131004,2800335.010000000242144,2705718.300000000279397,2678682.380000000353903,2790066.250000000000000,10974801.940000001341105
20131007,2788149.580000000074506,2662484.200000000186265,2632825.839999999850988,2759125.850000000093132,10842585.470000000670552
20131008,2758283.330000000074506,2606422.400000000372529,2609897.569999999832362,2718129.820000000298023,10692733.120000001043081
20131009,2735107.120000000111759,2633503.100000000093132,2614641.350000000093132,2742108.630000000353903,10725360.200000001117587
20131010,2840953.110000000335276,2733274.100000000558794,2669194.819999999832362,2840344.399999999906868,11083766.430000001564622
20131011,2818971.550000000279397,2778883.700000000186265,2698448.130000000353903,2841117.910000000149012,11137421.290000000968575
20131014,2854333.189999999944121,2761780.100000000558794,2723748.290000000037253,2864323.210000000428408,11204184.790000000968575
20131015,2823750.150000000372529,2735649.600000000093132,2726910.810000000055879,2850400.030000000260770,11136710.589999999850988
20131016,2875359.030000000260770,2782684.500000000465661,2738770.259999999776483,2882113.939999999944121,11278927.730000000447035
20131017,2921950.380000000353903,2800263.200000000186265,2760907.899999999906868,2882887.450000000186265,11366008.929999999701977
20131018,2927445.770000000018626,2795037.100000000093132,2764070.419999999925494,2937033.149999999906868,11423586.439999999478459
20131021,2902358.120000000111759,2798362.800000000279397,2766442.310000000055879,2943221.229999999981374,11410384.460000000894070
