訓練日期,20130913 - 20131213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11294590.190000001341105
真實報酬,1294590.190000001341105

夏普值報酬,0.120759019000000
夏普值風險,0.044738815954365
夏普值,2.699200155926742

預期報酬,25794.739334223035257
風險,109301.058435635510250
趨勢值,0.235997159619574
找到最佳解世代,2452
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),BA[2](3),MRK[17](24),MSFT[18](2),NKE[19](1),
Stock#,AAPL[0](4),BA[2](3),MRK[17](24),MSFT[18](2),NKE[19](1),
張數,29616,18214,41797,61180,58754,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.520000000018626,102.800000000046566,13.550000000046566,25.800000000046566,13.840000000083819,
20130913,1966830.079999999841675,2027867.419999999925494,1997492.179999999934807,2020801.200000000186265,1995299.680000000167638,10008290.560000000521541
20130916,1904340.319999999832362,2106916.179999999701977,2014210.979999999981374,2006729.799999999813735,2003525.240000000223517,10035722.519999999552965
20130917,1926552.319999999832362,2133144.339999999850988,2006687.520000000018626,2014683.199999999953434,2007050.479999999981374,10088117.859999999403954
20130918,1965941.599999999860302,2156640.400000000372529,2022988.350000000093132,2038543.400000000139698,2041127.800000000279397,10225241.550000000745058
20130919,1998223.040000000037253,2168297.360000000335276,2017136.770000000018626,2058121.000000000000000,2041715.340000000083819,10283493.509999999776483
20130920,1977491.839999999850988,2124401.620000000111759,2006687.520000000018626,2006118.000000000000000,2038190.099999999860302,10152889.080000000074506
20130923,2075816.960000000195578,2140429.940000000409782,1992894.510000000009313,2003059.000000000232831,2026439.300000000279397,10238639.710000000894070
20130924,2069301.440000000176951,2167568.799999999813735,1986624.960000000195578,1985928.600000000093132,2039952.719999999972060,10249376.520000001415610
20130925,2037316.160000000149012,2158643.940000000409782,1992476.540000000037253,1988987.599999999860302,2024676.680000000167638,10202100.919999999925494
20130926,2057158.879999999888241,2174490.120000000111759,1992894.510000000009313,2004894.400000000139698,2066392.020000000251457,10295829.929999999701977
20130927,2042350.879999999888241,2162833.160000000149012,1997492.179999999934807,2035484.400000000139698,2163336.120000000111759,10401496.740000000223517
20130930,2017177.280000000027940,2140247.799999999813735,1989968.719999999972060,2036096.200000000186265,2133959.120000000111759,10317449.120000001043081
20131001,2064562.879999999888241,2144801.299999999813735,2037199.330000000074506,2054450.199999999953434,2127496.179999999701977,10428509.890000000596046
20131002,2071374.560000000055879,2146440.560000000521541,2021734.439999999944121,2075251.400000000139698,2112220.140000000596046,10427021.100000001490116
20131003,2045312.479999999981374,2099084.160000000149012,2021316.469999999972060,2071580.600000000093132,2104582.120000000111759,10341875.830000001937151
20131004,2043535.520000000018626,2134783.600000000558794,2015882.859999999869615,2072804.200000000186265,2119270.620000000111759,10386276.800000000745058
20131007,2063674.400000000139698,2125494.459999999962747,2001671.880000000121072,2037319.799999999813735,2095769.020000000251457,10323929.560000000521541
20131008,2034946.879999999888241,2102726.959999999962747,1995820.300000000046566,2019577.599999999860302,2064629.400000000139698,10217701.139999998733401
20131009,2058639.680000000167638,2085059.380000000121072,1975757.740000000223517,2023248.400000000139698,2082843.140000000363216,10225548.340000001713634
20131010,2071670.720000000204891,2165747.400000000372529,1984953.080000000074506,2065462.599999999860302,2157460.719999999739230,10445294.519999999552965
20131011,2084997.920000000158325,2148990.520000000484288,1976593.679999999934807,2088099.200000000186265,2158048.259999999776483,10456729.580000000074506
20131014,2098621.279999999795109,2175947.240000000223517,1954023.300000000046566,2107676.799999999813735,2175674.459999999962747,10511943.079999998211861
20131015,2109875.359999999869615,2152633.320000000298023,1946499.840000000083819,2110124.000000000000000,2165098.740000000223517,10484231.259999999776483
