訓練日期,20130927 - 20131230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11237104.789999999105930
真實報酬,1237104.789999999105930

夏普值報酬,0.115010479000000
夏普值風險,0.035337187641246
夏普值,3.254658524827215

預期報酬,18706.350446591579384
風險,84028.984801141661592
趨勢值,0.222617832297522
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DD[7](23),HD[9](16),MSFT[18](7),NKE[19](6),XOM[29](3),
Stock#,AAPL[0](1),DD[7](23),HD[9](16),MSFT[18](7),NKE[19](6),XOM[29](3),
張數,23994,29265,21909,50859,47388,19141,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,42.760000000242144,24.250000000000000,48.370000000111759,16.569999999832362,30.039999999804422,59.130000000121072,
20130927,1654669.000000000000000,1626280.300000000046566,1664256.010000000009313,1692095.500000000000000,1744856.199999999720603,1663412.030000000260770,10045573.039999999105930
20130930,1634274.100000000325963,1600527.099999999860302,1661846.020000000018626,1692604.089999999850988,1721162.199999999720603,1646950.770000000251457,9957368.279999999329448
20131001,1672664.500000000000000,1596722.650000000139698,1670828.710000000195578,1707861.789999999804422,1715949.519999999785796,1646185.130000000121072,10010216.300000000745058
20131002,1678183.120000000111759,1612818.399999999906868,1672143.250000000000000,1725153.849999999860302,1703628.639999999897555,1647716.410000000149012,10039647.669999999925494
20131003,1657068.400000000372529,1615744.900000000139698,1662503.290000000037253,1722102.309999999823049,1697468.199999999720603,1636614.630000000121072,9991505.730000000447035
20131004,1655628.760000000242144,1666666.000000000000000,1660312.390000000130385,1723119.489999999990687,1709315.199999999720603,1652310.250000000000000,10067356.089999999850988
20131007,1671944.680000000400469,1640034.849999999860302,1646071.540000000037253,1693621.269999999785796,1690360.000000000000000,1644271.030000000260770,9986307.370000001043081
20131008,1648670.500000000000000,1605502.149999999906868,1627229.800000000046566,1678872.159999999683350,1665244.359999999869615,1636806.040000000270084,9862329.009999999776483
20131009,1667865.700000000419095,1622183.199999999953434,1624381.630000000121072,1681923.699999999953434,1679934.639999999897555,1630106.689999999944121,9906399.560000000521541
20131010,1678423.060000000288710,1683639.699999999953434,1654396.960000000195578,1717016.409999999683350,1740117.399999999674037,1646950.770000000251457,10120548.300000000745058
20131011,1689220.360000000335276,1711734.100000000093132,1672143.250000000000000,1735834.239999999990687,1740591.279999999562278,1664369.080000000074506,10213896.310000000521541
20131014,1700257.600000000325963,1701198.700000000186265,1672800.520000000018626,1752109.119999999878928,1754807.679999999934807,1676810.729999999981374,10257988.350000001490116
