訓練日期,20141031 - 20150204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11421826.420000001788139
真實報酬,1421826.420000001788139

夏普值報酬,0.133482642000000
夏普值風險,0.036106619268083
夏普值,3.696902249665720

預期報酬,21537.411602412867069
風險,106975.168905376223847
趨勢值,0.201330942711234
找到最佳解世代,1948
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](12),HD[9](6),PFE[20](4),UNH[23](3),WBA[27](2),
Stock#,BA[2](12),HD[9](6),PFE[20](4),UNH[23](3),WBA[27](2),
張數,16152,20508,67024,21303,31766,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,59.360000000102445,59.840000000083819,3.840000000083819,74.360000000102445,12.639999999897555,
20141031,2017605.679999999934807,2000000.000000000000000,2007372.640000000130385,2024072.390000000130385,2040025.159999999916181,10089075.870000001043081
20141103,2035695.920000000158325,1970673.560000000055879,2023458.400000000139698,2020876.940000000176951,2064167.320000000065193,10114872.140000000596046
20141104,2032627.040000000270084,1968007.520000000018626,2029490.560000000055879,2023433.300000000279397,2072426.479999999748543,10125984.900000002235174
20141105,2006460.800000000046566,1964316.080000000074506,2013404.800000000046566,2040901.760000000009313,2085768.199999999720603,10110851.639999998733401
20141106,2012275.520000000018626,1995283.160000000149012,2013404.800000000046566,2049635.989999999990687,2117216.540000000037253,10187816.010000001639128
20141107,2010175.760000000242144,2002666.040000000270084,2005361.920000000158325,1994248.190000000176951,2125793.360000000335276,10138245.270000001415610
20141110,2013244.640000000130385,2013125.120000000111759,2024128.640000000130385,2018533.610000000102445,2153112.120000000111759,10222144.130000000819564
20141111,2024874.080000000074506,2012714.960000000195578,2032171.520000000018626,2038558.430000000167638,2144217.639999999664724,10252536.629999998956919
20141112,2033111.600000000093132,2019892.760000000009313,2038873.920000000158325,2038345.400000000139698,2142311.679999999701977,10272535.359999999403954
20141113,2076075.920000000158325,2030351.840000000083819,2038873.920000000158325,2043032.060000000288710,2127064.000000000000000,10315397.740000002086163
20141114,2081406.080000000307336,2014765.760000000009313,2033512.000000000000000,2026202.690000000176951,2126111.020000000484288,10281997.550000000745058
20141117,2074299.199999999953434,2010459.080000000074506,2032171.520000000018626,2055174.770000000018626,2114039.939999999478459,10286144.509999999776483
20141118,2110479.679999999701977,1968417.680000000167638,2050268.000000000000000,2091815.930000000167638,2162006.599999999627471,10382987.889999998733401
20141119,2125824.080000000074506,1983183.440000000176951,2040214.400000000139698,2063482.940000000176951,2153429.780000000260770,10366134.640000000596046
20141120,2127277.759999999776483,2001025.399999999906868,2040214.400000000139698,2063269.909999999916181,2139135.080000000074506,10370922.550000000745058
20141121,2144721.919999999925494,2015586.080000000074506,2040884.640000000130385,2060287.489999999990687,2147076.580000000074506,10408556.710000000894070
20141124,2174280.080000000074506,2018047.040000000270084,2025469.120000000111759,2064335.060000000288710,2151523.820000000298023,10433655.120000001043081
20141125,2177510.480000000447035,1989540.920000000158325,2042225.120000000111759,2085638.060000000288710,2154065.099999999627471,10448979.679999999701977
20141126,2177025.919999999925494,2003691.440000000176951,2084450.240000000223517,2090111.690000000176951,2175030.660000000149012,10530309.950000001117587
20141128,2170242.080000000074506,2038555.040000000270084,2087801.439999999944121,2101189.250000000000000,2179477.899999999441206,10577265.710000000894070
20141201,2138422.639999999664724,2027890.879999999888241,2095174.080000000074506,2110349.540000000037253,2152794.459999999962747,10524631.599999999627471
20141202,2136645.919999999925494,2013125.120000000111759,2115951.520000000484288,2126752.849999999627471,2120393.139999999664724,10512868.550000000745058
20141203,2131638.799999999813735,2021943.560000000055879,2128015.839999999850988,2147416.759999999776483,2140405.719999999739230,10569420.679999999701977
20141204,2121140.000000000000000,2029326.440000000176951,2122653.919999999925494,2123344.370000000111759,2156924.040000000037253,10553388.769999999552965
20141205,2135515.280000000260770,2043476.960000000195578,2144101.599999999627471,2137404.349999999627471,2179160.239999999292195,10639658.429999999701977
20141208,2104341.919999999925494,2059678.280000000260770,2142761.120000000111759,2128670.120000000111759,2151523.820000000298023,10586975.260000001639128
20141209,2094327.679999999934807,2043476.960000000195578,2141420.639999999664724,2152103.419999999925494,2178842.580000000074506,10610171.279999999329448
20141210,2013244.640000000130385,2029121.360000000102445,2135388.480000000447035,2110988.629999999888241,2164865.540000000037253,10453608.650000000372529
20141211,1992731.600000000093132,2056397.000000000000000,2121313.440000000409782,2124622.549999999813735,2319248.299999999813735,10614312.890000000596046
20141212,1950736.400000000139698,2046348.080000000074506,2074396.640000000130385,2103958.640000000596046,2366579.639999999664724,10542019.400000002235174
20141215,1971895.520000000018626,2051885.239999999990687,2068364.479999999981374,2093520.169999999925494,2332907.679999999701977,10518573.089999999850988
20141216,2006945.360000000102445,1990566.320000000065193,2055629.920000000158325,2041966.909999999916181,2299553.379999999888241,10394661.890000000596046
20141217,2020028.480000000214204,2029121.360000000102445,2085790.720000000204891,2112053.780000000260770,2286846.979999999515712,10533841.320000000298023
20141218,2029881.200000000186265,2064600.200000000186265,2142761.120000000111759,2178093.080000000074506,2362767.719999999739230,10778103.320000000298023
20141219,2038926.320000000065193,2090440.280000000260770,2140750.400000000372529,2183418.830000000074506,2326236.820000000298023,10779772.650000002235174
20141222,2071068.800000000046566,2122637.839999999850988,2150804.000000000000000,2195135.480000000447035,2359273.459999999962747,10898919.580000001937151
20141223,2100303.919999999925494,2127969.919999999925494,2107908.639999999664724,2191087.910000000149012,2430429.299999999813735,10957699.690000001341105
20141224,2119847.839999999850988,2123868.320000000298023,2105897.919999999925494,2187466.400000000372529,2435511.860000000335276,10972592.339999999850988
20141226,2126147.120000000111759,2127764.839999999850988,2121313.440000000409782,2184697.009999999776483,2428841.000000000000000,10988763.410000000149012
20141229,2136807.440000000409782,2143761.080000000074506,2103887.200000000186265,2180010.349999999627471,2439323.780000000260770,11003789.850000001490116
20141230,2129377.520000000484288,2138429.000000000000000,2103216.959999999962747,2191087.910000000149012,2415816.939999999478459,10977928.330000000074506
20141231,2099496.320000000298023,2152784.599999999627471,2087801.439999999944121,2153594.629999999888241,2420581.839999999850988,10914258.829999998211861
20150102,2099011.759999999776483,2121202.280000000260770,2099865.759999999776483,2146990.700000000186265,2414228.639999999664724,10881299.140000000596046
20150105,2084474.960000000195578,2076699.920000000158325,2088471.680000000167638,2111627.719999999739230,2366579.639999999664724,10727853.919999999925494
20150106,2059923.920000000158325,2070342.440000000176951,2105897.919999999925494,2107367.120000000111759,2372615.179999999701977,10716146.580000000074506
20150107,2091904.879999999888241,2141300.120000000111759,2134718.240000000223517,2128883.150000000372529,2433288.239999999292195,10930094.629999998956919
20150108,2128892.959999999962747,2188673.599999999627471,2178283.839999999850988,2230498.459999999962747,2463465.939999999478459,11189814.799999998882413
20150109,2124693.440000000409782,2151143.959999999962747,2188337.440000000409782,2209621.520000000484288,2403745.860000000335276,11077542.220000002533197
20150112,2113871.600000000558794,2141505.200000000186265,2196380.320000000298023,2184697.009999999776483,2404698.839999999850988,11041152.970000000670552
20150113,2118717.200000000186265,2127354.679999999701977,2174262.400000000372529,2195774.570000000298023,2390721.799999999813735,11006830.650000002235174
20150114,2105957.120000000111759,2105000.959999999962747,2176943.360000000335276,2201313.349999999627471,2382144.979999999515712,10971359.769999999552965
20150115,2102080.639999999664724,2071572.920000000158325,2171581.440000000409782,2225385.740000000223517,2375474.120000000111759,10946094.859999999403954
20150116,2112417.919999999925494,2135352.799999999813735,2198391.040000000037253,2253292.669999999925494,2415181.620000000111759,11114636.050000000745058
20150120,2119524.799999999813735,2117510.839999999850988,2218498.240000000223517,2250097.219999999739230,2415816.939999999478459,11121448.039999999105930
20150121,2138745.679999999701977,2123253.080000000074506,2187667.200000000186265,2328918.320000000298023,2401204.580000000074506,11179788.860000001266599
20150122,2190916.639999999664724,2175343.400000000372529,2199061.280000000260770,2425420.910000000149012,2414863.959999999962747,11405606.190000001341105
20150123,2174441.600000000558794,2160987.799999999813735,2174932.640000000596046,2386010.360000000335276,2401204.580000000074506,11297576.980000002309680
20150126,2165558.000000000000000,2181290.719999999739230,2198391.040000000037253,2377702.190000000409782,2409146.080000000074506,11332088.029999999329448
20150127,2139876.320000000298023,2156681.120000000111759,2184986.240000000223517,2343617.390000000596046,2380239.020000000484288,11205400.089999999850988
20150128,2255524.639999999664724,2148067.759999999776483,2141420.639999999664724,2310597.740000000223517,2343390.459999999962747,11199001.239999998360872
20150129,2387001.919999999925494,2207130.799999999813735,2133377.759999999776483,2330409.530000000260770,2368803.259999999776483,11426723.269999999552965
20150130,2348075.600000000558794,2141505.200000000186265,2094503.840000000083819,2263518.110000000335276,2342755.139999999664724,11190357.890000000596046
20150202,2362450.879999999888241,2141710.280000000260770,2121313.440000000409782,2285673.230000000447035,2378968.379999999888241,11290116.210000000894070
20150203,2379895.040000000037253,2199337.759999999776483,2146112.320000000298023,2296750.790000000037253,2375791.780000000260770,11397887.690000001341105
20150204,2377956.799999999813735,2223332.120000000111759,2149463.520000000484288,2299094.120000000111759,2371979.860000000335276,11421826.420000001788139
