訓練日期,20141224 - 20150330
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11236163.210000000894070
真實報酬,1236163.210000000894070

夏普值報酬,0.114916321000000
夏普值風險,0.036971196433064
夏普值,3.108266220382021

預期報酬,19483.960561789361236
風險,116353.074990887354943
趨勢值,0.167455484638591
找到最佳解世代,2074
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),MRK[17](12),UNH[23](1),WBA[27](7),
Stock#,BA[2](2),MRK[17](12),UNH[23](1),WBA[27](7),
張數,19226,43698,24307,32675,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.220000000204891,37.419999999925494,25.050000000279397,35.750000000000000,
20141224,2523263.460000000428408,2510924.500000000000000,2495867.810000000521541,2505228.000000000000000,10035283.770000001415610
20141226,2530761.600000000093132,2524907.859999999869615,2492707.900000000372529,2498366.250000000000000,10046743.609999999403954
20141229,2543450.760000000242144,2522722.959999999962747,2487360.360000000335276,2509149.000000000000000,10062683.080000001937151
20141230,2534606.800000000279397,2519227.119999999646097,2500000.000000000000000,2484969.500000000000000,10038803.419999999925494
20141231,2499038.700000000186265,2481646.839999999850988,2457219.680000000167638,2489870.750000000000000,9927775.970000000670552
20150102,2498461.919999999925494,2499126.040000000037253,2449684.510000000242144,2483335.750000000000000,9930608.220000000670552
20150105,2481158.520000000484288,2536269.339999999850988,2409334.890000000596046,2434323.250000000000000,9861086.000000000000000
20150106,2451935.000000000000000,2635900.779999999795109,2404473.490000000223517,2440531.500000000000000,9932840.769999999552965
20150107,2490002.479999999981374,2692271.199999999720603,2429023.560000000521541,2502940.750000000000000,10114237.990000000223517
20150108,2534030.020000000484288,2746456.720000000204891,2544967.950000000186265,2533982.000000000000000,10359436.690000001341105
20150109,2529031.260000000242144,2733784.299999999813735,2521147.090000000316650,2472553.000000000000000,10256515.650000000372529
20150112,2516149.840000000316650,2722422.819999999832362,2492707.900000000372529,2473533.250000000000000,10204813.810000000521541
20150113,2521917.640000000130385,2717616.040000000037253,2505347.540000000037253,2459156.250000000000000,10204037.469999998807907
20150114,2506729.100000000093132,2737280.140000000130385,2511667.360000000335276,2450334.000000000000000,10206010.600000001490116
20150115,2502114.859999999869615,2704069.660000000149012,2539134.270000000018626,2443472.250000000000000,10188791.039999999105930
20150116,2514419.500000000000000,2754322.359999999869615,2570976.440000000409782,2484316.000000000000000,10324034.300000000745058
20150120,2522878.940000000409782,2735969.199999999720603,2567330.390000000596046,2484969.500000000000000,10311148.030000001192093
20150121,2545757.880000000353903,2716305.099999999627471,2657266.290000000037253,2469939.000000000000000,10389268.269999999552965
20150122,2607857.859999999869615,2735095.240000000223517,2767377.000000000000000,2483989.250000000000000,10594319.349999999627471
20150123,2588247.340000000316650,2730725.439999999944121,2722409.050000000279397,2469939.000000000000000,10511320.830000000074506
20150126,2577673.040000000037253,2745145.779999999795109,2712929.320000000298023,2478107.750000000000000,10513855.890000000596046
20150127,2547103.700000000186265,2733784.299999999813735,2674038.120000000577420,2448373.500000000000000,10403299.620000001043081
20150128,2684761.859999999869615,2685279.520000000018626,2636362.270000000018626,2410470.500000000000000,10416874.150000000372529
20150129,2841261.500000000000000,2713246.240000000223517,2658967.780000000260770,2436610.500000000000000,10650086.019999999552965
20150130,2794926.840000000316650,2634152.859999999869615,2582643.800000000279397,2409817.000000000000000,10421540.500000000000000
20150202,2812037.979999999981374,2660371.660000000149012,2607923.080000000540167,2447066.500000000000000,10527399.220000000670552
20150203,2832802.060000000055879,2666489.379999999888241,2620562.720000000204891,2443799.000000000000000,10563653.160000000149012
20150204,2830494.940000000409782,2580404.319999999832362,2623236.490000000223517,2439878.000000000000000,10474013.750000000000000
20150205,2857026.820000000298023,2585648.080000000074506,2645112.790000000037253,2443799.000000000000000,10531586.690000001341105
20150206,2845491.220000000204891,2569042.839999999850988,2615458.250000000000000,2488237.000000000000000,10518229.310000000521541
20150209,2837416.300000000279397,2548941.759999999776483,2588477.479999999981374,2496405.750000000000000,10471241.290000000968575
20150210,2846260.260000000242144,2571664.720000000204891,2648758.840000000316650,2505881.500000000000000,10572565.320000000298023
20150211,2843953.140000000130385,2566857.939999999944121,2670149.000000000000000,2598678.500000000000000,10679638.580000000074506
20150212,2847221.560000000055879,2572975.660000000149012,2669905.930000000167638,2612728.750000000000000,10702831.900000000372529
20150213,2878752.200000000186265,2569916.799999999813735,2660183.130000000353903,2572538.500000000000000,10681390.630000000819564
20150217,2882405.140000000130385,2569042.839999999850988,2667961.370000000577420,2548685.750000000000000,10668095.100000001490116
20150218,2906437.640000000130385,2569479.819999999832362,2668204.440000000409782,2541824.000000000000000,10685945.900000000372529
20150219,2956040.720000000204891,2547630.819999999832362,2674524.260000000242144,2519278.250000000000000,10697474.050000000745058
20150220,3043711.280000000260770,2549815.720000000204891,2737479.390000000596046,2520258.500000000000000,10851264.890000000596046
20150223,2975074.460000000428408,2547630.819999999832362,2829359.850000000558794,2567964.000000000000000,10920029.130000000819564
20150224,2968153.100000000093132,2550252.699999999720603,2805782.060000000521541,2626779.000000000000000,10950966.859999999403954
20150225,2941813.479999999981374,2555933.439999999944121,2772238.400000000372529,2614362.500000000000000,10884347.820000000298023
20150226,2917204.200000000186265,2576471.500000000000000,2762758.670000000391155,2667949.500000000000000,10924383.870000001043081
20150227,2900285.320000000298023,2558118.339999999850988,2762029.459999999962747,2714674.750000000000000,10935107.870000001043081
20150302,2957002.020000000484288,2559866.259999999776483,2780745.850000000558794,2732319.250000000000000,11029933.380000000819564
20150303,2991032.040000000037253,2549378.740000000223517,2743313.070000000298023,2718922.500000000000000,11002646.350000001490116
20150304,2967576.320000000298023,2529277.660000000149012,2766647.790000000037253,2712714.250000000000000,10976216.019999999552965
20150305,2969883.440000000409782,2533647.459999999962747,2790225.580000000540167,2718595.750000000000000,11012352.230000000447035
20150306,2943928.340000000316650,2483831.740000000223517,2743799.209999999962747,2690822.000000000000000,10862381.289999999105930
20150309,2975266.720000000204891,2502184.899999999906868,2792899.350000000558794,2728398.250000000000000,10998749.220000000670552
20150310,2930470.140000000130385,2472470.259999999776483,2733590.270000000018626,2702911.750000000000000,10839442.419999999925494
20150311,2906437.640000000130385,2449747.299999999813735,2739910.090000000316650,2696050.000000000000000,10792145.029999999329448
20150312,2923164.260000000242144,2454554.080000000074506,2792413.209999999962747,2752904.500000000000000,10923036.050000000745058
20150313,2914128.040000000037253,2455865.020000000018626,2801406.800000000279397,2735586.750000000000000,10906986.610000001266599
20150316,2954502.640000000130385,2496067.179999999701977,2880890.690000000409782,2835245.500000000000000,11166706.010000001639128
20150317,2970652.479999999981374,2467663.479999999981374,2858528.250000000000000,2818581.250000000000000,11115425.460000000894070
20150318,2994108.200000000186265,2519227.119999999646097,2915892.770000000018626,2848642.250000000000000,11277870.339999999850988
20150319,2962962.080000000540167,2543698.000000000000000,2935338.370000000577420,2854523.750000000000000,11296522.200000001117587
20150320,2970460.220000000204891,2559866.259999999776483,2895961.030000000260770,2882951.000000000000000,11309238.510000001639128
20150323,2937968.280000000260770,2566420.959999999962747,2893530.330000000540167,2872821.750000000000000,11270741.320000000298023
20150324,2915666.120000000111759,2562051.160000000149012,2871167.890000000596046,2875435.750000000000000,11224320.920000001788139
20150325,2849913.200000000186265,2545882.899999999906868,2832762.830000000540167,2806164.750000000000000,11034723.679999999701977
20150326,2848759.640000000130385,2517042.220000000204891,2825713.800000000279397,2759112.750000000000000,10950628.410000000149012
20150327,2861833.320000000298023,2523596.919999999925494,2868494.120000000577420,2786886.500000000000000,11040810.860000001266599
20150330,2935853.419999999925494,2549378.740000000223517,2941172.050000000279397,2809759.000000000000000,11236163.210000000894070
