訓練日期,20150130 - 20150504
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11002964.750000000000000
真實報酬,1002964.750000000000000

夏普值報酬,0.091596475000000
夏普值風險,0.027564894473650
夏普值,3.322939439784883

預期報酬,16279.332765066998036
風險,117386.719759255647659
趨勢值,0.138681213670965
找到最佳解世代,1810
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](16),IBM[10](8),NKE[19](10),WBA[27](3),
Stock#,CAT[3](16),IBM[10](8),NKE[19](10),WBA[27](3),
張數,31250,16079,52698,33525,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.000000000000000,37.080000000074506,6.879999999888241,40.750000000000000,
20150130,2499062.500000000000000,2465108.570000000298023,2430965.620000000111759,2472509.500000000000000,9867646.190000001341105
20150202,2526250.000000000000000,2486815.220000000204891,2422006.959999999962747,2510728.000000000000000,9945800.179999999701977
20150203,2622500.000000000000000,2548076.209999999962747,2459949.520000000018626,2507375.500000000000000,10137901.230000000447035
20150204,2560937.500000000000000,2523796.920000000391155,2438343.339999999850988,2503352.500000000000000,10026430.259999999776483
20150205,2611562.500000000000000,2539071.970000000204891,2459422.540000000037253,2507375.500000000000000,10117432.510000001639128
20150206,2600312.500000000000000,2519937.959999999962747,2418845.079999999608845,2552969.500000000000000,10092065.039999999105930
20150209,2645937.500000000000000,2504341.330000000074506,2402508.700000000186265,2561350.750000000000000,10114138.280000001192093
20150210,2621875.000000000000000,2549523.320000000298023,2444140.120000000111759,2571073.000000000000000,10186611.440000001341105
20150211,2606562.500000000000000,2543734.879999999888241,2406197.559999999590218,2666284.000000000000000,10222778.939999999478459
20150212,2610312.500000000000000,2548880.160000000149012,2424114.879999999888241,2680699.750000000000000,10264007.289999999105930
20150213,2660312.500000000000000,2579108.680000000167638,2425168.839999999850988,2639464.000000000000000,10304054.019999999552965
20150217,2668125.000000000000000,2588112.920000000391155,2420426.020000000018626,2614990.750000000000000,10291654.689999999478459
20150218,2650000.000000000000000,2607890.089999999850988,2466800.259999999776483,2607950.500000000000000,10332640.849999999627471
20150219,2603125.000000000000000,2635224.389999999664724,2468908.180000000167638,2584818.250000000000000,10292075.820000000298023
20150220,2638750.000000000000000,2631365.430000000167638,2501580.939999999944121,2585824.000000000000000,10357520.369999999180436
20150223,2609062.500000000000000,2619466.970000000204891,2503688.859999999869615,2634770.500000000000000,10366988.830000000074506
20150224,2640625.000000000000000,2650338.650000000372529,2514228.459999999962747,2695115.500000000000000,10500307.609999999403954
20150225,2660937.500000000000000,2617859.070000000298023,2551117.059999999590218,2682376.000000000000000,10512289.629999998956919
20150226,2618750.000000000000000,2586665.810000000055879,2555859.879999999888241,2737357.000000000000000,10498632.690000001341105
20150227,2590625.000000000000000,2603870.339999999850988,2559021.759999999776483,2785297.750000000000000,10538814.849999999627471
20150302,2593750.000000000000000,2580395.000000000000000,2602234.120000000111759,2803401.250000000000000,10579780.370000001043081
20150303,2588750.000000000000000,2589238.450000000186265,2581681.899999999906868,2789656.000000000000000,10549326.349999999627471
20150304,2554062.500000000000000,2563351.259999999776483,2569561.359999999869615,2783286.250000000000000,10470261.369999999180436
20150305,2547187.500000000000000,2591650.300000000279397,2594329.419999999925494,2789320.750000000000000,10522487.970000000670552
20150306,2501875.000000000000000,2548558.580000000074506,2553751.959999999962747,2760824.500000000000000,10365010.039999999105930
20150309,2525312.500000000000000,2585057.910000000149012,2567453.439999999944121,2799378.250000000000000,10477202.099999999627471
20150310,2497187.500000000000000,2537464.070000000298023,2543212.359999999869615,2773228.750000000000000,10351092.679999999701977
20150311,2490625.000000000000000,2521224.280000000260770,2512120.540000000037253,2766188.500000000000000,10290158.320000000298023
20150312,2505937.500000000000000,2540197.500000000000000,2556913.839999999850988,2824522.000000000000000,10427570.839999999850988
20150313,2475937.500000000000000,2480705.200000000186265,2524768.059999999590218,2806753.750000000000000,10288164.509999999776483
20150316,2499062.500000000000000,2525726.400000000372529,2541104.439999999944121,2909005.000000000000000,10474898.339999999850988
20150317,2451562.500000000000000,2523796.920000000391155,2543739.339999999850988,2891907.250000000000000,10411006.009999999776483
20150318,2541562.500000000000000,2569622.070000000298023,2569561.359999999869615,2922750.250000000000000,10603496.179999999701977
20150319,2502812.500000000000000,2569622.070000000298023,2590640.559999999590218,2928784.750000000000000,10591859.879999998956919
20150320,2537187.500000000000000,2618984.600000000093132,2687077.899999999906868,2957951.500000000000000,10801201.500000000000000
20150323,2534062.500000000000000,2647122.850000000093132,2673376.419999999925494,2947558.750000000000000,10802120.519999999552965
20150324,2515000.000000000000000,2620914.080000000074506,2652297.219999999739230,2950240.750000000000000,10738452.050000000745058
20150325,2495625.000000000000000,2559813.879999999888241,2608557.879999999888241,2879167.750000000000000,10543164.509999999776483
20150326,2496250.000000000000000,2582163.689999999944121,2617516.540000000037253,2830891.750000000000000,10526821.980000000447035
20150327,2489687.500000000000000,2579108.680000000167638,2631745.000000000000000,2859388.000000000000000,10559929.179999999701977
20150330,2542812.500000000000000,2615608.009999999776483,2658620.979999999981374,2882855.500000000000000,10699896.990000000223517
20150331,2500937.500000000000000,2580716.580000000074506,2643865.540000000037253,2838937.750000000000000,10564457.370000001043081
20150401,2488750.000000000000000,2559492.300000000279397,2623313.319999999832362,2824857.250000000000000,10496412.870000001043081
20150402,2507500.000000000000000,2579912.629999999888241,2625948.219999999739230,2882185.000000000000000,10595545.849999999627471
20150406,2546562.500000000000000,2605478.239999999757856,2628056.139999999664724,2950576.000000000000000,10730672.879999998956919
20150407,2516875.000000000000000,2605960.609999999869615,2624894.259999999776483,2926102.750000000000000,10673832.619999999180436
20150408,2513750.000000000000000,2602423.229999999981374,2657040.040000000037253,2939512.750000000000000,10712726.019999999552965
20150409,2521250.000000000000000,2610301.939999999944121,2653878.159999999683350,3105126.250000000000000,10890556.349999999627471
20150410,2581250.000000000000000,2618663.020000000484288,2634379.899999999906868,3085011.250000000000000,10919304.169999999925494
20150413,2566875.000000000000000,2610945.100000000093132,2615935.600000000093132,3074618.500000000000000,10868374.199999999254942
20150414,2593750.000000000000000,2609658.780000000260770,2622786.339999999850988,3083670.250000000000000,10909865.370000001043081
20150415,2661250.000000000000000,2639083.350000000093132,2630691.040000000037253,3068919.250000000000000,10999943.640000000596046
20150416,2635625.000000000000000,2623004.350000000093132,2632271.979999999981374,3001198.750000000000000,10892100.080000000074506
20150417,2602500.000000000000000,2583450.009999999776483,2596964.319999999832362,2915374.750000000000000,10698289.080000000074506
20150420,2643750.000000000000000,2671723.720000000204891,2634906.879999999888241,2920738.750000000000000,10871119.350000001490116
20150421,2622500.000000000000000,2641173.620000000111759,2642811.579999999608845,2919733.000000000000000,10826218.199999999254942
20150422,2652187.500000000000000,2658860.520000000484288,2639122.719999999739230,2917386.250000000000000,10867556.990000000223517
20150423,2649687.500000000000000,2737326.040000000037253,2664417.759999999776483,2906323.000000000000000,10957754.300000000745058
20150424,2643750.000000000000000,2729929.700000000186265,2660201.919999999925494,2882520.250000000000000,10916401.870000001043081
20150427,2666562.500000000000000,2745204.750000000000000,2659674.939999999944121,2887213.750000000000000,10958655.939999999478459
20150428,2693750.000000000000000,2796496.759999999776483,2631218.020000000018626,2885872.750000000000000,11007337.529999999329448
20150429,2734375.000000000000000,2804214.680000000167638,2639649.700000000186265,2835250.000000000000000,11013489.379999998956919
20150430,2715000.000000000000000,2754208.989999999757856,2604342.040000000037253,2780269.000000000000000,10853820.030000001192093
20150501,2730312.500000000000000,2792477.009999999776483,2655459.100000000093132,2798037.250000000000000,10976285.859999999403954
20150504,2728125.000000000000000,2797300.709999999962747,2657040.040000000037253,2820499.000000000000000,11002964.750000000000000
