訓練日期,20150306 - 20150608
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10721249.140000000596046
真實報酬,721249.140000000596046

夏普值報酬,0.063424914000000
夏普值風險,0.026683891918070
夏普值,2.376898924442521

預期報酬,11257.742409010827032
風險,106810.240630483385758
趨勢值,0.105399466779198
找到最佳解世代,2525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](1),GS[8](2),
Stock#,DIS[6](1),GS[8](2),
張數,47605,26304,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,46.849999999627471,135.679999999701977,
20150306,4942397.949999999254942,4916616.319999999366701,9859014.269999999552965
20150309,5010949.149999999441206,4943446.399999999441206,9954395.549999998882413
20150310,4907646.299999999813735,4806139.519999999552965,9713785.820000000298023
20150311,4898125.299999999813735,4844806.399999999441206,9742931.699999999254942
20150312,5101874.699999999254942,4996580.479999999515712,10098455.179999999701977
20150313,5067123.049999999813735,4980535.040000000037253,10047658.089999999850988
20150316,5111395.700000000186265,5047873.280000000260770,10159268.980000000447035
20150317,5091877.649999999441206,5012888.959999999962747,10104766.609999999403954
20150318,5139958.699999999254942,5058920.959999999962747,10198879.660000000149012
20150319,5111395.700000000186265,4997106.559999999590218,10108502.259999999776483
20150320,5161857.000000000000000,5080227.199999999254942,10242084.199999999254942
20150323,5151859.949999999254942,5049451.519999999552965,10201311.469999998807907
20150324,5099018.399999999441206,5031564.799999999813735,10130583.199999999254942
20150325,4998571.849999999627471,4928190.079999999143183,9926761.929999999701977
20150326,5009997.049999999813735,4925296.639999999664724,9935293.689999999478459
20150327,5021422.250000000000000,4946865.919999999925494,9968288.169999999925494
20150330,5051889.450000000186265,5024725.759999999776483,10076615.210000000894070
20150331,4993335.299999999813735,4944498.559999999590218,9937833.859999999403954
20150401,5019518.049999999813735,5056553.599999999627471,10076071.649999998509884
20150402,5046176.849999999627471,5038666.879999999888241,10084843.730000000447035
20150406,5028562.999999999068677,5051818.879999999888241,10080381.879999998956919
20150407,5019042.000000000000000,5060762.239999999292195,10079804.239999998360872
20150408,5063314.649999999441206,5065233.919999999925494,10128548.570000000298023
20150409,5082832.699999999254942,5126522.239999999292195,10209354.939999997615814
20150410,5091401.599999999627471,5146250.239999999292195,10237651.839999999850988
20150413,5070455.399999999441206,5144672.000000000000000,10215127.399999998509884
20150414,5077596.149999999441206,5200962.559999999590218,10278558.709999999031425
20150415,5092829.750000000000000,5289870.079999999143183,10382699.829999998211861
20150416,5146147.349999999627471,5266459.519999999552965,10412606.869999999180436
20150417,5079024.299999999813735,5191230.079999999143183,10270254.379999998956919
20150420,5151859.949999999254942,5210958.079999999143183,10362818.029999997466803
20150421,5126153.250000000000000,5177815.040000000037253,10303968.289999999105930
20150422,5138530.549999999813735,5216744.959999999962747,10355275.509999999776483
20150423,5188991.849999999627471,5242785.919999999925494,10431777.769999999552965
20150424,5214222.500000000000000,5208064.639999999664724,10422287.140000000596046
20150427,5244213.649999999441206,5169397.759999999776483,10413611.410000000149012
20150428,5232788.449999999254942,5194912.639999999664724,10427701.089999999850988
20150429,5227551.899999999441206,5223057.919999999925494,10450609.820000000298023
20150430,5175662.449999999254942,5166767.359999999403954,10342429.809999998658895
20150501,5261351.449999999254942,5195964.799999999813735,10457316.250000000000000
20150504,5285630.000000000000000,5242522.879999999888241,10528152.879999998956919
20150505,5275156.899999999441206,5189651.839999999850988,10464808.739999998360872
20150506,5223267.449999999254942,5162295.679999999701977,10385563.129999998956919
20150507,5201369.149999999441206,5192282.239999999292195,10393651.389999998733401
20150508,5241833.399999999441206,5274087.679999999701977,10515921.079999998211861
20150511,5169949.849999999627471,5306441.599999999627471,10476391.449999999254942
20150512,5200417.049999999813735,5274876.799999999813735,10475293.849999999627471
20150513,5198036.799999999813735,5298550.399999999441206,10496587.199999999254942
20150514,5233264.500000000000000,5329852.160000000149012,10563116.660000000149012
20150515,5250878.349999999627471,5339058.559999999590218,10589936.910000000149012
20150518,5252306.500000000000000,5383512.319999999366701,10635818.820000000298023
20150519,5263255.649999999441206,5402977.280000000260770,10666232.929999999701977
20150520,5246117.849999999627471,5394560.000000000000000,10640677.849999999627471
20150521,5255162.799999999813735,5391140.479999999515712,10646303.279999999329448
20150522,5248974.149999999441206,5466106.879999999888241,10715081.029999999329448
20150526,5209938.049999999813735,5428755.199999999254942,10638693.250000000000000
20150527,5254210.700000000186265,5499249.919999999925494,10753460.620000001043081
20150528,5261827.500000000000000,5483993.599999999627471,10745821.099999999627471
20150529,5254210.700000000186265,5423757.439999999478459,10677968.140000000596046
20150601,5282297.649999999441206,5466369.919999999925494,10748667.570000000298023
20150602,5272300.599999999627471,5430070.399999999441206,10702371.000000000000000
20150603,5292294.699999999254942,5478995.839999999850988,10771290.539999999105930
20150604,5250878.349999999627471,5494252.160000000149012,10745130.509999999776483
20150605,5250878.349999999627471,5535812.479999999515712,10786690.829999998211861
20150608,5202797.299999999813735,5518451.839999999850988,10721249.140000000596046
