訓練日期,20150406 - 20150707
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11030615.699999999254942
真實報酬,1030615.699999999254942

夏普值報酬,0.094361570000000
夏普值風險,0.028434294164068
夏普值,3.318583167759527

預期報酬,16683.606246623592597
風險,77164.428615269556758
趨勢值,0.216208511434791
找到最佳解世代,2129
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),GS[8](2),JPM[13](1),NKE[19](5),
Stock#,DIS[6](3),GS[8](2),JPM[13](1),NKE[19](5),
張數,23584,13051,41308,50170,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,96.000000000000000,80.949999999720603,39.839999999850988,28.899999999906868,
20150406,2491273.919999999925494,2506525.500000000000000,2497934.599999999627471,2502006.799999999813735,9997740.820000000298023
20150407,2486557.120000000111759,2510962.839999999385327,2513631.640000000130385,2498996.600000000093132,10010148.199999999254942
20150408,2508490.239999999757856,2513181.509999999776483,2521893.239999999757856,2529600.299999999813735,10073165.289999999105930
20150409,2518159.679999999701977,2543590.339999999385327,2539242.599999999627471,2526590.100000000093132,10127582.719999998807907
20150410,2522404.800000000279397,2553378.589999999385327,2548743.439999999944121,2508027.200000000186265,10132554.030000001192093
20150413,2512027.840000000316650,2552595.529999999795109,2564027.399999999906868,2490467.699999999720603,10119118.469999998807907
20150414,2515565.439999999944121,2580524.669999999925494,2604096.159999999683350,2496989.800000000279397,10197176.070000000298023
20150415,2523112.320000000298023,2624637.049999999813735,2652426.519999999552965,2504515.299999999813735,10304691.189999999478459
20150416,2549526.399999999906868,2613021.659999999683350,2635903.319999999832362,2506020.399999999906868,10304471.779999999329448
20150417,2516272.959999999962747,2575695.799999999813735,2595834.560000000055879,2472406.500000000000000,10160209.820000000298023
20150420,2552356.479999999981374,2585484.049999999813735,2612357.759999999776483,2508528.899999999906868,10258727.189999999478459
20150421,2539621.120000000111759,2569039.789999999571592,2573941.319999999832362,2516054.399999999906868,10198656.630000000819564
20150422,2545752.959999999962747,2588355.269999999552965,2599965.359999999869615,2512542.500000000000000,10246616.089999999850988
20150423,2570752.000000000000000,2601275.759999999776483,2594182.239999999757856,2536624.100000000093132,10302834.099999999627471
20150424,2583251.520000000018626,2584048.439999999944121,2585920.640000000130385,2532610.499999999534339,10285831.099999999627471
20150427,2598109.439999999944121,2564863.469999999739230,2575180.560000000055879,2532108.799999999813735,10270262.269999999552965
20150428,2592449.280000000260770,2577522.939999999944121,2592529.919999999925494,2505017.000000000000000,10267519.140000000596046
20150429,2589855.040000000037253,2591487.509999999776483,2627228.640000000130385,2513044.200000000186265,10321615.390000000596046
20150430,2564148.479999999981374,2563558.369999999646097,2613183.919999999925494,2479430.299999999813735,10220321.070000000298023
20150501,2606599.679999999701977,2578044.979999999515712,2627641.719999999739230,2528095.199999999720603,10340381.579999998211861
20150504,2618627.520000000018626,2601145.250000000000000,2673493.599999999627471,2529600.299999999813735,10422866.669999998062849
20150505,2613439.040000000037253,2574912.739999999757856,2660275.040000000037253,2519064.600000000093132,10367691.419999999925494
20150506,2587732.479999999981374,2561339.699999999720603,2640447.199999999720603,2514047.600000000093132,10303566.979999998584390
20150507,2576883.840000000316650,2576217.839999999385327,2664405.839999999850988,2545152.999999999534339,10362660.519999999552965
20150508,2596930.239999999757856,2616806.449999999720603,2705300.759999999776483,2569736.299999999813735,10488773.750000000000000
20150511,2561318.399999999906868,2632859.179999999701977,2703648.439999999944121,2578766.899999999906868,10476592.919999999925494
20150512,2576412.159999999683350,2617197.979999999515712,2699930.719999999739230,2568231.199999999720603,10461772.059999998658895
20150513,2575232.959999999962747,2628943.879999999888241,2706539.999999999534339,2562712.500000000000000,10473429.339999999850988
20150514,2592685.120000000111759,2644474.569999999832362,2728433.239999999757856,2594821.299999999813735,10560414.230000000447035
20150515,2601411.199999999720603,2649042.419999999925494,2721410.879999999888241,2633452.200000000186265,10605316.699999999254942
20150518,2602118.719999999739230,2671098.609999999869615,2743717.199999999720603,2627933.500000000000000,10644868.029999999329448
20150519,2607543.040000000037253,2680756.349999999627471,2768088.919999999925494,2624923.299999999813735,10681311.609999999403954
20150520,2599052.800000000279397,2676580.029999999795109,2746195.680000000167638,2624421.600000000093132,10646250.109999999403954
20150521,2603533.760000000242144,2674883.399999999441206,2753218.040000000037253,2618902.899999999906868,10650538.099999999627471
20150522,2600467.840000000316650,2712078.750000000000000,2745782.599999999627471,2619906.299999999813735,10678235.489999998360872
20150526,2581128.959999999962747,2693546.329999999608845,2715214.680000000167638,2594319.600000000093132,10584209.569999998435378
20150527,2603062.080000000074506,2728523.009999999776483,2745782.599999999627471,2579770.299999999813735,10657137.989999998360872
20150528,2606835.520000000018626,2720953.429999999701977,2734629.439999999944121,2566224.399999999906868,10628642.789999999105930
20150529,2603062.080000000074506,2691066.639999999664724,2717280.080000000074506,2550671.700000000186265,10562080.500000000000000
20150601,2616976.639999999664724,2712209.259999999776483,2729672.479999999981374,2552678.500000000000000,10611536.879999998956919
20150602,2612024.000000000000000,2694198.879999999888241,2727193.999999999534339,2561709.100000000093132,10595125.979999998584390
20150603,2621929.280000000260770,2718473.739999999757856,2755283.439999999944121,2571743.099999999627471,10667429.559999998658895
20150604,2601411.199999999720603,2726043.319999999832362,2739999.479999999981374,2557695.499999999534339,10625149.500000000000000
20150605,2601411.199999999720603,2746663.899999999441206,2785025.199999999720603,2559702.300000000279397,10692802.599999999627471
20150608,2577591.360000000335276,2738050.239999999757856,2763131.959999999962747,2544651.299999999813735,10623424.859999999403954
20150609,2559431.679999999701977,2728000.969999999739230,2775111.280000000260770,2542644.500000000000000,10605188.429999999701977
20150610,2594336.000000000000000,2781640.579999999608845,2819723.919999999925494,2592312.799999999813735,10788013.300000000745058
20150611,2608958.080000000074506,2792211.889999999664724,2830463.999999999534339,2605858.699999999720603,10837492.669999998062849
20150612,2593156.800000000279397,2780727.009999999776483,2819310.839999999850988,2603350.199999999720603,10796544.849999999627471
20150615,2598581.120000000111759,2763760.709999999497086,2808570.759999999776483,2592814.500000000000000,10763727.089999999850988
20150616,2619335.040000000037253,2787252.509999999776483,2824267.799999999813735,2622916.500000000000000,10853771.849999999627471
20150617,2629476.159999999683350,2779030.379999999888241,2814766.959999999962747,2627933.500000000000000,10851207.000000000000000
20150618,2670276.479999999981374,2800825.549999999813735,2841204.080000000074506,2659038.899999999906868,10971345.009999999776483
20150619,2656126.080000000074506,2782423.639999999664724,2812288.479999999981374,2672584.800000000279397,10923423.000000000000000
20150622,2677587.520000000018626,2825752.959999999497086,2848639.519999999552965,2679106.899999999906868,11031086.899999998509884
20150623,2698341.439999999944121,2850419.349999999627471,2881272.839999999850988,2689140.899999999906868,11119174.529999999329448
20150624,2683247.679999999701977,2798606.879999999888241,2851117.999999999534339,2664557.600000000093132,10997530.159999998286366
20150625,2699284.800000000279397,2777594.769999999552965,2835834.040000000037253,2639472.600000000093132,10952186.210000000894070
20150626,2712020.159999999683350,2782162.619999999646097,2848226.439999999944121,2752355.100000000093132,11094764.319999998435378
20150629,2666267.199999999720603,2710121.099999999627471,2775937.439999999944121,2701181.700000000186265,10853507.439999997615814
20150630,2691973.760000000242144,2724999.239999999757856,2799069.919999999925494,2709710.599999999627471,10925753.519999999552965
20150701,2715321.919999999925494,2740007.889999999664724,2811875.399999999441206,2745331.299999999813735,11012536.509999997913837
20150702,2711548.479999999981374,2730350.149999999441206,2789155.999999999534339,2756368.699999999720603,10987423.329999998211861
20150706,2728764.800000000279397,2715210.989999999757856,2781307.479999999981374,2755365.299999999813735,10980648.570000000298023
20150707,2761782.399999999906868,2717429.659999999683350,2759414.239999999757856,2791989.399999999906868,11030615.699999999254942
