訓練日期,20151112 - 20160217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11481413.630000000819564
真實報酬,1481413.630000000819564

夏普值報酬,0.139441363000000
夏普值風險,0.045094079193766
夏普值,3.092232184203850

預期報酬,23181.282083275513287
風險,215326.388054168171948
趨勢值,0.107656485081819
找到最佳解世代,2344
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
WMT[28](1),
Stock#,WMT[28](1),
張數,173671,
分配資金,10000000.000000000000000,
剩餘資金,23.820000000298023,
20151112,9890587.270000001415610,9890587.270000001415610
20151113,9798541.640000000596046,9798541.640000000596046
20151116,10050364.589999999850988,10050364.589999999850988
20151117,10406390.140000000596046,10406390.140000000596046
20151118,10581797.849999999627471,10581797.849999999627471
20151119,10541853.520000001415610,10541853.520000001415610
20151120,10432440.790000000968575,10432440.790000000968575
20151123,10465438.279999999329448,10465438.279999999329448
20151124,10406390.140000000596046,10406390.140000000596046
20151125,10461964.860000001266599,10461964.860000001266599
20151127,10401180.009999999776483,10401180.009999999776483
20151130,10218825.460000000894070,10218825.460000000894070
20151201,10244876.110000001266599,10244876.110000001266599
20151202,10133726.669999999925494,10133726.669999999925494
20151203,10253559.660000000149012,10253559.660000000149012
20151204,10361235.679999999701977,10361235.679999999701977
20151207,10507119.320000000298023,10507119.320000000298023
20151208,10352552.130000000819564,10352552.130000000819564
20151209,10269190.050000000745058,10269190.050000000745058
20151210,10343868.580000000074506,10343868.580000000074506
20151211,10309134.380000000819564,10309134.380000000819564
20151214,10488015.509999999776483,10488015.509999999776483
20151215,10357762.259999999776483,10357762.259999999776483
20151216,10472385.119999999180436,10472385.119999999180436
20151217,10243139.400000000372529,10243139.400000000372529
20151218,10220562.169999999925494,10220562.169999999925494
20151221,10342131.869999999180436,10342131.869999999180436
20151222,10514066.160000000149012,10514066.160000000149012
20151223,10609585.210000000894070,10609585.210000000894070
20151224,10564430.750000000000000,10564430.750000000000000
20151228,10550537.070000000298023,10550537.070000000298023
20151229,10699894.130000000819564,10699894.130000000819564
20151230,10712051.099999999627471,10712051.099999999627471
20151231,10646056.119999999180436,10646056.119999999180436
20160104,10673843.480000000447035,10673843.480000000447035
20160105,10927403.140000000596046,10927403.140000000596046
20160106,11036815.869999999180436,11036815.869999999180436
20160107,11293848.950000001117587,11293848.950000001117587
20160108,11035079.160000000149012,11035079.160000000149012
20160111,11153175.439999999478459,11153175.439999999478459
20160112,11048972.839999999850988,11048972.839999999850988
20160113,10753732.140000000596046,10753732.140000000596046
20160114,10951717.080000000074506,10951717.080000000074506
20160115,10755468.849999999627471,10755468.849999999627471
20160119,10864881.580000000074506,10864881.580000000074506
20160120,10566167.460000000894070,10566167.460000000894070
20160121,10746785.300000000745058,10746785.300000000745058
20160122,10887458.810000000521541,10887458.810000000521541
20160125,11019448.770000001415610,11019448.770000001415610
20160126,11114967.820000000298023,11114967.820000000298023
20160127,11106284.270000001415610,11106284.270000001415610
20160128,11153175.439999999478459,11153175.439999999478459
20160129,11524831.380000000819564,11524831.380000000819564
20160201,11722816.320000000298023,11722816.320000000298023
20160202,11611666.880000000819564,11611666.880000000819564
20160203,11509200.990000000223517,11509200.990000000223517
20160204,11535251.640000000596046,11535251.640000000596046
20160205,11635980.820000000298023,11635980.820000000298023
20160208,11618613.720000000670552,11618613.720000000670552
20160209,11429312.330000000074506,11429312.330000000074506
20160210,11425838.910000002011657,11425838.910000002011657
20160211,11344213.539999999105930,11344213.539999999105930
20160212,11493570.600000001490116,11493570.600000001490116
20160216,11444942.720000000670552,11444942.720000000670552
20160217,11481413.630000000819564,11481413.630000000819564
