訓練日期,20151209 - 20160314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11171291.160000000149012
真實報酬,1171291.160000000149012

夏普值報酬,0.108429116000000
夏普值風險,0.035353225628255
夏普值,3.067021864996131

預期報酬,19355.971855335523287
風險,153430.858221434842562
趨勢值,0.126154360861363
找到最佳解世代,2250
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
WMT[28](1),XOM[29](3),
Stock#,WMT[28](1),XOM[29](3),
張數,83878,66997,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,32.419999999925494,13.890000000596046,
20151209,4959738.560000000521541,5066997.000000000000000,10026735.560000000521541
20151210,4995806.100000000558794,5071016.820000000298023,10066822.920000001788139
20151211,4979030.500000000000000,4980570.870000001043081,9959601.370000001043081
20151214,5065424.839999999850988,5093795.800000000745058,10159220.640000000596046
20151215,5002516.339999999850988,5321585.600000001490116,10324101.940000001341105
20151216,5057875.819999999366701,5302826.440000001341105,10360702.260000001639128
20151217,4947156.859999999403954,5223100.009999999776483,10170256.869999999180436
20151218,4936252.719999999739230,5177542.050000000745058,10113794.769999999552965
20151221,4994967.319999999366701,5176202.110000001266599,10171169.429999999701977
20151222,5078006.540000000037253,5202330.940000001341105,10280337.480000000447035
20151223,5124139.440000000409782,5372503.320000000298023,10496642.760000001639128
20151224,5102331.160000000149012,5314885.900000000372529,10417217.060000000521541
20151228,5095620.919999999925494,5275357.669999999925494,10370978.589999999850988
20151229,5167756.000000000000000,5303496.410000000149012,10471252.410000000149012
20151230,5173627.459999999962747,5233149.560000000521541,10406777.019999999552965
20151231,5141753.819999999366701,5222430.040000000968575,10364183.859999999403954
20160104,5155174.299999999813735,5189601.509999999776483,10344775.809999998658895
20160105,5277636.179999999701977,5233819.530000001192093,10511455.710000000894070
20160106,5330479.319999999366701,5190271.480000000447035,10520750.800000000745058
20160107,5454618.759999999776483,5107195.200000001117587,10561813.960000000894070
20160108,5329640.540000000037253,5004019.820000000298023,10333660.359999999403954
20160111,5386677.580000000074506,4937022.820000000298023,10323700.400000000372529
20160112,5336350.779999999329448,5038188.290000000968575,10374539.070000000298023
20160113,5193758.179999999701977,5068336.940000001341105,10262095.120000001043081
20160114,5289379.100000000558794,5300816.530000001192093,10590195.630000002682209
20160115,5194596.959999999962747,5197641.150000000372529,10392238.109999999403954
20160119,5247440.100000000558794,5118584.690000001341105,10366024.790000002831221
20160120,5103169.940000000409782,4902854.350000001490116,10006024.290000002831221
20160121,5190403.060000000521541,4964491.589999999850988,10154894.650000000372529
20160122,5258344.239999999292195,5129974.179999999701977,10388318.419999998062849
20160125,5322091.520000000484288,4956451.950000001117587,10278543.470000002533197
20160126,5368224.419999999925494,5138683.790000000968575,10506908.210000000894070
20160127,5364030.520000000484288,5044218.020000001415610,10408248.540000002831221
20160128,5386677.580000000074506,5158112.919999999925494,10544790.500000000000000
20160129,5566176.500000000000000,5215730.339999999850988,10781906.839999999850988
20160201,5661797.419999999925494,5111215.020000001415610,10773012.440000001341105
20160202,5608115.500000000000000,4997320.120000001043081,10605435.620000001043081
20160203,5558627.479999999515712,5257938.450000001117587,10816565.929999999701977
20160204,5571209.179999999701977,5348384.400000000372529,10919593.580000000074506
20160205,5619858.419999999925494,5365133.650000000372529,10984992.070000000298023
20160208,5611470.620000000111759,5437490.410000000149012,11048961.030000001192093
20160209,5520043.600000000558794,5365133.650000000372529,10885177.250000000000000
20160210,5518366.040000000037253,5316225.839999999850988,10834591.879999998956919
20160211,5478943.379999998956919,5332975.089999999850988,10811918.469999998807907
20160212,5551078.460000000894070,5428780.800000000745058,10979859.260000001639128
20160216,5527592.620000000111759,5441510.230000000447035,10969102.850000001490116
20160217,5545207.000000000000000,5493767.890000000596046,11038974.890000000596046
20160218,5378289.780000000260770,5523916.540000000968575,10902206.320000000298023
20160219,5423583.899999999441206,5527266.390000000596046,10950850.289999999105930
20160222,5504945.559999999590218,5519896.720000000670552,11024842.280000001192093
20160223,5576241.860000000335276,5442180.200000001117587,11018422.060000002384186
20160224,5629923.780000000260770,5461609.330000000074506,11091533.109999999403954
20160225,5707091.540000000037253,5494437.860000001266599,11201529.400000002235174
20160226,5578758.200000000186265,5477018.640000000596046,11055776.839999999850988
20160229,5564498.940000000409782,5369823.440000001341105,10934322.380000002682209
20160301,5574564.299999999813735,5445530.050000000745058,11020094.350000001490116
20160302,5553594.799999999813735,5540665.790000000968575,11094260.589999999850988
20160303,5547723.339999999850988,5520566.690000001341105,11068290.030000001192093
20160304,5601405.259999999776483,5513197.020000001415610,11114602.280000001192093
20160307,5694509.839999999850988,5658580.509999999776483,11353090.349999999627471
20160308,5707091.540000000037253,5535976.000000000000000,11243067.539999999105930
20160309,5664313.759999999776483,5520566.690000001341105,11184880.450000001117587
20160310,5654248.399999999441206,5505827.350000001490116,11160075.750000000000000
20160311,5634117.679999999701977,5506497.320000000298023,11140615.000000000000000
20160314,5650054.500000000000000,5521236.660000000149012,11171291.160000000149012
