訓練日期,20160520 - 20160822
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11025305.599999999627471
真實報酬,1025305.599999999627471

夏普值報酬,0.093830560000000
夏普值風險,0.030025558965371
夏普值,3.125022921578821

預期報酬,18760.407248812258331
風險,99131.569399279265781
趨勢值,0.189247556177081
找到最佳解世代,2238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](14),JNJ[12](11),MRK[17](8),PG[21](1),UTX[24](3),VZ[26](15),
Stock#,AAPL[0](14),JNJ[12](11),MRK[17](8),PG[21](1),UTX[24](3),VZ[26](15),
張數,17692,14768,30536,20783,16918,33581,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,79.599999999860302,97.200000000186265,11.120000000111759,77.229999999981374,73.819999999832362,40.969999999972060,
20160520,1684711.839999999850988,1663564.720000000204891,1682850.080000000074506,1663132.889999999897555,1676647.619999999646097,1667673.429999999934807,10038584.580000000074506
20160523,1706119.159999999916181,1656476.080000000074506,1677048.240000000223517,1666873.830000000074506,1673264.020000000018626,1650211.310000000055879,10029996.640000000596046
20160524,1732126.399999999906868,1664303.120000000111759,1697812.720000000204891,1682876.739999999990687,1690351.199999999720603,1664986.949999999953434,10132461.129999998956919
20160525,1762556.639999999897555,1674050.000000000000000,1727432.640000000130385,1693476.070000000065193,1697287.579999999608845,1674053.820000000065193,10228860.750000000000000
20160526,1776533.319999999832362,1667404.400000000372529,1721936.160000000149012,1688072.489999999990687,1698810.199999999720603,1684463.929999999934807,10237224.500000000000000
20160527,1775471.799999999813735,1669767.280000000260770,1724684.399999999906868,1692436.920000000158325,1704731.500000000000000,1699911.189999999944121,10267007.089999999850988
20160531,1766802.719999999739230,1664303.120000000111759,1717966.479999999981374,1684331.550000000046566,1701686.259999999776483,1709313.869999999878928,10244407.999999998137355
20160601,1742033.919999999692664,1665632.240000000223517,1720104.000000000000000,1699918.800000000046566,1697795.119999999646097,1693530.800000000046566,10219018.880000000819564
20160602,1728941.839999999850988,1690885.520000000018626,1735066.640000000130385,1703244.080000000074506,1705239.040000000037253,1704948.340000000083819,10268329.460000000894070
20160603,1732480.239999999990687,1694872.880000000353903,1729570.160000000149012,1714051.239999999990687,1699148.560000000055879,1709985.489999999990687,10280112.570000000298023
20160606,1745041.559999999823049,1709788.560000000055879,1745754.240000000223517,1720286.139999999897555,1714882.299999999813735,1702933.479999999981374,10338690.280000001192093
20160607,1752118.359999999869615,1709197.840000000316650,1740563.120000000111759,1710933.789999999804422,1716404.919999999925494,1737857.719999999972060,10367079.750000001862645
20160608,1750526.079999999841675,1710231.600000000093132,1759495.439999999944121,1717792.180000000167638,1726894.079999999608845,1730134.090000000083819,10395077.469999998807907
20160609,1763087.399999999906868,1727953.200000000186265,1746059.600000000093132,1728599.340000000083819,1731123.579999999608845,1744573.920000000158325,10441401.039999999105930
