訓練日期,20160617 - 20160919
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11324804.179999999701977
真實報酬,1324804.179999999701977

夏普值報酬,0.123780418000000
夏普值風險,0.040836987719762
夏普值,3.031085907937840

預期報酬,20864.128326909718453
風險,153369.598763987392886
趨勢值,0.136038227230525
找到最佳解世代,1669
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](8),GS[8](1),INTC[11](3),PG[21](2),
Stock#,AAPL[0](8),GS[8](1),INTC[11](3),PG[21](2),
張數,25627,17049,78889,29972,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,86.149999999906868,105.129999999888241,7.589999999850988,35.479999999981374,
20160617,2443108.060000000055879,2483121.489999999757856,2505522.229999999981374,2491607.839999999850988,9923359.619999999180436
20160620,2437213.849999999627471,2519094.879999999888241,2537866.720000000204891,2488910.360000000335276,9983085.809999998658895
20160621,2457971.719999999739230,2529324.279999999795109,2549700.069999999832362,2500000.000000000000000,10036996.070000000298023
20160622,2448746.000000000000000,2525743.989999999757856,2547333.399999999906868,2504795.519999999552965,10026618.910000000149012
20160623,2462840.849999999627471,2602805.469999999739230,2602555.700000000186265,2523977.599999999627471,10192179.619999999180436
20160624,2393647.950000000186265,2418676.270000000018626,2488955.540000000037253,2465532.200000000186265,9766811.960000000894070
20160627,2358795.229999999981374,2378611.119999999646097,2423477.669999999925494,2434661.040000000037253,9595545.059999998658895
20160628,2398517.080000000074506,2428053.219999999739230,2460555.500000000000000,2471526.599999999627471,9758652.399999998509884
20160629,2419274.950000000186265,2480734.629999999888241,2518933.359999999869615,2514986.000000000000000,9933928.939999999478459
20160630,2450027.349999999627471,2533245.550000000279397,2587566.789999999571592,2537764.720000000204891,10108604.410000000149012
20160701,2457459.179999999701977,2527619.379999999888241,2583622.339999999850988,2541061.640000000130385,10109762.539999999105930
20160705,2434394.879999999888241,2462833.179999999701977,2578100.109999999869615,2560843.159999999683350,10036171.330000000074506
20160706,2448233.459999999962747,2482098.550000000279397,2600977.919999999925494,2548554.640000000130385,10079864.570000000298023
20160707,2458740.529999999795109,2506308.129999999888241,2619122.390000000130385,2542560.239999999757856,10126731.290000000968575
20160708,2477704.510000000242144,2563933.750000000000000,2682233.589999999850988,2570733.919999999925494,10294605.769999999552965
20160711,2485392.609999999869615,2594792.439999999944121,2712211.410000000149012,2570134.479999999981374,10362530.939999999478459
20160712,2496668.489999999757856,2675434.209999999497086,2756389.249999999534339,2570134.479999999981374,10498626.429999999701977
20160713,2482573.640000000130385,2692483.209999999497086,2761911.479999999515712,2574330.560000000055879,10511298.889999998733401
20160714,2531777.479999999981374,2771249.589999999850988,2776900.390000000130385,2573731.120000000111759,10653658.580000001937151
20160715,2531521.209999999962747,2755905.489999999757856,2766644.819999999832362,2577927.200000000186265,10631998.719999998807907
20160718,2558429.560000000055879,2784718.300000000279397,2765067.039999999571592,2575529.440000000409782,10683744.339999999850988
20160719,2559454.640000000130385,2751984.219999999739230,2772955.939999999944121,2582722.720000000204891,10667117.519999999552965
20160720,2561761.069999999832362,2758121.859999999869615,2815555.999999999534339,2557246.519999999552965,10692685.449999999254942
20160721,2548178.760000000242144,2728797.580000000074506,2703533.620000000111759,2555448.200000000186265,10535958.160000000149012
20160722,2528445.969999999739230,2734935.219999999739230,2734300.329999999608845,2569235.319999999832362,10566916.839999999850988
