訓練日期,20160927 - 20161228
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11654061.599999999627471
真實報酬,1654061.599999999627471

夏普值報酬,0.156706160000000
夏普值風險,0.048560560683951
夏普值,3.227025343053554

預期報酬,26403.857198313147819
風險,100871.556875601134379
趨勢值,0.261757209030445
找到最佳解世代,1860
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CVX[5](2),MSFT[18](5),
Stock#,BA[2](1),CVX[5](2),MSFT[18](5),
張數,25529,33745,58582,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.470000000204891,1.899999999906868,17.200000000186265,
20160927,3352479.750000000000000,3340082.000000000000000,3394844.100000000558794,10087406.850000001490116
20160928,3375711.140000000130385,3447053.649999999906868,3399530.660000000149012,10222296.449999999254942
20160929,3345076.340000000316650,3417358.049999999813735,3362624.000000000000000,10125059.390000000596046
20160930,3363201.930000000633299,3473037.299999999813735,3374340.400000000372529,10210580.630000000819564
20161003,3379540.490000000223517,3457177.149999999906868,3363795.640000000130385,10200514.280000001192093
20161004,3376221.720000000204891,3417358.049999999813735,3353250.880000000353903,10146831.650000000372529
20161005,3437746.610000000335276,3449753.250000000000000,3376683.680000000167638,10264184.540000000968575
20161006,3431619.649999999906868,3448066.000000000000000,3382541.880000000353903,10262228.530000001192093
20161007,3417068.120000000111759,3451103.049999999813735,3386056.799999999813735,10254228.969999998807907
20161010,3467870.830000000074506,3508807.000000000000000,3400116.479999999981374,10376795.310000000521541
20161011,3414259.930000000633299,3477086.700000000186265,3350321.780000000260770,10241669.410000000149012
20161012,3399453.110000000335276,3447053.649999999906868,3345635.220000000204891,10192142.980000000447035
20161013,3405069.490000000223517,3401160.450000000186265,3334504.640000000130385,10140735.580000000074506
20161014,3408132.970000000204891,3410946.500000000000000,3363795.640000000130385,10182876.110000001266599
20161017,3420897.470000000204891,3420395.100000000093132,3352079.240000000223517,10193372.810000000521541
20161018,3448979.370000000111759,3434905.450000000186265,3377855.319999999832362,10261741.140000000596046
20161019,3476550.690000000409782,3451103.049999999813735,3370239.660000000149012,10297894.400000000372529
20161020,3467870.830000000074506,3437605.050000000279397,3353836.700000000186265,10259313.580000001937151
20161021,3462509.740000000223517,3418370.399999999906868,3495019.319999999832362,10375900.460000000894070
20161024,3508972.520000000018626,3396773.599999999627471,3573519.200000000186265,10479266.320000000298023
20161025,3549053.050000000279397,3400485.549999999813735,3572933.380000000353903,10522472.980000000447035
20161026,3715502.129999999888241,3414658.449999999720603,3551843.860000000335276,10682005.440000001341105
20161027,3658572.460000000428408,3371802.299999999813735,3520795.400000000372529,10551171.160000000149012
20161028,3650913.759999999776483,3503407.799999999813735,3507321.540000000037253,10661644.099999999627471
20161031,3636106.940000000409782,3534790.649999999906868,3510250.640000000130385,10681149.230000000447035
20161101,3635596.360000000335276,3593169.500000000000000,3503220.799999999813735,10731987.660000000149012
20161102,3593218.220000000204891,3556387.449999999720603,3481545.459999999962747,10631152.129999998956919
20161103,3574582.050000000279397,3556387.449999999720603,3468657.420000000391155,10599627.919999999925494
20161104,3562328.129999999888241,3535803.000000000000000,3439366.420000000391155,10537498.550000000745058
20161107,3651424.340000000316650,3605655.149999999906868,3539541.640000000130385,10796622.130000000819564
20161108,3630235.270000000018626,3620502.950000000186265,3542470.740000000223517,10793209.960000000894070
20161109,3704014.080000000074506,3632313.699999999720603,3524896.140000000130385,10861224.919999999925494
20161110,3770389.479999999981374,3637375.450000000186265,3438780.600000000558794,10846546.530000001192093
20161111,3791578.550000000279397,3598568.699999999720603,3457526.840000000316650,10847675.089999999850988
20161114,3829106.180000000633299,3596881.450000000186265,3404803.040000000037253,10830791.670000001788139
20161115,3781111.660000000614673,3676857.099999999627471,3448739.540000000037253,10906709.300000000745058
20161116,3738478.229999999981374,3656272.649999999906868,3494433.500000000000000,10889185.379999998956919
20161117,3710141.040000000502914,3648511.300000000279397,3552429.680000000167638,10911083.020000001415610
20161118,3736180.620000000111759,3684955.899999999906868,3535440.900000000372529,10956578.419999999925494
20161121,3753285.050000000279397,3718026.000000000000000,3565317.720000000204891,11036629.770000001415610
20161122,3817107.550000000279397,3732873.800000000279397,3580549.040000000037253,11130531.390000000596046
20161123,3822723.930000000633299,3745696.899999999906868,3538370.000000000000000,11106791.830000000074506
