訓練日期,20161012 - 20170113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11486383.349999999627471
真實報酬,1486383.349999999627471

夏普值報酬,0.139938335000000
夏普值風險,0.046255447185809
夏普值,3.025337414593911

預期報酬,25324.598541611056135
風險,95528.938006954354933
趨勢值,0.265098713227268
找到最佳解世代,2248
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
AAPL[0](26),AXP[1](6),BA[2](1),CVX[5](8),DIS[6](3),UTX[24](4),
Stock#,AAPL[0](26),AXP[1](6),BA[2](1),CVX[5](8),DIS[6](3),UTX[24](4),
張數,14330,27385,12461,16174,18143,16874,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,87.000000000000000,14.899999999906868,131.859999999869615,97.039999999804422,50.020000000018626,21.020000000018626,
20161012,1681569.199999999953434,1662010.549999999813735,1659438.619999999878928,1652271.139999999897555,1658501.649999999906868,1669365.840000000083819,9983161.000000000000000
20161013,1676410.400000000139698,1654342.749999999767169,1662180.039999999804422,1630274.500000000000000,1653240.180000000167638,1684889.919999999925494,9961341.789999999105930
20161014,1685724.899999999906868,1647222.649999999906868,1663675.359999999869615,1634964.959999999729916,1656505.919999999925494,1690120.859999999869615,9978218.650000000372529
20161017,1684578.500000000000000,1640376.399999999906868,1669905.859999999869615,1639493.679999999701977,1647978.709999999962747,1682527.559999999823049,9964864.709999999031425
20161018,1683432.100000000093132,1645305.699999999953434,1683612.959999999729916,1646448.500000000000000,1654147.330000000074506,1687252.280000000027940,10000202.869999999180436
20161019,1678416.600000000093132,1677346.149999999906868,1697070.839999999850988,1654212.019999999785796,1667936.010000000242144,1683371.260000000009313,10058356.879999998956919
20161020,1677556.800000000046566,1828785.199999999953434,1692834.099999999860302,1647742.419999999925494,1669750.310000000055879,1675440.480000000214204,10192113.310000000521541
20161021,1670965.000000000000000,1844668.500000000000000,1690217.289999999804422,1638523.239999999757856,1687893.310000000055879,1664978.600000000093132,10197249.939999999478459
20161024,1686011.500000000000000,1837274.550000000046566,1712896.309999999823049,1628171.879999999655411,1694061.930000000167638,1679321.500000000000000,10237741.669999999925494
20161025,1694609.500000000000000,1827689.799999999813735,1732460.080000000074506,1629951.019999999785796,1682813.270000000018626,1710369.659999999916181,10277897.330000000074506
20161026,1656491.699999999953434,1829332.899999999906868,1813705.799999999813735,1636744.099999999860302,1696239.089999999850988,1704463.760000000009313,10336981.349999999627471
20161027,1640585.400000000139698,1832892.950000000186265,1785917.769999999785796,1616203.119999999878928,1705854.879999999888241,1688602.199999999953434,10270060.320000000298023
20161028,1629694.600000000093132,1819748.149999999906868,1782179.469999999739230,1679281.719999999739230,1702770.569999999832362,1718469.180000000167638,10332147.689999999478459
20161031,1627115.200000000186265,1818926.599999999860302,1774952.089999999850988,1694323.539999999804422,1681724.689999999944121,1724543.820000000065193,10321589.939999999478459
20161101,1597738.699999999953434,1814271.149999999906868,1774702.869999999878928,1722304.559999999823049,1676281.790000000037253,1721337.760000000009313,10306640.830000000074506
20161102,1599171.699999999953434,1792363.149999999906868,1754017.609999999869615,1704674.899999999906868,1667573.149999999906868,1713406.980000000214204,10231211.490000000223517
20161103,1573950.899999999906868,1789076.949999999953434,1744921.080000000074506,1704674.899999999906868,1694061.930000000167638,1705138.719999999972060,10211828.480000000447035
20161104,1559764.199999999953434,1794006.250000000000000,1738939.799999999813735,1694808.759999999776483,1677370.370000000111759,1709863.439999999944121,10174756.819999998435378
20161107,1582262.300000000046566,1834809.899999999906868,1782428.689999999944121,1728288.939999999711290,1713293.510000000242144,1738886.719999999972060,10379974.060000000521541
