訓練日期,20170215 - 20170518
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10766707.269999999552965
真實報酬,766707.269999999552965

夏普值報酬,0.067970727000000
夏普值風險,0.021522954615524
夏普值,3.158057442121577

預期報酬,13292.963285432133489
風險,64482.495465878739196
趨勢值,0.206148400265715
找到最佳解世代,2235
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),DIS[6](15),KO[14](1),WMT[28](2),
Stock#,AAPL[0](5),DIS[6](15),KO[14](1),WMT[28](2),
張數,18515,22659,61682,36411,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,104.699999999720603,32.530000000260770,28.540000000037253,20.740000000223517,
20170215,2509072.349999999627471,2496601.150000000372529,2494448.620000000111759,2501092.330000000074506,10001214.449999999254942
20170216,2506109.949999999720603,2508610.419999999925494,2541326.940000000409782,2507646.310000000521541,10063693.620000001043081
20170217,2512960.499999999534339,2493882.070000000298023,2543177.399999999906868,2525851.810000000521541,10075871.780000001192093
20170221,2531105.199999999720603,2492749.120000000577420,2557364.260000000242144,2601586.690000000409782,10182805.269999999552965
20170222,2538696.350000000093132,2495241.610000000335276,2565999.740000000223517,2611053.549999999813735,10210991.250000000000000
20170223,2527957.649999999906868,2486404.600000000558794,2569700.659999999683350,2596489.150000000372529,10180552.060000000521541
20170224,2530364.599999999627471,2499773.410000000149012,2577102.500000000000000,2635813.030000000260770,10243053.539999999105930
20170227,2535363.649999999906868,2497734.100000000558794,2570317.479999999981374,2612145.879999999888241,10215561.109999999403954
20170228,2536474.549999999813735,2494561.840000000316650,2588205.260000000242144,2582652.970000000670552,10201894.620000001043081
20170301,2588316.549999999348074,2516087.890000000596046,2600541.659999999683350,2565175.690000000409782,10270121.789999999105930
20170302,2572949.100000000093132,2505891.340000000316650,2619663.080000000074506,2576463.100000000558794,10274966.620000001043081
20170303,2588131.399999999906868,2520619.689999999944121,2620279.899999999906868,2549883.070000000298023,10278914.060000000521541
20170306,2579984.799999999813735,2507704.060000000521541,2601775.299999999813735,2544421.419999999925494,10233885.580000000074506
20170307,2583317.500000000000000,2512009.270000000018626,2590055.720000000204891,2544057.310000000521541,10229439.800000000745058
20170308,2573689.699999999720603,2511556.090000000316650,2590055.720000000204891,2541508.540000000037253,10216810.050000000745058
20170309,2567764.899999999906868,2515861.300000000279397,2592523.000000000000000,2543693.200000000186265,10219842.400000000372529
20170310,2576281.799999999348074,2513368.810000000521541,2608560.319999999832362,2552431.839999999850988,10250642.769999999552965
20170313,2577392.699999999720603,2526964.209999999962747,2592523.000000000000000,2546970.190000000409782,10243850.100000001490116
20170314,2573504.549999999813735,2544864.820000000298023,2588822.080000000074506,2575006.660000000149012,10282198.109999999403954
20170315,2600721.600000000093132,2534894.860000000335276,2598074.379999999888241,2569909.120000000111759,10303599.960000000894070
20170316,2604980.049999999813735,2531269.419999999925494,2606093.040000000037253,2564811.580000000074506,10307154.089999999850988
20170317,2592019.549999999813735,2532402.370000000577420,2592523.000000000000000,2544785.530000000260770,10261730.449999999254942
20170320,2619236.600000000093132,2553928.419999999925494,2601775.299999999813735,2548062.520000000484288,10323002.839999999850988
20170321,2589242.299999999813735,2532175.780000000260770,2621513.540000000037253,2545149.640000000596046,10288081.260000001639128
20170322,2618495.999999999534339,2539653.250000000000000,2614111.700000000186265,2557893.490000000223517,10330154.440000001341105
20170323,2609238.499999999534339,2543278.689999999944121,2601158.479999999981374,2543693.200000000186265,10297368.870000001043081
20170324,2604054.299999999348074,2541012.790000000502914,2598074.379999999888241,2534590.450000000186265,10277731.919999999925494
