訓練日期,20171030 - 20180201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11786888.289999999105930
真實報酬,1786888.289999999105930

夏普值報酬,0.169988829000000
夏普值風險,0.050970544461207
夏普值,3.335040478709713

預期報酬,29122.380877915958990
風險,71992.879038066341309
趨勢值,0.404517519885786
找到最佳解世代,2118
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,7
AXP[1](19),BA[2](6),CVX[5](8),DIS[6](7),NKE[19](2),WBA[27](5),WMT[28](3),
Stock#,AXP[1](19),BA[2](6),CVX[5](8),DIS[6](7),NKE[19](2),WBA[27](5),WMT[28](3),
張數,14913,5570,12582,14531,25528,22155,16202,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,54.729999999981374,88.800000000046566,10.719999999972060,28.389999999897555,24.119999999878928,16.599999999860302,40.659999999916181,
20171030,1417833.639999999897555,1444111.300000000046566,1439265.699999999953434,1424647.629999999888241,1410956.679999999934807,1468006.899999999906868,1408804.560000000055879,10013629.410000000149012
20171031,1424544.489999999990687,1437037.400000000139698,1458138.699999999953434,1421305.500000000000000,1403808.839999999850988,1468228.449999999720603,1414637.280000000027940,10027703.659999998286366
20171101,1428571.000000000000000,1439933.800000000046566,1458264.520000000018626,1439033.319999999832362,1405851.079999999841675,1484623.149999999906868,1424844.539999999804422,10081124.410000000149012
20171102,1431404.469999999972060,1462937.899999999906868,1451092.780000000027940,1429152.239999999757856,1407127.479999999748543,1479527.500000000000000,1438778.259999999776483,10100023.630000000819564
20171103,1438115.320000000065193,1458036.300000000046566,1446814.899999999906868,1433366.229999999981374,1422189.000000000000000,1481521.449999999953434,1453036.020000000018626,10133082.219999998807907
20171106,1436027.500000000000000,1470958.699999999953434,1472608.000000000000000,1462428.229999999981374,1430613.239999999757856,1460917.299999999813735,1437158.060000000055879,10170714.029999999329448
20171107,1422307.540000000037253,1482432.899999999906868,1475124.399999999906868,1476523.299999999813735,1407893.319999999832362,1504784.199999999953434,1441208.560000000055879,10210277.219999998807907
20171108,1418728.419999999925494,1479313.699999999953434,1467952.659999999916181,1470274.969999999972060,1423465.399999999906868,1526496.100000000093132,1462433.179999999934807,10248667.429999999701977
20171109,1398148.479999999981374,1463327.800000000046566,1475124.399999999906868,1492071.469999999972060,1432910.760000000009313,1540675.300000000046566,1463081.259999999776483,10265342.469999998807907
20171110,1394718.489999999990687,1453023.300000000279397,1474369.479999999981374,1522586.569999999832362,1431889.639999999897555,1572800.049999999813735,1473126.500000000000000,10322517.029999999329448
20171113,1400385.430000000167638,1461768.200000000186265,1474998.580000000074506,1522005.329999999841675,1427294.599999999860302,1559063.949999999953434,1474260.639999999897555,10319779.730000000447035
20171114,1398297.610000000102445,1458092.000000000000000,1471098.159999999916181,1499191.659999999916181,1429081.559999999823049,1563938.050000000046566,1475880.840000000083819,10295582.880000000819564
20171115,1390841.110000000102445,1464219.000000000232831,1465184.620000000111759,1506747.779999999795109,1445674.760000000009313,1555297.599999999860302,1455466.319999999832362,10283434.189999999478459
20171116,1395315.010000000009313,1468897.800000000046566,1441530.459999999962747,1505439.989999999757856,1460991.559999999823049,1579668.099999999860302,1614083.899999999906868,10465929.820000000298023
20171117,1397253.699999999953434,1460877.000000000000000,1443291.939999999944121,1503115.029999999795109,1511026.439999999711290,1578560.349999999860302,1579249.599999999860302,10473377.059999998658895
20171120,1401131.080000000074506,1474077.899999999906868,1443417.760000000009313,1493088.639999999897555,1512558.119999999878928,1568147.500000000000000,1579411.619999999878928,10471835.619999999180436
20171121,1407991.059999999823049,1487223.100000000093132,1449079.659999999916181,1496721.389999999897555,1516132.039999999804422,1576566.399999999674037,1563857.699999999953434,10497574.349999999627471
20171122,1399192.389999999897555,1476974.299999999813735,1458390.339999999850988,1492943.329999999841675,1507963.079999999841675,1580332.749999999767169,1562075.479999999748543,10477874.669999999925494
20171124,1394121.969999999972060,1481040.399999999906868,1465939.540000000037253,1491490.229999999981374,1514345.079999999841675,1557070.000000000000000,1565477.899999999906868,10469488.120000001043081
20171127,1393972.839999999850988,1479369.399999999906868,1454364.100000000093132,1493669.879999999888241,1522258.760000000009313,1537352.049999999813735,1565477.899999999906868,10446467.929999999701977
20171128,1420965.370000000111759,1492793.100000000093132,1465184.620000000111759,1502679.099999999860302,1520982.359999999869615,1600493.799999999813735,1567908.199999999953434,10571009.549999997019768
20171129,1440650.529999999795109,1500089.800000000046566,1474369.479999999981374,1529270.829999999841675,1540894.199999999953434,1593404.199999999953434,1580707.780000000027940,10659389.820000000298023
20171130,1457203.959999999962747,1541864.800000000046566,1497142.899999999906868,1523167.809999999823049,1542425.879999999888241,1612014.399999999906868,1575361.119999999878928,10749183.869999999180436
20171201,1459440.909999999916181,1511675.399999999906868,1503685.540000000037253,1529416.139999999897555,1528640.760000000009313,1582991.349999999860302,1577305.359999999869615,10693158.459999999031425
20171204,1470327.400000000139698,1548381.700000000186265,1520419.600000000093132,1601635.209999999962747,1534256.919999999925494,1585649.949999999720603,1571796.679999999934807,10832470.460000000894070
20171205,1472116.959999999962747,1534846.600000000093132,1514757.699999999953434,1558042.209999999962747,1542425.879999999888241,1554854.500000000000000,1585082.319999999832362,10762129.169999999925494
20171206,1464660.459999999962747,1550052.699999999953434,1504943.739999999990687,1532467.649999999906868,1524556.279999999795109,1574129.349999999860302,1576171.219999999972060,10726984.400000000372529
20171207,1470178.270000000018626,1570661.700000000186265,1505195.379999999888241,1529561.449999999953434,1547020.919999999925494,1542226.149999999906868,1568070.219999999972060,10732917.089999999850988
20171208,1469730.879999999888241,1592551.799999999813735,1508844.159999999916181,1514594.520000000018626,1564890.519999999785796,1585206.849999999860302,1564343.759999999776483,10800165.489999998360872
20171211,1476441.729999999981374,1577290.000000000232831,1515135.159999999916181,1552375.119999999878928,1580462.599999999860302,1592517.999999999767169,1570500.520000000018626,10864726.129999998956919
20171212,1481959.540000000037253,1615054.600000000093132,1505824.479999999981374,1561093.719999999972060,1587099.879999999888241,1595398.149999999906868,1566774.060000000055879,10913207.429999999701977
20171213,1458247.870000000111759,1625637.599999999860302,1508969.979999999981374,1563709.299999999813735,1641474.519999999785796,1588973.199999999720603,1583948.179999999934807,10970963.649999998509884
20171214,1448852.680000000167638,1637000.399999999906868,1503937.179999999934807,1606721.059999999823049,1647345.959999999962747,1558842.399999999906868,1573740.919999999925494,10976443.599999999627471
20171215,1469283.489999999990687,1637334.600000000093132,1506453.580000000074506,1616892.759999999776483,1653983.239999999990687,1593847.299999999813735,1573416.879999999888241,11051214.849999997764826
20171218,1486582.570000000065193,1649588.599999999860302,1506076.120000000111759,1613405.319999999832362,1654493.800000000046566,1607361.849999999860302,1586216.459999999962747,11103727.719999998807907
20171219,1478678.680000000167638,1655771.300000000046566,1507837.600000000093132,1624739.500000000000000,1639942.839999999850988,1599386.049999999813735,1600798.259999999776483,11107157.229999998584390
20171220,1469134.360000000102445,1659391.799999999813735,1521048.699999999953434,1593933.779999999795109,1623349.639999999897555,1611128.199999999720603,1599988.159999999916181,11077977.640000000596046
20171221,1468985.229999999981374,1643405.899999999906868,1570495.959999999962747,1592190.059999999823049,1653472.679999999701977,1622870.349999999860302,1588808.780000000027940,11140231.959999999031425
20171222,1472564.349999999860302,1643795.800000000279397,1572509.080000000074506,1579112.159999999916181,1615691.239999999757856,1610906.649999999674037,1591239.079999999841675,11085821.360000001266599
20171226,1470029.139999999897555,1645244.000000000232831,1585091.080000000074506,1571120.109999999869615,1624881.319999999832362,1623978.099999999860302,1606630.979999999748543,11126977.730000000447035
20171227,1478380.419999999925494,1646692.200000000186265,1579680.819999999832362,1564145.229999999981374,1607011.719999999972060,1614229.899999999906868,1608251.179999999934807,11098394.469999998807907
20171228,1486880.830000000074506,1650758.300000000279397,1580058.280000000027940,1566034.259999999776483,1607011.719999999972060,1616002.299999999813735,1610519.459999999962747,11117268.149999998509884
20171229,1481064.760000000009313,1642737.500000000232831,1575151.300000000046566,1562256.199999999953434,1596800.519999999785796,1608912.699999999953434,1599988.159999999916181,11066914.140000000596046
20180102,1475546.949999999953434,1653487.599999999860302,1605222.280000000027940,1624594.189999999944121,1620796.839999999850988,1660533.849999999860302,1597395.840000000083819,11237580.549999998882413
20180103,1484643.879999999888241,1658834.800000000046566,1616923.539999999804422,1631569.069999999832362,1620541.559999999823049,1672940.649999999906868,1611329.560000000055879,11296786.059999998658895
