訓練日期,20120524 - 20120824
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11397194.799999998882413
真實報酬,1397194.799999998882413

夏普值報酬,0.131019480000000
夏普值風險,0.039881259836147
夏普值,3.285239246159657

預期報酬,22734.769650990227092
風險,89623.138280154598760
趨勢值,0.253670760556534
找到最佳解世代,2708
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AAPL[0](9),HD[9](6),MRK[17](4),PFE[20](11),WMT[28](5),
Stock#,AAPL[0](9),HD[9](6),MRK[17](4),PFE[20](11),WMT[28](5),
張數,24536,41442,53390,89405,31382,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,70.639999999897555,9.080000000074506,10.599999999860302,10.149999999906868,25.140000000130385,
20120524,1981598.000000000000000,2060090.900000000139698,2007474.599999999860302,1979436.849999999860302,2042051.879999999888241,10070652.230000000447035
20120525,1971047.519999999785796,2048901.560000000055879,2004805.099999999627471,1978542.799999999813735,2049583.560000000288710,10052880.539999999105930
20120529,2005888.639999999897555,2062991.840000000083819,2006940.699999999953434,1983013.049999999813735,2061194.900000000372529,10120029.129999998956919
20120530,2030179.279999999795109,2060090.900000000139698,1996796.599999999860302,1970496.349999999860302,2053663.219999999972060,10111226.349999999627471
20120531,2025026.719999999972060,2044757.360000000102445,2006406.799999999813735,1955297.500000000000000,2065588.379999999888241,10097076.759999999776483
20120601,1966385.679999999934807,1987567.400000000139698,1985050.799999999813735,1934734.349999999860302,2057115.239999999990687,9930853.469999998807907
20120604,1977917.599999999860302,2020721.000000000000000,2000000.000000000000000,1932052.199999999953434,2070923.320000000065193,10001614.119999999180436
20120605,1972765.040000000037253,2027351.720000000204891,2002135.599999999860302,1931158.150000000139698,2055546.140000000130385,9988956.650000000372529
20120606,2003189.679999999934807,2096974.280000000027940,2023491.599999999860302,1958873.699999999953434,2069040.400000000372529,10151569.660000000149012
20120607,2003925.760000000009313,2123497.160000000149012,2046449.299999999813735,1961555.850000000093132,2067157.480000000214204,10202585.550000000745058
20120608,2034105.040000000037253,2169497.780000000260770,2053390.000000000000000,1979436.849999999860302,2140905.180000000167638,10377334.849999999627471
20120611,2002208.239999999757856,2128055.780000000260770,2053923.899999999906868,1975860.650000000139698,2119251.600000000093132,10279300.169999999925494
20120612,2019628.800000000046566,2164939.160000000149012,2074212.099999999860302,1983907.100000000093132,2125214.180000000167638,10367901.339999999850988
20120613,2005643.279999999795109,2112307.819999999832362,2050186.599999999860302,1983907.100000000093132,2104815.879999999888241,10256860.679999999701977
20120614,2003435.040000000037253,2161623.799999999813735,2071008.699999999720603,2016986.949999999720603,2122389.799999999813735,10375444.289999999105930
20120615,2012513.359999999869615,2149605.620000000111759,2079017.199999999720603,2021457.199999999953434,2126155.640000000130385,10388749.019999999552965
20120618,2053243.120000000111759,2168254.520000000018626,2074212.099999999860302,2022351.250000000000000,2137766.980000000447035,10455827.970000000670552
20120619,2059131.760000000009313,2195191.819999999832362,2094500.299999999580905,2030397.699999999953434,2128038.560000000055879,10507260.140000000596046
20120620,2053243.120000000111759,2189389.939999999944121,2093432.500000000000000,2026821.500000000000000,2150319.779999999795109,10513206.839999999850988
20120621,2024781.359999999869615,2124326.000000000000000,2106246.099999999627471,2020563.150000000139698,2124586.540000000037253,10400503.149999998509884
20120622,2040484.399999999906868,2155821.920000000391155,2145220.799999999813735,2032185.800000000046566,2112033.740000000223517,10485746.660000000149012
20120625,2000736.080000000074506,2135100.920000000391155,2123864.799999999813735,2008940.499999999767169,2139649.900000000372529,10408292.200000001117587
