訓練日期,20130321 - 20130621
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11308222.220000000670552
真實報酬,1308222.220000000670552

夏普值報酬,0.122122222000000
夏普值風險,0.044946116685896
夏普值,2.717080606839627

預期報酬,26584.342520471898752
風險,115039.965474475975498
趨勢值,0.231087886812433
找到最佳解世代,4734
找到最佳解實驗#,2
找到最佳解次數,22

stock[index](rank)
投資組合檔數,5
AXP[1](7),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](6),
Stock#,AXP[1](7),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](6),
張數,30303,23427,94428,45330,36443,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.000000000000000,37.010000000009313,14.959999999962747,40.400000000139698,8.159999999916181,
20130321,1982121.229999999981374,1975635.919999999925494,1986780.079999999841675,1985041.100000000093132,2006559.739999999990687,9936138.070000000298023
20130322,2006666.659999999916181,1987115.149999999906868,2014164.199999999720603,1990027.400000000139698,1984693.939999999944121,9982667.349999999627471
20130325,2003030.299999999813735,1987817.959999999962747,1997167.159999999916181,1980508.100000000093132,1999271.139999999897555,9967794.660000000149012
20130326,2035454.510000000009313,2029283.750000000000000,2055712.520000000018626,2012239.100000000093132,2028061.109999999869615,10160750.989999998360872
20130327,2034848.450000000186265,2019444.410000000149012,2061378.199999999720603,1999093.400000000139698,2063410.819999999832362,10178175.280000001192093
20130328,2044242.379999999888241,2011244.959999999962747,2062322.479999999981374,2003626.400000000372529,2084912.189999999944121,10206348.410000000149012
20130401,2038181.780000000260770,1997188.760000000009313,2023607.000000000000000,2010425.900000000139698,2149051.870000000111759,10218455.310000000521541
20130402,2049696.919999999925494,1970013.440000000176951,2026439.840000000083819,2035810.699999999953434,2249998.980000000447035,10331959.880000000819564
20130403,2007575.750000000000000,1976338.729999999981374,1987724.360000000102445,2056209.200000000186265,2247447.969999999739230,10275296.009999999776483
20130404,2022121.190000000176951,1990160.660000000149012,1996222.880000000121072,2054396.000000000232831,2260567.450000000186265,10323468.179999999701977
20130405,1978787.899999999906868,2018741.600000000093132,1977337.280000000027940,2045783.300000000279397,2263118.459999999962747,10283768.539999999105930
20130408,1987878.799999999813735,2032329.260000000009313,1991501.479999999981374,2061648.800000000046566,2255465.429999999701977,10328823.769999999552965
20130409,1976363.659999999916181,2043105.679999999934807,2053823.959999999962747,2063008.699999999953434,2266033.899999999441206,10402335.899999998509884
20130410,1981818.200000000186265,2057396.149999999906868,2101982.240000000223517,2123297.600000000558794,2274415.790000000037253,10538909.980000000447035
20130411,1992121.219999999739230,2074029.320000000065193,2061378.199999999720603,2140069.700000000186265,2295188.299999999813735,10562786.740000000223517
20130412,1990303.040000000270084,2082463.040000000037253,2047214.000000000000000,2135536.700000000186265,2297010.450000000186265,10552527.230000000447035
20130415,1942424.299999999813735,2032797.799999999813735,2018885.599999999860302,2106072.200000000186265,2244532.530000000260770,10344712.429999999701977
20130416,1957272.770000000018626,2035609.040000000037253,2069876.720000000204891,2128737.200000000186265,2288992.990000000223517,10480488.720000000670552
20130417,1943333.389999999897555,2030923.639999999897555,2070821.000000000000000,2119671.200000000186265,2260567.450000000186265,10425316.679999999701977
20130418,1970909.120000000111759,2017570.250000000000000,2100093.679999999701977,2110605.200000000186265,2175290.830000000074506,10374469.080000000074506
20130419,2037575.719999999739230,2060675.929999999934807,2118979.280000000260770,2152762.100000000558794,2188045.879999999888241,10558038.910000000149012
20130422,2019999.979999999981374,2036780.389999999897555,2160527.600000000093132,2172254.000000000000000,2158162.620000000111759,10547724.589999999850988
20130423,2043939.350000000093132,2065829.870000000111759,2207741.600000000093132,2204438.299999999813735,2133381.379999999888241,10655330.500000000000000
20130424,2043030.260000000009313,2127911.419999999925494,2234181.439999999944121,2173613.900000000372529,2142492.129999999888241,10721229.149999998509884
20130425,2064545.389999999897555,2147590.099999999627471,2207741.600000000093132,2146415.900000000372529,2162535.780000000260770,10728828.769999999552965
20130426,2053030.250000000000000,2175233.959999999962747,2209630.159999999683350,2169987.500000000000000,2167637.799999999813735,10775519.669999998062849
20130429,2049393.889999999897555,2152978.310000000521541,2243624.240000000223517,2167721.000000000000000,2186952.589999999850988,10800670.030000001192093
20130430,2073030.229999999981374,2141499.080000000074506,2261565.560000000055879,2130550.400000000372529,2184037.149999999441206,10790682.420000001788139
20130501,2069090.840000000083819,2136110.870000000111759,2265342.679999999701977,2071168.100000000093132,2176384.120000000111759,10718096.609999999403954
20130502,2102424.139999999664724,2160240.679999999701977,2276674.040000000037253,2072981.300000000046566,2167637.799999999813735,10779957.960000000894070
20130503,2128181.689999999944121,2196083.990000000223517,2262509.839999999850988,2070261.500000000232831,2147229.719999999739230,10804266.739999998360872
20130506,2123030.180000000167638,2206626.139999999664724,2257788.439999999944121,2038983.800000000046566,2193876.759999999776483,10820305.320000000298023
20130507,2128484.719999999739230,2220682.339999999850988,2280451.159999999683350,2052129.500000000232831,2204809.660000000149012,10886557.379999998956919
20130508,2130605.930000000167638,2203112.089999999850988,2289893.959999999962747,2039437.100000000325963,2278060.089999999850988,10941109.169999999925494
20130509,2127575.629999999888241,2216465.480000000447035,2300281.040000000037253,2062102.100000000325963,2259838.589999999850988,10966262.839999999850988
20130510,2123636.239999999757856,2207797.490000000223517,2313500.959999999962747,2082953.900000000372529,2292637.290000000037253,11020525.879999998956919
20130513,2114848.370000000111759,2219979.530000000260770,2273841.199999999720603,2092926.500000000232831,2273686.929999999701977,10975282.529999999329448
20130514,2166969.530000000260770,2251605.980000000447035,2251178.479999999981374,2114684.900000000372529,2249634.549999999813735,11034073.440000001341105
20130515,2205454.339999999850988,2272924.549999999813735,2285172.560000000055879,2118311.299999999813735,2245261.389999999664724,11127124.140000000596046
20130516,2188787.689999999944121,2262616.669999999925494,2260621.280000000260770,2101992.500000000000000,2264576.179999999701977,11078594.320000000298023
20130517,2221817.959999999962747,2317435.849999999627471,2270064.080000000074506,2084767.100000000325963,2290086.280000000260770,11184171.269999999552965
20130520,2254545.200000000186265,2312750.450000000186265,2273841.199999999720603,2049409.700000000186265,2279882.240000000223517,11170428.790000000968575
20130521,2276060.330000000074506,2313453.259999999776483,2280451.159999999683350,2145509.299999999813735,2291179.569999999366701,11306653.620000001043081
20130522,2255757.319999999832362,2294243.120000000111759,2272896.919999999925494,2117404.700000000186265,2269678.200000000186265,11209980.259999997913837
20130523,2263333.069999999832362,2336880.259999999776483,2271008.359999999869615,2145509.299999999813735,2272593.639999999664724,11289324.629999998956919
20130524,2280908.810000000055879,2342737.009999999776483,2258732.720000000204891,2137803.200000000186265,2261660.740000000223517,11281842.480000002309680
20130528,2307878.479999999981374,2345313.980000000447035,2273841.199999999720603,2158655.000000000000000,2308307.780000000260770,11393996.440000001341105
20130529,2297878.489999999757856,2321418.440000000409782,2291782.520000000018626,2124657.500000000000000,2308672.209999999962747,11344409.160000000149012
20130530,2307272.419999999925494,2355387.589999999850988,2286116.839999999850988,2133723.500000000000000,2356412.540000000037253,11438912.890000000596046
20130531,2294242.129999999888241,2319778.549999999813735,2292726.800000000279397,2116951.400000000372529,2282433.250000000000000,11306132.130000000819564
20130603,2317272.410000000149012,2360072.990000000223517,2383377.679999999701977,2196278.900000000372529,2288628.559999999590218,11545630.539999999105930
20130604,2304848.180000000167638,2333600.480000000447035,2394709.040000000037253,2241155.599999999627471,2272593.639999999664724,11546906.940000001341105
20130605,2265454.280000000260770,2307362.240000000223517,2332386.560000000055879,2208971.299999999813735,2250363.410000000149012,11364537.789999999105930
20130606,2310302.719999999739230,2337114.530000000260770,2327665.159999999683350,2203078.400000000372529,2256558.719999999739230,11434719.530000001192093
20130607,2364848.120000000111759,2401070.240000000223517,2321999.479999999981374,2184493.099999999627471,2280246.669999999925494,11552657.609999999403954
20130610,2372120.839999999850988,2395213.490000000223517,2361659.240000000223517,2196732.200000000186265,2320698.399999999441206,11646424.169999998062849
20130611,2318787.560000000055879,2383734.259999999776483,2333330.839999999850988,2155935.200000000186265,2329809.149999999441206,11521597.009999997913837
20130612,2264242.160000000149012,2363352.769999999552965,2309723.839999999850988,2141882.900000000372529,2326164.849999999627471,11405366.519999999552965
20130613,2279090.629999999888241,2393339.330000000074506,2359770.679999999701977,2171347.400000000372529,2337826.610000000335276,11541374.649999998509884
20130614,2211211.910000000149012,2385608.419999999925494,2353160.720000000204891,2173613.900000000372529,2325071.559999999590218,11448666.510000001639128
20130617,2237575.520000000018626,2413720.820000000298023,2370157.760000000242144,2166814.400000000372529,2345844.070000000298023,11534112.570000000298023
20130618,2272120.939999999944121,2438319.169999999925494,2405096.119999999646097,2164547.900000000372529,2393584.400000000372529,11673668.529999999329448
20130619,2249393.689999999944121,2395447.759999999776483,2360714.959999999962747,2156841.799999999813735,2378278.339999999850988,11540676.549999998882413
20130620,2209696.760000000242144,2334303.290000000037253,2284228.280000000260770,2099272.700000000186265,2325071.559999999590218,11252572.589999999850988
20130621,2221514.930000000167638,2342268.469999999739230,2285172.560000000055879,2130550.400000000372529,2328715.859999999403954,11308222.220000000670552
