訓練日期,20141021 - 20150123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12328449.490000000223517
真實報酬,2328449.490000000223517

夏普值報酬,0.224144949000000
夏普值風險,0.052686062448326
夏普值,4.254349985251586

預期報酬,37906.095070517258137
風險,203609.481011248572031
趨勢值,0.186170579494887
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
UNH[23](3),WBA[27](1),WMT[28](5),
Stock#,UNH[23](3),WBA[27](1),WMT[28](5),
張數,37647,55370,44361,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,67.619999999646097,59.000000000000000,47.459999999962747,
20141021,3424062.269999999552965,3408082.500000000000000,3372370.679999999701977,10204516.449999999254942
20141022,3379638.809999999590218,3405314.000000000000000,3372814.290000000037253,10157768.099999999627471
20141023,3413144.639999999664724,3436874.899999999906868,3382573.709999999962747,10232594.250000000000000
20141024,3450038.699999999720603,3468989.500000000000000,3388340.639999999664724,10307369.839999999850988
20141027,3468485.729999999515712,3494459.700000000186265,3397656.450000000186265,10360602.879999998956919
20141028,3487685.699999999720603,3527128.000000000000000,3387009.809999999590218,10401824.509999997913837
20141029,3499732.739999999292195,3478956.100000000093132,3388784.250000000000000,10367474.089999999850988
20141030,3534367.979999999515712,3486154.200000000186265,3391445.910000000149012,10411969.089999999850988
20141031,3576909.089999999850988,3555920.399999999906868,3383460.929999999701977,10516291.419999999925494
20141103,3571262.039999999571592,3598001.600000000093132,3383904.540000000037253,10553169.179999999701977
20141104,3575779.679999999701977,3612397.799999999813735,3427378.320000000298023,10615556.800000000745058
20141105,3606650.219999999739230,3635653.199999999720603,3446897.160000000149012,10689201.580000000074506
20141106,3622085.489999999292195,3690469.500000000465661,3451776.870000000111759,10764332.859999999403954
20141107,3524203.289999999571592,3705419.399999999906868,3494363.429999999701977,10723987.119999999180436
20141110,3567120.869999999646097,3753037.600000000093132,3524085.299999999813735,10844244.769999999552965
20141111,3602509.049999999348074,3737534.000000000000000,3505010.070000000298023,10845054.119999999180436
20141112,3602132.580000000074506,3734211.799999999813735,3513438.660000000149012,10849784.039999999105930
20141113,3610414.919999999925494,3707634.199999999720603,3679348.799999999813735,10997398.919999998062849
20141114,3580673.789999999571592,3705973.100000000558794,3680236.019999999552965,10966883.910000000149012
20141117,3631873.709999999497086,3684932.500000000000000,3707296.229999999515712,11024103.439999997615814
20141118,3696626.549999999348074,3768541.200000000186265,3717055.650000000372529,11182224.400000000372529
20141119,3646556.039999999571592,3753591.300000000279397,3770288.849999999627471,11170437.189999999478459
20141120,3646179.569999999366701,3728674.800000000279397,3752100.839999999850988,11126956.209999999031425
20141121,3640908.989999999292195,3742517.300000000279397,3755206.110000000335276,11138633.399999998509884
20141124,3648061.919999999925494,3750269.100000000093132,3788476.860000000335276,11186808.879999998956919
20141125,3685708.919999999925494,3754698.700000000186265,3768514.410000000149012,11208923.030000001192093
20141126,3693614.789999999571592,3791242.899999999906868,3769845.240000000223517,11254703.929999999701977
20141128,3713191.229999999515712,3798994.700000000186265,3883409.400000000372529,11395596.330000000074506
20141201,3729379.439999999944121,3752483.899999999906868,3824852.879999999888241,11306717.219999998807907
20141202,3758367.629999999422580,3696006.500000000000000,3832837.860000000335276,11287212.989999998360872
