訓練日期,20190927 - 20191230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12723689.750000001862645
真實報酬,2723689.750000001862645

夏普值報酬,0.263668975000000
夏普值風險,0.070576724274566
夏普值,3.735919705967727

預期報酬,42286.484794320189394
風險,101779.194535064991214
趨勢值,0.415472778965171
找到最佳解世代,2472
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),JNJ[12](8),UNH[23](1),
Stock#,AAPL[0](2),JNJ[12](8),UNH[23](1),
張數,15159,25869,15469,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.490000000223517,112.350000000093132,72.880000000353903,
20190927,3317112.870000000111759,3326865.750000000000000,3329929.820000000298023,9973909.440000001341105
20190930,3395181.720000000204891,3347043.569999999832362,3361795.960000000428408,10104022.250000000000000
20191001,3404580.300000000279397,3362823.660000000149012,3360094.370000000577420,10127499.330000001937151
20191002,3319235.130000000353903,3414820.350000000093132,3352978.630000000353903,10087035.110000001266599
20191003,3347430.870000000111759,3393866.459999999962747,3331476.720000000670552,10072775.050000000745058
20191004,3441265.080000000074506,3457762.890000000130385,3400159.080000000540167,10299188.050000000745058
20191007,3442023.030000000260770,3444828.390000000130385,3422434.440000000409782,10309286.859999999403954
20191008,3401700.090000000316650,3410681.310000000055879,3404954.470000000670552,10217336.870000001043081
20191009,3441568.260000000242144,3342904.530000000260770,3435428.400000000372529,10219902.190000001341105
20191010,3487954.800000000279397,3338765.490000000223517,3460952.250000000000000,10287673.540000000968575
20191011,3580727.880000000353903,3397488.120000000577420,3435273.710000000428408,10413490.710000000894070
20191014,3575573.820000000298023,3381708.030000000260770,3412379.590000000316650,10369662.440000001341105
20191015,3567236.370000000111759,3436550.310000000055879,3690821.590000000316650,10694609.269999999552965
20191016,3552835.320000000298023,3496825.079999999608845,3666071.190000000409782,10715732.589999999850988
20191017,3566630.010000000242144,3522694.079999999608845,3769404.110000000335276,10858729.199999999254942
20191018,3583759.680000000167638,3303583.650000000372529,3795237.340000000316650,10682581.669999999925494
20191021,3645911.580000000074506,3311861.730000000447035,3773271.360000000335276,10731045.670000001788139
20191022,3637574.130000000353903,3342387.149999999906868,3859279.000000000000000,10839241.280000001192093
20191023,3686386.110000000335276,3360495.450000000186265,3833291.080000000540167,10880173.640000000596046
20191024,3692449.710000000428408,3298409.850000000093132,3782398.070000000298023,10773258.630000000819564
20191025,3737926.710000000428408,3320398.500000000000000,3788585.670000000391155,10846911.880000000819564
20191028,3775369.440000000409782,3341869.770000000484288,3821689.330000000540167,10938929.540000000968575
20191029,3688053.600000000093132,3340317.630000000353903,3902746.890000000130385,10931119.120000001043081
20191030,3687598.830000000074506,3436550.310000000055879,3941574.080000000540167,11065724.220000000670552
20191031,3770973.330000000074506,3415855.109999999869615,3909089.180000000167638,11095918.619999999180436
20191101,3877995.870000000111759,3394125.149999999906868,3901509.370000000577420,11173631.390000000596046
20191104,3903462.990000000223517,3369032.219999999739230,3886659.130000000353903,11159155.339999999850988
20191105,3897854.160000000149012,3373947.329999999608845,3871963.580000000540167,11143766.070000000298023
