訓練日期,20100406 - 20100707
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10845317.440000001341105
真實報酬,845317.440000001341105

夏普值報酬,0.075831744000000
夏普值風險,0.039620412337100
夏普值,1.913956456454935

預期報酬,17815.532462712857523
風險,450725.239245166885667
趨勢值,0.039526369751445
找到最佳解世代,2349
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,293513,
分配資金,10000000.000000000000000,
剩餘資金,12.089999999850988,
20100406,10044026.949999999254942,10044026.949999999254942
20100407,10088053.899999998509884,10088053.899999998509884
20100408,10061637.730000000447035,10061637.730000000447035
20100409,10137951.109999999403954,10137951.109999999403954
20100412,10158497.019999999552965,10158497.019999999552965
20100413,10164367.280000001192093,10164367.280000001192093
20100414,10302318.390000000596046,10302318.390000000596046
20100415,10437334.370000001043081,10437334.370000001043081
20100416,10372761.510000001639128,10372761.510000001639128
20100419,10361020.989999998360872,10361020.989999998360872
20100420,10255356.309999998658895,10255356.309999998658895
20100421,10868798.480000000447035,10868798.480000000447035
20100422,11174052.000000000000000,11174052.000000000000000
20100423,11356030.059999998658895,11356030.059999998658895
20100426,11300262.589999999850988,11300262.589999999850988
20100427,10986203.679999999701977,10986203.679999999701977
20100428,10968592.899999998509884,10968592.899999998509884
20100429,11265041.030000001192093,11265041.030000001192093
20100430,10948046.989999998360872,10948046.989999998360872
20100503,11168181.739999998360872,11168181.739999998360872
20100504,10845317.440000001341105,10845317.440000001341105
20100505,10733782.500000000000000,10733782.500000000000000
20100506,10325799.429999999701977,10325799.429999999701977
20100507,9888465.059999998658895,9888465.059999998658895
20100510,10648663.730000000447035,10648663.730000000447035
20100511,10757263.539999999105930,10757263.539999999105930
20100512,10989138.809999998658895,10989138.809999998658895
20100513,10833576.919999998062849,10833576.919999998062849
20100514,10642793.469999998807907,10642793.469999998807907
20100517,10660404.250000000000000,10660404.250000000000000
20100518,10581155.739999998360872,10581155.739999998360872
20100519,10413853.329999998211861,10413853.329999998211861
20100520,9970648.699999999254942,9970648.699999999254942
20100521,10161432.149999998509884,10161432.149999998509884
20100524,10346345.339999999850988,10346345.339999999850988
20100525,10281772.480000000447035,10281772.480000000447035
20100526,10234810.399999998509884,10234810.399999998509884
20100527,10622247.559999998658895,10622247.559999998658895
20100528,10771939.190000001341105,10771939.190000001341105
20100601,10936306.469999998807907,10936306.469999998807907
20100602,11068387.320000000298023,11068387.320000000298023
20100603,11033165.760000001639128,11033165.760000001639128
20100604,10733782.500000000000000,10733782.500000000000000
20100607,10522453.140000000596046,10522453.140000000596046
20100608,10454945.149999998509884,10454945.149999998509884
20100609,10196653.710000000894070,10196653.710000000894070
20100610,10504842.359999999403954,10504842.359999999403954
20100611,10631052.949999999254942,10631052.949999999254942
20100614,10663339.379999998956919,10663339.379999998956919
20100615,10889344.390000000596046,10889344.390000000596046
20100616,11206338.429999999701977,11206338.429999999701977
20100617,11400057.010000001639128,11400057.010000001639128
20100618,11491046.039999999105930,11491046.039999999105930
20100621,11329613.890000000596046,11329613.890000000596046
20100622,11482240.649999998509884,11482240.649999998509884
20100623,11361900.320000000298023,11361900.320000000298023
20100624,11279716.679999999701977,11279716.679999999701977
20100625,11182857.390000000596046,11182857.390000000596046
20100628,11250365.379999998956919,11250365.379999998956919
20100629,10742587.890000000596046,10742587.890000000596046
20100630,10545934.179999999701977,10545934.179999999701977
20100701,10419723.589999999850988,10419723.589999999850988
20100702,10355150.730000000447035,10355150.730000000447035
20100706,10425593.850000001490116,10425593.850000001490116
20100707,10845317.440000001341105,10845317.440000001341105
