訓練日期,20160601 - 20160831
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10871732.040000000968575
真實報酬,871732.040000000968575

夏普值報酬,0.078473204000000
夏普值風險,0.032330859177196
夏普值,2.427192038724136

預期報酬,17069.910679976503161
風險,115436.180575855774805
趨勢值,0.147873141633957
找到最佳解世代,2720
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),MRK[17](6),MSFT[18](16),PG[21](1),VZ[26](14),
Stock#,CAT[3](2),MRK[17](6),MSFT[18](16),PG[21](1),VZ[26](14),
張數,27582,35549,37735,24679,39292,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,29.179999999934807,13.260000000009313,45.000000000000000,13.839999999850988,37.199999999953434,
20160601,1993380.319999999832362,2002488.429999999934807,1994339.750000000000000,2018509.250000000000000,1981532.760000000009313,9990250.509999999776483
20160602,2030616.020000000018626,2019907.439999999944121,1980377.799999999813735,2022457.889999999897555,1994892.040000000037253,10048251.189999999478459
20160603,2069782.460000000195578,2013508.620000000111759,1954340.649999999906868,2035290.969999999739230,2000785.840000000083819,10073708.540000000968575
20160606,2107845.620000000111759,2032349.590000000083819,1967170.550000000046566,2042694.669999999692664,1992534.520000000018626,10142594.949999999254942
20160607,2118602.599999999627471,2026306.260000000009313,1966038.500000000000000,2031589.119999999646097,2033398.199999999953434,10175934.679999997839332
20160608,2154459.200000000186265,2048346.639999999897555,1963774.399999999906868,2039733.189999999944121,2024361.040000000037253,10230674.469999998807907
20160609,2128256.299999999813735,2032705.080000000074506,1947925.699999999953434,2052566.269999999785796,2041256.600000000093132,10202709.949999999254942
20160610,2097088.639999999897555,2019551.950000000186265,1942642.799999999813735,2053306.639999999897555,2069546.840000000083819,10182136.869999999180436
20160613,2075023.040000000037253,1994667.649999999906868,1892077.899999999906868,2037758.869999999646097,2065617.639999999897555,10065145.099999999627471
20160614,2064817.699999999953434,1999644.510000000009313,1880380.050000000046566,2057008.489999999757856,2082120.280000000027940,10083971.029999999329448
20160615,2070609.919999999692664,1993956.670000000158325,1875097.149999999906868,2047136.889999999897555,2076226.479999999981374,10063027.109999999403954
20160616,2068403.359999999869615,2044080.760000000009313,1901511.649999999906868,2058489.229999999748543,2100587.519999999552965,10173072.519999999552965
20160617,2094330.440000000176951,1986846.870000000111759,1891700.550000000046566,2051579.109999999636784,2113160.959999999962747,10137617.929999999701977
20160620,2108121.440000000409782,1995734.120000000111759,1889436.449999999953434,2049358.000000000000000,2112375.120000000111759,10155025.130000000819564
20160621,2109776.359999999403954,1999644.510000000009313,1931699.649999999906868,2058489.229999999748543,2125734.400000000372529,10225344.149999998509884
20160622,2108121.440000000409782,2027728.219999999972060,1924152.650000000139698,2062437.869999999646097,2122983.959999999962747,10245424.140000000596046
20160623,2157493.219999999739230,2050479.580000000074506,1958868.849999999860302,2078232.429999999701977,2148130.839999999850988,10393204.919999998062849
20160624,2014342.639999999897555,1986491.380000000121072,1880380.050000000046566,2030108.379999999888241,2138700.759999999776483,10050023.210000000894070
20160627,1968832.339999999850988,1966228.450000000186265,1827551.050000000046566,2004689.010000000009313,2150881.280000000260770,9918182.129999998956919
20160628,2000275.819999999832362,1975826.679999999934807,1865663.399999999906868,2035044.179999999701977,2154024.639999999664724,10030834.719999998807907
20160629,2047441.040000000037253,2028083.709999999962747,1907171.899999999906868,2070828.729999999748543,2163454.719999999739230,10216980.099999999627471
20160630,2091020.600000000093132,2047991.149999999906868,1930944.949999999953434,2089584.769999999785796,2194102.480000000447035,10353643.949999999254942
20160701,2108673.080000000074506,2059722.319999999832362,1930567.599999999860302,2092299.459999999962747,2209426.359999999403954,10400688.820000000298023
20160705,2051578.339999999850988,2061855.260000000009313,1930944.949999999953434,2108587.599999999627471,2221213.959999999962747,10374180.109999999403954
20160706,2063990.239999999990687,2103092.099999999627471,1938869.300000000046566,2098469.209999999962747,2210605.120000000111759,10415025.969999998807907
20160707,2070058.279999999795109,2089583.479999999981374,1938869.300000000046566,2093533.409999999916181,2176028.160000000149012,10368072.629999998956919
20160708,2134048.520000000484288,2109846.410000000149012,1973585.500000000000000,2116731.669999999925494,2196460.000000000000000,10530672.100000001490116
20160711,2145908.780000000260770,2109490.919999999925494,1984528.650000000139698,2116238.089999999850988,2197638.759999999776483,10553805.199999999254942
20160712,2201072.780000000260770,2118733.660000000149012,2007924.350000000093132,2116238.089999999850988,2179564.439999999478459,10623533.320000000298023
20160713,2198038.759999999776483,2116956.209999999962747,2019244.849999999860302,2119693.149999999906868,2200389.200000000186265,10654322.169999998062849
20160714,2208244.099999999627471,2120511.110000000335276,2027923.900000000139698,2119199.569999999832362,2194102.480000000447035,10669981.160000000149012
20160715,2225896.580000000074506,2119800.129999999888241,2026414.500000000000000,2122654.629999999888241,2194102.480000000447035,10688868.320000000298023
20160718,2201624.419999999925494,2098115.240000000223517,2036225.600000000093132,2120680.310000000055879,2197638.759999999776483,10654284.330000000074506
20160719,2199417.859999999403954,2085317.599999999860302,2003396.150000000139698,2126603.270000000018626,2188601.599999999627471,10603336.479999998584390
20160720,2198038.759999999776483,2089938.969999999972060,2109808.850000000093132,2105626.119999999646097,2185458.240000000223517,10688870.939999999478459
20160721,2206865.000000000000000,2089938.969999999972060,2105658.000000000000000,2104145.379999999888241,2175635.240000000223517,10682242.589999999850988
20160722,2189488.339999999850988,2091005.439999999944121,2134713.950000000186265,2115497.719999999739230,2204318.400000000372529,10735023.849999999627471
20160725,2170456.759999999776483,2081762.700000000186265,2140751.549999999813735,2117472.039999999571592,2195281.240000000223517,10705724.289999999105930
20160726,2282439.679999999701977,2074652.899999999906868,2141883.600000000093132,2104392.169999999925494,2153631.719999999739230,10757000.070000000298023
20160727,2319675.379999999888241,2083184.660000000149012,2120374.649999999906868,2084402.179999999701977,2173670.639999999664724,10781307.509999997913837
20160728,2287128.620000000111759,2077141.330000000074506,2121129.350000000093132,2093039.829999999841675,2155596.320000000298023,10734035.450000001117587
20160729,2282715.500000000000000,2085317.599999999860302,2138864.799999999813735,2112289.449999999720603,2177206.919999999925494,10796394.269999999552965
20160801,2260374.080000000074506,2085317.599999999860302,2135091.299999999813735,2132526.229999999981374,2141451.200000000186265,10754760.410000000149012
20160802,2240790.859999999403954,2073586.429999999934807,2135091.299999999813735,2141163.879999999888241,2121805.200000000186265,10712437.669999998062849
20160803,2262580.639999999664724,2049413.109999999869615,2149807.950000000186265,2121667.469999999739230,2117876.000000000000000,10701345.169999999925494
20160804,2255409.319999999366701,2056167.420000000158325,2165656.649999999906868,2123641.789999999571592,2119054.759999999776483,10719929.939999997615814
20160805,2277199.099999999627471,2270172.400000000372529,2187165.600000000093132,2116978.459999999962747,2107660.080000000074506,10959175.639999998733401
20160808,2301471.259999999776483,2234623.400000000372529,2190939.100000000093132,2116484.879999999888241,2105695.480000000447035,10949214.120000001043081
20160809,2284646.240000000223517,2221470.270000000484288,2196222.000000000000000,2122161.049999999813735,2108445.919999999925494,10932945.480000000447035
20160810,2279681.480000000447035,2226802.620000000111759,2189429.700000000186265,2130058.330000000074506,2114339.719999999739230,10940311.850000001490116
20160811,2295954.859999999403954,2261996.129999999888241,2199995.500000000000000,2140423.509999999776483,2116304.320000000298023,11014674.320000000298023
20160812,2289335.179999999701977,2252042.410000000149012,2186410.899999999906868,2148074.000000000000000,2108053.000000000000000,10983915.490000000223517
20160815,2321054.480000000447035,2250975.940000000409782,2193203.199999999720603,2147580.419999999925494,2106481.320000000298023,11019295.360000001266599
20160816,2324915.959999999962747,2241022.219999999739230,2167543.399999999906868,2136721.659999999683350,2073083.119999999878928,10943286.359999999403954
20160817,2328225.799999999813735,2249909.469999999739230,2172071.600000000093132,2146099.679999999701977,2089192.840000000083819,10985499.389999998733401
20160818,2299816.339999999850988,2261996.129999999888241,2173581.000000000000000,2157945.599999999627471,2077405.239999999757856,10970744.310000000521541
20160819,2312504.059999999590218,2252397.900000000372529,2174335.699999999720603,2154737.330000000074506,2060902.600000000093132,10954877.589999999850988
20160822,2305608.559999999590218,2259152.209999999962747,2176222.450000000186265,2143384.989999999757856,2064831.799999999813735,10949200.009999997913837
20160823,2317193.000000000000000,2260218.679999999701977,2184524.149999999906868,2156958.439999999944121,2067975.160000000149012,10986869.429999999701977
20160824,2293472.480000000447035,2230002.030000000260770,2186788.250000000000000,2154737.330000000074506,2064045.959999999962747,10929046.050000000745058
20160825,2284922.059999999590218,2215426.940000000409782,2195089.950000000186265,2169297.939999999944121,2072690.199999999953434,10937427.089999999850988
20160826,2279957.299999999813735,2234267.910000000149012,2189807.049999999813735,2161400.659999999683350,2045971.639999999897555,10911404.560000000521541
20160829,2292093.379999999888241,2239955.750000000000000,2192448.500000000000000,2179169.539999999571592,2062867.199999999953434,10966534.369999999180436
20160830,2274992.540000000037253,2229291.049999999813735,2184524.149999999906868,2160413.500000000000000,2053830.040000000037253,10903051.280000001192093
20160831,2260374.080000000074506,2232134.969999999739230,2168298.100000000093132,2154737.330000000074506,2056187.559999999823049,10871732.040000000968575
