訓練日期,20120724 - 20121023
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11544527.890000000596046
真實報酬,1544527.890000000596046

夏普值報酬,0.145752789000000
夏普值風險,0.047351126525763
夏普值,3.078127168119166

預期報酬,26218.336239577216475
風險,88868.715460396299022
趨勢值,0.295023238535064
找到最佳解世代,1684
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](4),HD[9](1),PFE[20](8),TRV[22](2),UNH[23](26),
Stock#,GS[8](4),HD[9](1),PFE[20](8),TRV[22](2),UNH[23](26),
張數,21170,39085,85543,32846,36429,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,70.100000000093132,20.550000000046566,4.660000000149012,7.060000000055879,47.900000000139698,
20120724,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
20120725,2031543.300000000046566,1996091.500000000000000,1995722.850000000093132,2002956.139999999897555,1911841.820000000065193,9938155.609999999403954
20120726,2076000.300000000046566,2068007.899999999906868,2009409.729999999981374,2023649.120000000111759,1894720.190000000176951,10071787.240000000223517
20120727,2151788.899999999906868,2099275.900000000372529,2038494.350000000093132,2060108.179999999934807,1943170.760000000242144,10292838.089999999850988
20120730,2135699.700000000186265,2081296.800000000046566,2028229.190000000176951,2076202.719999999972060,1940256.440000000176951,10261684.849999999627471
20120731,2136123.100000000093132,2039475.850000000093132,2056458.380000000121072,2057808.959999999962747,1861205.510000000242144,10151071.800000000745058
20120801,2118975.400000000372529,2019933.350000000093132,2047904.080000000307336,2080801.160000000149012,1865576.990000000223517,10133190.980000000447035
20120802,2070707.800000000046566,2008598.699999999953434,2046193.220000000204891,2065035.080000000074506,1861569.800000000279397,10052104.600000001490116
20120803,2137816.700000000186265,2043775.199999999953434,2076988.700000000186265,2092625.719999999972060,1880148.590000000083819,10231354.910000000149012
20120806,2159833.500000000000000,2032440.550000000046566,2075277.840000000316650,2086384.980000000214204,1857926.900000000139698,10211863.770000001415610
20120807,2185660.899999999906868,2048074.550000000046566,2030795.479999999981374,2081458.080000000074506,1914027.560000000055879,10260016.570000000298023
20120808,2169995.100000000093132,2063317.699999999953434,2038494.350000000093132,2095910.320000000065193,1920949.070000000065193,10288666.540000000968575
20120809,2193282.100000000093132,2077388.300000000046566,2041916.070000000298023,2098538.000000000000000,1895084.480000000214204,10306208.950000001117587
20120810,2181003.500000000000000,2073870.650000000139698,2047904.080000000307336,2101494.140000000130385,1890713.000000000000000,10294985.370000001043081
20120813,2193493.800000000279397,2064490.250000000000000,2029084.620000000111759,2093282.639999999897555,1890713.000000000000000,10271064.310000000521541
20120814,2186084.300000000279397,2138360.900000000372529,2051325.800000000279397,2087041.900000000139698,1893263.030000000027940,10356075.930000001564622
20120815,2183332.200000000186265,2149695.549999999813735,2056458.380000000121072,2093939.560000000055879,1924227.680000000167638,10407653.369999999180436
20120816,2190953.399999999906868,2200896.900000000372529,2054747.520000000018626,2103136.439999999944121,1944992.210000000195578,10494726.470000000670552
20120817,2193282.100000000093132,2217312.599999999627471,2035072.630000000121072,2139267.040000000037253,1935520.670000000158325,10520455.039999999105930
20120820,2228847.700000000186265,2211059.000000000000000,2045337.790000000270084,2156018.500000000000000,1938070.700000000186265,10579333.690000001341105
20120821,2229694.500000000000000,2201287.750000000000000,2026518.330000000307336,2142551.640000000130385,1946085.080000000307336,10546137.300000000745058
20120822,2215934.000000000000000,2213794.950000000186265,2027373.760000000009313,2149777.760000000242144,1966121.030000000027940,10573001.500000000000000
20120823,2203443.700000000186265,2210277.299999999813735,2030795.479999999981374,2128427.859999999869615,1964299.580000000307336,10537243.919999999925494
20120824,2222073.299999999813735,2226302.150000000372529,2053892.090000000316650,2148135.460000000428408,1973042.540000000037253,10623445.540000002831221
20120827,2225460.500000000000000,2214967.500000000000000,2043626.930000000167638,2140909.340000000316650,1989435.590000000083819,10614399.859999999403954
20120828,2223555.200000000186265,2209495.599999999627471,2040205.210000000195578,2129741.700000000186265,1979235.469999999972060,10582233.180000001564622
20120829,2234140.200000000186265,2221611.950000000186265,2049614.940000000176951,2128427.859999999869615,1990528.460000000195578,10624323.410000002011657
20120830,2216992.500000000000000,2213013.250000000000000,2039349.780000000027940,2118245.600000000093132,1992349.910000000149012,10579951.040000000968575
20120831,2238162.500000000000000,2218094.299999999813735,2041060.640000000130385,2126457.100000000093132,1978142.600000000093132,10601917.139999998733401
20120904,2252769.799999999813735,2219657.700000000186265,2034217.200000000186265,2123172.500000000000000,1987614.140000000130385,10617431.339999999850988
20120905,2327499.899999999906868,2209886.450000000186265,2046193.220000000204891,2119559.439999999944121,1977414.020000000251457,10680553.029999999329448
20120906,2403711.900000000372529,2253270.799999999813735,2082121.280000000027940,2146164.700000000186265,1999635.710000000195578,10884904.390000000596046
20120907,2462776.200000000186265,2238027.650000000372529,2073566.979999999981374,2141894.719999999739230,1999271.420000000158325,10915536.970000000670552
20120910,2427845.700000000186265,2239591.049999999813735,2061590.960000000195578,2145179.320000000298023,1957742.360000000102445,10831949.390000000596046
20120911,2470397.399999999906868,2216921.750000000000000,2067578.970000000204891,2199046.760000000242144,1923499.100000000093132,10877443.980000000447035
20120912,2503210.899999999906868,2229819.799999999813735,2059024.670000000158325,2218425.900000000372529,1924227.680000000167638,10934708.949999999254942
20120913,2554654.000000000000000,2278676.049999999813735,2074422.410000000149012,2248315.760000000242144,1963206.710000000195578,11119274.930000001564622
20120914,2569261.300000000279397,2324014.650000000372529,2035928.060000000288710,2252585.740000000223517,1976321.150000000139698,11158110.900000002235174
20120917,2538353.100000000093132,2302517.900000000372529,2054747.520000000018626,2249301.140000000130385,1984699.820000000065193,11129619.480000000447035
20120918,2537929.700000000186265,2300563.650000000372529,2053892.090000000316650,2248644.219999999739230,2008378.670000000158325,11149408.330000000074506
20120919,2519723.500000000000000,2324405.500000000000000,2066723.540000000270084,2241089.640000000130385,2001821.450000000186265,11153763.629999998956919
20120920,2490297.200000000186265,2316979.349999999627471,2088109.290000000270084,2248315.760000000242144,2001457.160000000149012,11145158.759999999776483
20120921,2471032.500000000000000,2322451.250000000000000,2097519.020000000018626,2253571.120000000111759,2046629.120000000111759,11191203.010000001639128
20120924,2468492.100000000093132,2321278.700000000186265,2117193.910000000149012,2247330.379999999888241,2039343.320000000065193,11193638.410000000149012
20120925,2402865.100000000093132,2334176.750000000000000,2124892.780000000260770,2249301.140000000130385,2047357.700000000186265,11158593.469999998807907
20120926,2393973.700000000186265,2312680.000000000000000,2124037.350000000093132,2226308.939999999944121,2032057.520000000251457,11089057.509999999776483
20120927,2439489.200000000186265,2340430.350000000558794,2135157.940000000409782,2247001.919999999925494,2048814.860000000102445,11210894.269999999552965
20120928,2406675.700000000186265,2359582.000000000000000,2125748.210000000428408,2242075.020000000018626,2018578.790000000037253,11152659.719999998807907
20121001,2473996.300000000279397,2367399.000000000000000,2142001.379999999888241,2268680.279999999795109,2056829.240000000223517,11308906.200000001117587
20121002,2482252.600000000093132,2358018.599999999627471,2148844.820000000298023,2256527.260000000242144,2069215.100000000093132,11314858.379999998956919
20121003,2496224.799999999813735,2414301.000000000000000,2165953.420000000391155,2266709.520000000018626,2071400.840000000083819,11414589.580000000074506
20121004,2538353.100000000093132,2413128.450000000186265,2168519.710000000428408,2275577.939999999944121,2111837.030000000260770,11507416.230000000447035
20121005,2525862.800000000279397,2470192.549999999813735,2183062.020000000018626,2284774.820000000298023,2081236.670000000158325,11545128.859999999403954
20121008,2529038.299999999813735,2418600.350000000558794,2172796.859999999869615,2284117.900000000372529,2098358.299999999813735,11502911.710000000894070
20121009,2532637.200000000186265,2382251.299999999813735,2165097.990000000223517,2276891.779999999795109,2093622.530000000027940,11450500.799999998882413
20121010,2542163.700000000186265,2334958.450000000186265,2152266.540000000037253,2279519.460000000428408,2080508.090000000083819,11389416.240000000223517
20121011,2582598.399999999906868,2306426.400000000372529,2148844.820000000298023,2271636.419999999925494,2100544.040000000037253,11410050.080000001937151
20121012,2544704.100000000093132,2327923.150000000372529,2148844.820000000298023,2257184.180000000167638,2079050.930000000167638,11357707.179999999701977
20121015,2635735.100000000093132,2370525.799999999813735,2187339.170000000391155,2292329.400000000372529,2094351.110000000102445,11580280.580000000074506
20121016,2608637.500000000000000,2378733.650000000372529,2207014.060000000055879,2315321.600000000093132,2072129.420000000158325,11581836.230000000447035
20121017,2644626.500000000000000,2399448.700000000186265,2210435.780000000260770,2344554.540000000037253,2039707.610000000102445,11638773.129999998956919
20121018,2649495.600000000093132,2415473.549999999813735,2227544.379999999888241,2428640.299999999813735,2040436.190000000176951,11761590.019999999552965
20121019,2617105.500000000000000,2418991.200000000186265,2203592.340000000316650,2414516.520000000018626,2027686.040000000037253,11681891.600000001490116
20121022,2599111.000000000000000,2424853.950000000186265,2189905.460000000428408,2430282.600000000093132,2059743.560000000055879,11703896.570000000298023
20121023,2519300.100000000093132,2413519.299999999813735,2154832.830000000074506,2410246.540000000037253,2046629.120000000111759,11544527.890000000596046
