訓練日期,20140708 - 20141007
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11025458.750000000000000
真實報酬,1025458.750000000000000

夏普值報酬,0.093845875000000
夏普值風險,0.034186885747757
夏普值,2.745084056279002

預期報酬,18250.530495809525746
風險,115521.296867898839992
趨勢值,0.157984120596217
找到最佳解世代,2141
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](1),HD[9](3),INTC[11](5),NKE[19](10),PG[21](8),
Stock#,GS[8](1),HD[9](3),INTC[11](5),NKE[19](10),PG[21](8),
張數,12127,24764,64956,51493,24826,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,136.429999999934807,59.359999999869615,4.760000000009313,11.879999999888241,17.439999999944121,
20140708,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
20140709,1997089.519999999785796,1999257.080000000074506,2006495.600000000093132,2026261.429999999934807,2027556.860000000102445,10056660.489999998360872
20140710,1981930.769999999785796,1966320.959999999962747,2030529.320000000065193,1995365.629999999888241,2026067.299999999813735,10000213.980000000447035
20140711,1998666.030000000027940,1971521.399999999906868,2029879.760000000009313,1990216.329999999841675,2014895.599999999860302,10005179.119999999180436
20140714,2025345.429999999934807,1967806.799999999813735,2045469.199999999953434,2007209.019999999785796,2018867.759999999776483,10064698.209999999031425
20140715,2051661.019999999785796,1977712.399999999906868,2059759.520000000018626,2009268.739999999990687,2017378.200000000186265,10115779.879999998956919
20140716,2067426.119999999878928,1972759.599999999860302,2250730.160000000149012,1980432.659999999916181,2009433.879999999888241,10280782.419999999925494
20140717,2063424.209999999729916,1970035.559999999823049,2189021.959999999962747,1970648.989999999990687,1996027.840000000083819,10189158.560000000521541
20140718,2079553.119999999878928,1983160.479999999748543,2189021.959999999962747,1995880.559999999823049,1999751.739999999757856,10247367.859999999403954
20140721,2082584.869999999878928,1973997.799999999813735,2212406.120000000111759,1977858.009999999776483,1993048.719999999972060,10239895.519999999552965
20140722,2122603.969999999739230,1994551.919999999925494,2259824.000000000000000,1983522.239999999990687,1988580.039999999804422,10349082.169999999925494
20140723,2144432.570000000298023,2006438.639999999664724,2240986.759999999776483,1992276.049999999813735,1985849.179999999701977,10369983.199999999254942
20140724,2137641.450000000186265,2010896.159999999916181,2224747.759999999776483,2023686.779999999795109,1992552.200000000186265,10389524.350000001490116
20140725,2127212.230000000447035,2006686.279999999795109,2224747.759999999776483,2001029.859999999869615,1975174.000000000000000,10334850.129999998956919
20140728,2133882.080000000074506,2007676.839999999618158,2223448.639999999664724,2018537.479999999981374,1967726.200000000186265,10351271.239999998360872
20140729,2128910.009999999776483,2005448.080000000074506,2220850.399999999441206,2010813.529999999795109,1952582.340000000083819,10318604.359999999403954
20140730,2131577.950000000186265,2024764.000000000000000,2231243.360000000335276,2049948.209999999962747,1940417.599999999860302,10377951.119999999180436
20140731,2096530.919999999925494,2002228.759999999776483,2201363.599999999627471,1986096.889999999897555,1919563.759999999776483,10205783.929999999701977
20140801,2064758.179999999934807,1974988.359999999869615,2191620.200000000186265,1976828.149999999906868,1977408.340000000083819,10185603.230000000447035
20140804,2082221.059999999823049,1981922.279999999795109,2211756.559999999590218,1986611.819999999832362,1966733.159999999916181,10229244.879999998956919
20140805,2054692.769999999785796,1981922.279999999795109,2131860.679999999701977,1980432.659999999916181,1971450.099999999860302,10120358.490000000223517
20140806,2058573.410000000149012,1994056.639999999664724,2133809.360000000335276,1986096.889999999897555,2013157.780000000027940,10185694.080000000074506
20140807,2050812.129999999888241,1992818.439999999944121,2122766.839999999850988,1965499.689999999944121,1989573.080000000074506,10121470.179999999701977
20140808,2089133.449999999720603,2041355.880000000121072,2117570.360000000335276,1984037.169999999925494,2009682.140000000130385,10241779.000000000000000
