訓練日期,20171205 - 20180309
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12513307.799999997019768
真實報酬,2513307.799999997019768

夏普值報酬,0.242630780000000
夏普值風險,0.068627443052539
夏普值,3.535477488418872

預期報酬,41704.862109005465754
風險,283250.618515758309513
趨勢值,0.147236614442504
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),CSCO[4](2),
Stock#,BA[2](1),CSCO[4](2),
張數,18146,134012,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,51.159999999217689,12.279999999329448,
20171205,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20171206,5049538.579999999143183,5013401.199999999254942,10062939.779999997466803
20171207,5116678.779999999329448,5012061.079999999143183,10128739.859999999403954
20171208,5187992.559999998658895,5040203.599999999627471,10228196.159999998286366
20171211,5138272.519999999552965,5087107.799999999813735,10225380.320000000298023
20171212,5261302.399999999441206,5080407.199999999254942,10341709.599999997764826
20171213,5295779.799999998882413,5112570.079999999143183,10408349.879999998956919
20171214,5332797.639999998733401,5079067.079999999143183,10411864.719999998807907
20171215,5333886.399999999441206,5117930.559999998658895,10451816.959999997168779
20171218,5373807.599999998696148,5156794.039999999105930,10530601.639999996870756
20171219,5393949.659999999217689,5132671.879999998956919,10526621.539999999105930
20171220,5405744.559999998658895,5191637.159999999217689,10597381.719999998807907
20171221,5353665.539999999105930,5163494.639999999664724,10517160.179999999701977
20171222,5354935.759999999776483,5166174.879999998956919,10521110.639999998733401
20171226,5359653.719999999739230,5156794.039999999105930,10516447.759999997913837
20171227,5364371.679999999701977,5167515.000000000000000,10531886.679999999701977
20171228,5377618.259999999776483,5171535.359999999403954,10549153.619999999180436
20171229,5351488.019999999552965,5132671.879999998956919,10484159.899999998509884
20180102,5386509.799999998882413,5207718.599999999627471,10594228.399999998509884
20180103,5403929.959999999031425,5249262.319999999366701,10653192.279999997466803
20180104,5383424.979999999515712,5225140.159999999217689,10608565.139999998733401
20180105,5604261.799999998882413,5297506.639999999664724,10901768.439999997615814
20180108,5628033.059999998658895,5352451.559999998658895,10980484.619999997317791
20180109,5778281.939999999478459,5318948.559999998658895,11097230.499999998137355
20180110,5811489.119999999180436,5348431.199999999254942,11159920.319999998435378
20180111,5954116.679999999701977,5373893.479999999515712,11328010.160000000149012
20180112,6100917.819999998435378,5477082.719999998807907,11578000.539999997243285
20180116,6081864.519999999552965,5432858.759999998845160,11514723.279999997466803
20180117,6369478.619999999180436,5521306.679999999701977,11890785.299999998882413
20180118,6172594.519999999552965,5534707.879999998956919,11707302.399999998509884
20180119,6128499.739999999292195,5533367.759999998845160,11661867.499999998137355
20180122,6133399.159999999217689,5582952.199999999254942,11716351.359999999403954
20180123,6089667.299999998882413,5641917.479999999515712,11731584.779999997466803
20180124,6073335.899999999441206,5651298.319999999366701,11724634.219999998807907
20180125,6226125.219999999739230,5615115.079999999143183,11841240.299999998882413
20180126,6228121.279999999329448,5703563.000000000000000,11931684.279999999329448
20180129,6184570.879999998956919,5742426.479999999515712,11926997.359999999403954
20180130,6128136.819999998435378,5662019.279999999329448,11790156.099999997764826
20180131,6430449.179999999701977,5566870.759999998845160,11997319.939999997615814
20180201,6477084.399999999441206,5588312.679999999701977,12065397.079999998211861
20180202,6331372.019999999552965,5485123.439999999478459,11816495.459999999031425
20180205,5967907.639999998733401,5196997.639999999664724,11164905.279999997466803
20180206,6186204.019999999552965,5383274.319999999366701,11569478.339999999850988
20180207,6317036.679999999701977,5406056.359999999403954,11723093.039999999105930
20180208,5982061.519999999552965,5195657.519999999552965,11177719.039999999105930
20180209,6039584.339999998919666,5297506.639999999664724,11337090.979999998584390
20180212,6238645.959999999031425,5440899.479999999515712,11679545.439999997615814
20180213,6227032.519999999552965,5525327.039999999105930,11752359.559999998658895
20180214,6257699.259999999776483,5640577.359999999403954,11898276.619999999180436
20180215,6468374.319999998435378,5907261.239999999292195,12375635.559999998658895
20180216,6442607.000000000000000,5940764.239999999292195,12383371.239999998360872
20180220,6411940.259999999776483,5904581.000000000000000,12316521.259999999776483
20180221,6394157.179999999701977,5804072.000000000000000,12198229.179999999701977
20180222,6458575.479999999515712,5754487.559999998658895,12213063.039999999105930
20180223,6472003.519999999552965,5896540.279999999329448,12368543.799999998882413
20180226,6595759.239999999292195,6078796.599999999627471,12674555.839999999850988
20180227,6616808.599999998696148,6035912.759999998845160,12652721.359999997541308
20180228,6572713.819999998435378,6001069.639999999664724,12573783.459999997168779
20180301,6345525.899999999441206,5869737.879999998956919,12215263.779999997466803
20180302,6254432.979999999515712,5904581.000000000000000,12159013.980000000447035
20180305,6401052.659999999217689,5966226.519999999552965,12367279.179999999701977
20180306,6331553.479999999515712,5935403.759999998845160,12266957.239999998360872
20180307,6297439.000000000000000,5923342.679999999701977,12220781.679999999701977
20180308,6328105.739999999292195,5942104.359999999403954,12270210.099999997764826
20180309,6433171.079999999143183,6080136.719999998807907,12513307.799999997019768
