訓練日期,20171218 - 20180322
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11192826.250000000000000
真實報酬,1192826.250000000000000

夏普值報酬,0.110582625000000
夏普值風險,0.056466285460123
夏普值,1.958383203338130

預期報酬,27098.665736934821325
風險,289040.024679149617441
趨勢值,0.093754025128582
找到最佳解世代,3180
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,1
CSCO[4](1),
Stock#,CSCO[4](1),
張數,259875,
分配資金,10000000.000000000000000,
剩餘資金,10.000000000000000,
20171218,10000000.000000000000000,10000000.000000000000000
20171219,9953222.500000000000000,9953222.500000000000000
20171220,10067567.500000000000000,10067567.500000000000000
20171221,10012993.750000000000000,10012993.750000000000000
20171222,10018191.250000000000000,10018191.250000000000000
20171226,10000000.000000000000000,10000000.000000000000000
20171227,10020790.000000000000000,10020790.000000000000000
20171228,10028586.250000000000000,10028586.250000000000000
20171229,9953222.500000000000000,9953222.500000000000000
20180102,10098752.500000000000000,10098752.500000000000000
20180103,10179313.750000000000000,10179313.750000000000000
20180104,10132536.250000000000000,10132536.250000000000000
20180105,10272868.750000000000000,10272868.750000000000000
20180108,10379417.500000000000000,10379417.500000000000000
20180109,10314448.750000000000000,10314448.750000000000000
20180110,10371621.250000000000000,10371621.250000000000000
20180111,10420997.500000000000000,10420997.500000000000000
20180112,10621101.250000000000000,10621101.250000000000000
20180116,10535342.500000000000000,10535342.500000000000000
20180117,10706860.000000000000000,10706860.000000000000000
20180118,10732847.500000000000000,10732847.500000000000000
20180119,10730248.750000000000000,10730248.750000000000000
20180122,10826402.500000000000000,10826402.500000000000000
20180123,10940747.500000000000000,10940747.500000000000000
20180124,10958938.750000000000000,10958938.750000000000000
20180125,10888772.500000000000000,10888772.500000000000000
20180126,11060290.000000000000000,11060290.000000000000000
20180129,11135653.750000000000000,11135653.750000000000000
20180130,10979728.750000000000000,10979728.750000000000000
20180131,10795217.500000000000000,10795217.500000000000000
20180201,10836797.500000000000000,10836797.500000000000000
20180202,10636693.750000000000000,10636693.750000000000000
20180205,10077962.500000000000000,10077962.500000000000000
20180206,10439188.750000000000000,10439188.750000000000000
20180207,10483367.500000000000000,10483367.500000000000000
20180208,10075363.750000000000000,10075363.750000000000000
20180209,10272868.750000000000000,10272868.750000000000000
20180212,10550935.000000000000000,10550935.000000000000000
20180213,10714656.250000000000000,10714656.250000000000000
20180214,10938148.750000000000000,10938148.750000000000000
20180215,11455300.000000000000000,11455300.000000000000000
20180216,11520268.750000000000000,11520268.750000000000000
20180220,11450102.500000000000000,11450102.500000000000000
20180221,11255196.250000000000000,11255196.250000000000000
20180222,11159042.500000000000000,11159042.500000000000000
20180223,11434510.000000000000000,11434510.000000000000000
20180226,11787940.000000000000000,11787940.000000000000000
20180227,11704780.000000000000000,11704780.000000000000000
20180228,11637212.500000000000000,11637212.500000000000000
20180301,11382535.000000000000000,11382535.000000000000000
20180302,11450102.500000000000000,11450102.500000000000000
20180305,11569645.000000000000000,11569645.000000000000000
20180306,11509873.750000000000000,11509873.750000000000000
20180307,11486485.000000000000000,11486485.000000000000000
20180308,11522867.500000000000000,11522867.500000000000000
20180309,11790538.750000000000000,11790538.750000000000000
20180312,11837316.250000000000000,11837316.250000000000000
20180313,11735965.000000000000000,11735965.000000000000000
20180314,11767150.000000000000000,11767150.000000000000000
20180315,11780143.750000000000000,11780143.750000000000000
20180316,11696983.750000000000000,11696983.750000000000000
20180319,11504676.250000000000000,11504676.250000000000000
20180320,11530663.750000000000000,11530663.750000000000000
20180321,11515071.250000000000000,11515071.250000000000000
20180322,11192826.250000000000000,11192826.250000000000000
