訓練日期,20180205 - 20180508
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11305667.709999999031425
真實報酬,1305667.709999999031425

夏普值報酬,0.121866771000000
夏普值風險,0.033625936195408
夏普值,3.624189681792197

預期報酬,19165.202736881434248
風險,158531.054034350614529
趨勢值,0.120892419807722
找到最佳解世代,2156
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](3),INTC[11](1),NKE[19](6),
Stock#,CVX[5](3),INTC[11](1),NKE[19](6),
張數,29598,74872,51767,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.239999999757856,31.559999999590218,55.870000000111759,
20180205,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20180206,3468299.879999999888241,3362533.079999999143183,3376299.609999999869615,10207133.569999998435378
20180207,3412359.660000000149012,3384245.959999999962747,3397524.080000000074506,10194130.699999999254942
20180208,3323861.639999999664724,3200809.559999999590218,3234975.700000000186265,9759647.899999998509884
20180209,3359379.239999999757856,3290655.959999999962747,3390276.699999999720603,10040312.899999998509884
20180212,3373586.279999999795109,3356543.319999999366701,3415642.530000000260770,10145773.129999998956919
20180213,3353163.660000000149012,3328840.679999999701977,3409948.160000000149012,10091953.500000000000000
20180214,3363226.979999999515712,3397722.919999999925494,3518141.189999999944121,10279092.089999999850988
20180215,3330669.179999999701977,3438153.799999999813735,3535224.300000000279397,10304048.279999999329448
20180216,3319125.959999999962747,3411199.879999999888241,3535741.969999999739230,10266068.809999998658895
20180220,3284792.279999999795109,3468102.599999999627471,3493810.699999999720603,10246706.579999998211861
20180221,3227964.119999999646097,3439651.239999999292195,3471033.219999999739230,10138649.579999998211861
20180222,3252530.459999999962747,3429169.159999999217689,3475174.580000000074506,10156875.199999999254942
20180223,3332445.060000000055879,3573672.119999999180436,3528494.589999999850988,10434612.769999999552965
20180226,3391937.039999999571592,3676995.479999999515712,3605627.420000000391155,10674560.939999999478459
20180227,3362635.019999999552965,3736893.079999999143183,3521764.880000000353903,10621293.979999998584390
20180228,3312614.399999999906868,3690472.439999999478459,3469997.880000000353903,10473085.720000000670552
20180301,3316166.160000000149012,3581908.040000000037253,3433243.309999999590218,10331318.509999999776483
20180302,3304326.959999999962747,3667262.119999999180436,3410983.500000000000000,10382573.579999998211861
20180305,3349019.939999999944121,3724913.559999999590218,3367499.219999999739230,10441433.719999998807907
20180306,3363818.939999999944121,3796790.679999999701977,3377334.949999999720603,10537945.569999998435378
20180307,3369442.560000000055879,3842462.599999999627471,3321944.260000000242144,10533850.419999999925494
20180308,3354939.539999999571592,3799036.839999999850988,3370605.240000000223517,10524582.619999999180436
20180309,3469483.799999999813735,3907601.239999999292195,3432207.969999999739230,10809294.009999997913837
20180312,3456756.660000000149012,3857437.000000000000000,3459126.809999999590218,10773321.469999998807907
20180313,3446989.319999999366701,3876903.719999999739230,3425478.260000000242144,10749372.299999998882413
20180314,3407623.979999999515712,3882893.479999999515712,3427031.270000000484288,10717549.730000000447035
20180315,3420943.079999999608845,3809518.919999999925494,3436867.000000000000000,10667330.000000000000000
20180316,3415615.439999999944121,3831231.799999999813735,3412018.839999999850988,10658867.080000000074506
20180319,3370922.459999999962747,3805775.319999999366701,3401665.439999999944121,10578364.219999998807907
20180320,3388977.239999999757856,3859683.159999999217689,3458091.469999999739230,10706752.869999997317791
20180321,3464156.160000000149012,3860431.879999999888241,3434796.319999999832362,10759385.359999999403954
20180322,3365298.839999999850988,3805775.319999999366701,3334886.010000000242144,10505961.169999999925494
20180323,3343988.279999999795109,3695713.479999999515712,3345757.080000000074506,10385459.839999999850988
20180326,3414135.539999999571592,3929314.119999999180436,3411501.170000000391155,10754951.829999998211861
20180327,3393712.919999999459833,3832729.239999999292195,3425478.260000000242144,10651921.419999998062849
20180328,3317942.039999999571592,3713682.759999999776483,3387688.350000000093132,10419314.149999998509884
20180329,3375362.160000000149012,3899365.319999999366701,3439455.350000000093132,10714183.830000000074506
20180402,3322085.759999999776483,3662769.799999999813735,3319355.910000000149012,10304212.469999998807907
20180403,3398744.579999999608845,3724913.559999999590218,3452914.770000000484288,10576573.910000000149012
20180404,3388385.279999999795109,3742882.839999999850988,3541954.010000000242144,10673223.129999998956919
20180405,3471555.660000000149012,3772082.919999999925494,3602521.400000000372529,10846160.980000000447035
20180406,3396672.719999999739230,3653036.439999999478459,3496916.719999999739230,10546626.879999998956919
20180409,3432782.279999999795109,3709939.159999999217689,3477762.930000000633299,10620485.370000001043081
20180410,3517728.539999999571592,3838719.000000000000000,3468444.870000000111759,10824893.410000000149012
20180411,3529567.739999999757856,3825990.759999999776483,3459644.479999999981374,10815203.980000000447035
20180412,3528975.779999999795109,3947283.399999999441206,3508305.459999999962747,10984565.640000000596046
20180413,3549398.399999999906868,3882893.479999999515712,3481386.620000000111759,10913679.500000000000000
20180416,3572484.839999999850988,3923324.359999999403954,3471550.890000000130385,10967361.089999999850988
20180417,3572484.839999999850988,4008678.439999999478459,3494846.040000000502914,11076010.320000000298023
20180418,3664830.599999999627471,4013919.479999999515712,3427031.270000000484288,11105782.349999999627471
20180419,3661574.819999999366701,3909847.399999999441206,3402700.780000000260770,10974124.000000000000000
20180420,3620137.619999999646097,3858185.719999999739230,3421336.900000000372529,10899661.240000000223517
20180423,3657727.079999999608845,3825990.759999999776483,3462232.830000000074506,10945951.669999999925494
20180424,3626945.160000000149012,3852195.959999999962747,3466891.859999999869615,10946033.980000000447035
20180425,3632272.799999999813735,3846954.919999999925494,3451361.760000000242144,10930590.480000000447035
20180426,3676669.799999999813735,3971991.159999999217689,3522800.219999999739230,11171462.179999999701977
20180427,3747705.000000000000000,3948032.119999999180436,3600968.390000000130385,11296706.509999999776483
20180430,3703012.019999999552965,3864924.199999999254942,3540401.000000000000000,11108338.219999998807907
20180501,3695612.519999999552965,3992955.319999999366701,3525388.569999999832362,11213957.409999998286366
20180502,3714259.259999999776483,3916585.879999999888241,3533671.290000000502914,11164517.429999999701977
20180503,3729650.219999999739230,3914339.719999999739230,3463268.170000000391155,11107259.109999999403954
20180504,3715443.179999999701977,3951775.719999999739230,3525388.569999999832362,11192608.469999998807907
20180507,3697980.359999999869615,3992955.319999999366701,3589579.650000000372529,11280516.330000000074506
20180508,3746225.099999999627471,4015416.919999999925494,3544024.689999999944121,11305667.709999999031425
