訓練日期,20180713 - 20181012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11221793.870000001043081
真實報酬,1221793.870000001043081

夏普值報酬,0.113479387000000
夏普值風險,0.040872707307349
夏普值,2.776409845980417

預期報酬,22977.504121603575186
風險,124347.790211046871264
趨勢值,0.184784177367410
找到最佳解世代,2656
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),MCD[15](13),PFE[20](1),WBA[27](3),
Stock#,AAPL[0](5),MCD[15](13),PFE[20](1),WBA[27](3),
張數,13066,15771,66613,38361,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,82.219999999739230,138.790000000037253,14.109999999869615,13.629999999888241,
20180713,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20180716,2494512.279999999795109,2504258.169999999925494,2490008.049999999813735,2499616.389999999664724,9988394.889999998733401
20180717,2501567.919999999459833,2519556.040000000037253,2507993.559999999590218,2517646.059999999590218,10046763.579999998211861
20180718,2487848.619999999646097,2490852.820000000298023,2508659.689999999478459,2537977.389999999664724,10025338.519999999552965
20180719,2507186.299999999813735,2482651.899999999906868,2488675.790000000037253,2490793.360000000335276,9969307.349999999627471
20180720,2501437.259999999776483,2491483.660000000149012,2486677.399999999906868,2492711.410000000149012,9972309.730000000447035
20180723,2501437.259999999776483,2503785.040000000037253,2478683.839999999850988,2506521.370000000111759,9990427.509999999776483
20180724,2521820.219999999739230,2491010.529999999795109,2511324.209999999962747,2513042.740000000223517,10037197.699999999254942
20180725,2545600.339999999850988,2505992.979999999981374,2530641.979999999981374,2558692.330000000074506,10140927.630000000819564
20180726,2537630.080000000074506,2462622.729999999981374,2541966.189999999478459,2590915.570000000298023,10133134.570000000298023
20180727,2495426.899999999441206,2483755.869999999646097,2558619.439999999478459,2633112.669999999925494,10170914.879999998956919
20180730,2481446.279999999795109,2502050.229999999981374,2570609.780000000260770,2653060.389999999664724,10207166.679999999701977
20180731,2486411.359999999403954,2484702.129999999888241,2659871.199999999720603,2593984.450000000186265,10224969.140000000596046
20180801,2632881.219999999739230,2474924.109999999869615,2682519.620000000111759,2548718.469999999739230,10339043.419999999925494
20180802,2709839.959999999497086,2451109.899999999906868,2641219.559999999590218,2569433.410000000149012,10371602.829999998211861
20180803,2717679.560000000055879,2463726.700000000186265,2700505.129999999888241,2578640.049999999813735,10460551.439999999478459
20180806,2731790.839999999850988,2471769.910000000149012,2733811.629999999888241,2586312.250000000000000,10523684.629999998956919
20180807,2706181.479999999981374,2461045.629999999888241,2720489.030000000260770,2572118.679999999701977,10459834.820000000298023
20180808,2708010.719999999739230,2506466.109999999869615,2758458.439999999478459,2550636.519999999552965,10523571.789999999105930
20180809,2729308.299999999813735,2512459.090000000316650,2731147.109999999869615,2538361.000000000000000,10511275.500000000000000
20180810,2711669.199999999720603,2502681.070000000298023,2726484.199999999720603,2550636.519999999552965,10491470.989999998360872
20180813,2729177.639999999664724,2494164.729999999981374,2718490.640000000130385,2550252.910000000149012,10492085.919999999925494
20180814,2740675.719999999739230,2532961.390000000130385,2711829.339999999850988,2633879.889999999664724,10619346.339999999850988
20180815,2747078.060000000055879,2521606.270000000018626,2741805.189999999478459,2636565.160000000149012,10647054.679999999701977
20180816,2787321.339999999850988,2550782.619999999646097,2759124.569999999832362,2670706.450000000186265,10767934.980000000447035
20180817,2842982.500000000000000,2541635.439999999944121,2803755.280000000260770,2684900.019999999552965,10873273.239999998360872
20180820,2815282.580000000074506,2549994.070000000298023,2819742.399999999906868,2684900.019999999552965,10869919.070000000298023
20180821,2809794.859999999403954,2539900.629999999888241,2808418.189999999478459,2694873.879999999888241,10852987.559999998658895
20180822,2809925.520000000018626,2532172.840000000316650,2802423.020000000018626,2671473.669999999925494,10815995.050000000745058
20180823,2815674.560000000055879,2508516.340000000316650,2811082.709999999962747,2657663.709999999962747,10792937.320000000298023
20180824,2824428.779999999795109,2513720.770000000018626,2824405.309999999590218,2654978.439999999478459,10817533.299999998882413
20180827,2847686.259999999776483,2531068.869999999646097,2769782.649999999906868,2663801.469999999739230,10812339.250000000000000
20180828,2870682.419999999459833,2549363.229999999981374,2764453.609999999869615,2657663.709999999962747,10842162.969999998807907
20180829,2913538.899999999441206,2572546.600000000093132,2764453.609999999869615,2633879.889999999664724,10884419.000000000000000
20180830,2940324.199999999720603,2567657.590000000316650,2764453.609999999869615,2600889.429999999701977,10873324.830000000074506
20180831,2974295.799999999813735,2558668.119999999646097,2765785.870000000111759,2630043.790000000037253,10928793.580000000074506
20180904,2983833.979999999981374,2550624.910000000149012,2755793.919999999925494,2593984.450000000186265,10884237.260000001639128
20180905,2964365.639999999664724,2574596.830000000074506,2787768.160000000149012,2617768.269999999552965,10944498.899999998509884
20180906,2915106.819999999832362,2582482.330000000074506,2783105.250000000000000,2609712.459999999962747,10890406.859999999403954
20180907,2891588.020000000018626,2585005.689999999944121,2811082.709999999962747,2615850.219999999739230,10903526.640000000596046
20180910,2852782.000000000000000,2603457.759999999776483,2801756.890000000130385,2639250.429999999701977,10897247.080000000074506
20180911,2924906.319999999832362,2596360.810000000055879,2818410.140000000130385,2636948.769999999552965,10976626.039999999105930
20180912,2888582.839999999850988,2598253.330000000074506,2825071.439999999478459,2699860.809999999590218,11011768.419999998062849
20180913,2958355.279999999795109,2561349.189999999944121,2854381.160000000149012,2703696.910000000149012,11077782.539999999105930
20180914,2924775.659999999683350,2536746.430000000167638,2861708.589999999850988,2696024.709999999962747,11019255.390000000596046
20180917,2846902.299999999813735,2494164.729999999981374,2865039.239999999757856,2702546.080000000074506,10908652.349999999627471
20180918,2851606.060000000055879,2488329.460000000428408,2898345.739999999757856,2719041.309999999590218,10957322.570000000298023
20180919,2853304.639999999664724,2510566.570000000298023,2881692.489999999757856,2734385.709999999962747,10979949.410000000149012
20180920,2874994.199999999720603,2535957.879999999888241,2914332.859999999869615,2796146.919999999925494,11121431.859999999403954
20180921,2844027.779999999795109,2607085.090000000316650,2934982.890000000130385,2800366.629999999888241,11186462.390000000596046
20180924,2884924.359999999403954,2575700.800000000279397,2926323.199999999720603,2769677.830000000074506,11156626.189999999478459
20180925,2903216.759999999776483,2624590.899999999906868,2916997.379999999888241,2770061.439999999478459,11214866.479999998584390
20180926,2880089.939999999478459,2614339.750000000000000,2909669.949999999720603,2798832.189999999478459,11202931.829999998211861
20180927,2939278.919999999459833,2626483.419999999925494,2924324.809999999590218,2831439.040000000037253,11321526.189999997615814
20180928,2949601.060000000055879,2638469.379999999888241,2935649.020000000018626,2796530.530000000260770,11320249.989999998360872
20181001,2969461.379999999422580,2628691.359999999869615,2948971.620000000111759,2779651.689999999478459,11326776.049999998882413
20181002,2995854.699999999720603,2605192.570000000298023,2945640.969999999739230,2819163.519999999552965,11365851.759999997913837
20181003,3032308.839999999850988,2596991.649999999906868,2984942.640000000130385,2831055.429999999701977,11445298.560000000521541
20181004,2978999.560000000055879,2614970.590000000316650,2977615.209999999962747,2813409.370000000111759,11384994.730000000447035
20181005,2930655.359999999403954,2627114.259999999776483,2991603.939999999478459,2781569.740000000223517,11330943.299999998882413
20181008,2923861.040000000037253,2646039.460000000428408,3016250.750000000000000,2844481.780000000260770,11430633.030000001192093
20181009,2964365.639999999664724,2678527.720000000204891,3028907.219999999739230,2821848.790000000037253,11493649.369999997317791
20181010,2827041.979999999981374,2655502.060000000055879,2964958.739999999757856,2773897.540000000037253,11221400.320000000298023
20181011,2802085.919999999459833,2570338.660000000149012,2851716.640000000130385,2719808.530000000260770,10943949.750000000000000
20181012,2902171.479999999981374,2583744.009999999776483,2916331.250000000000000,2819547.129999999888241,11221793.870000001043081
