訓練日期,20180924 - 20181226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10656417.759999999776483
真實報酬,656417.759999999776483

夏普值報酬,0.056941776000000
夏普值風險,0.047075044035487
夏普值,1.209595809556220

預期報酬,23396.170583355571580
風險,351433.193048586661462
趨勢值,0.066573593633544
找到最佳解世代,1547
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,61233,
分配資金,10000000.000000000000000,
剩餘資金,38.769999999552965,
20180924,10000000.000000000000000,10000000.000000000000000
20180925,10189822.299999998882413,10189822.299999998882413
20180926,10150020.849999999627471,10150020.849999999627471
20180927,10197170.259999999776483,10197170.259999999776483
20180928,10243707.339999999850988,10243707.339999999850988
20181001,10205742.879999998956919,10205742.879999998956919
20181002,10114505.710000000894070,10114505.710000000894070
20181003,10082664.549999998882413,10082664.549999998882413
20181004,10152470.169999999925494,10152470.169999999925494
20181005,10199619.579999998211861,10199619.579999998211861
20181008,10273099.179999999701977,10273099.179999999701977
20181009,10399239.160000000149012,10399239.160000000149012
20181010,10309838.980000000447035,10309838.980000000447035
20181011,9979180.779999999329448,9979180.779999999329448
20181012,10031228.829999998211861,10031228.829999998211861
20181015,10022043.879999998956919,10022043.879999998956919
20181016,10046537.079999998211861,10046537.079999998211861
20181017,10211866.179999999701977,10211866.179999999701977
20181018,10214315.500000000000000,10214315.500000000000000
20181019,10255953.939999999478459,10255953.939999999478459
20181022,10203293.559999998658895,10203293.559999998658895
20181023,10847464.720000000670552,10847464.720000000670552
20181024,10859711.319999998435378,10859711.319999998435378
20181025,10734796.000000000000000,10734796.000000000000000
20181026,10614166.990000000223517,10614166.990000000223517
20181029,10607431.359999999403954,10607431.359999999403954
20181030,10929516.939999999478459,10929516.939999999478459
20181031,10832156.470000000670552,10832156.470000000670552
20181101,10708465.809999998658895,10708465.809999998658895
20181102,10822971.519999999552965,10822971.519999999552965
20181105,11045859.639999998733401,11045859.639999998733401
20181106,11187920.199999999254942,11187920.199999999254942
20181107,11282219.019999999552965,11282219.019999999552965
20181108,11357535.609999999403954,11357535.609999999403954
20181109,11385702.789999999105930,11385702.789999999105930
20181112,11289566.980000000447035,11289566.980000000447035
20181113,11267523.099999999627471,11267523.099999999627471
20181114,11257725.819999998435378,11257725.819999998435378
20181115,11239968.250000000000000,11239968.250000000000000
20181116,11486737.240000000223517,11486737.240000000223517
20181119,11433464.529999999329448,11433464.529999999329448
20181120,11249153.199999999254942,11249153.199999999254942
20181121,11188532.529999999329448,11188532.529999999329448
20181123,11140158.460000000894070,11140158.460000000894070
20181126,11260175.139999998733401,11260175.139999998733401
20181127,11305487.559999998658895,11305487.559999998658895
20181128,11502657.819999998435378,11502657.819999998435378
20181129,11588996.349999999627471,11588996.349999999627471
20181130,11543071.599999999627471,11543071.599999999627471
20181203,11350799.980000000447035,11350799.980000000447035
20181204,11330593.089999999850988,11330593.089999999850988
20181206,11355698.619999999180436,11355698.619999999180436
20181207,11203228.449999999254942,11203228.449999999254942
20181210,11306712.220000000670552,11306712.220000000670552
20181211,11241805.240000000223517,11241805.240000000223517
20181212,11235069.609999999403954,11235069.609999999403954
20181213,11415706.960000000894070,11415706.960000000894070
20181214,11223435.339999999850988,11223435.339999999850988
20181217,11070352.839999999850988,11070352.839999999850988
20181218,11004221.199999999254942,11004221.199999999254942
20181219,10970543.049999998882413,10970543.049999998882413
20181220,10634986.210000000894070,10634986.210000000894070
20181221,10663765.720000000670552,10663765.720000000670552
20181224,10426794.009999999776483,10426794.009999999776483
20181226,10656417.759999999776483,10656417.759999999776483
