訓練日期,20181009 - 20190111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11164228.779999999329448
真實報酬,1164228.779999999329448

夏普值報酬,0.107722878000000
夏普值風險,0.045985423541120
夏普值,2.342543999919313

預期報酬,26781.115344899353659
風險,429272.932872497767676
趨勢值,0.062387151143429
找到最佳解世代,1825
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,121654,
分配資金,10000000.000000000000000,
剩餘資金,41.199999999254942,
20181009,10000000.000000000000000,10000000.000000000000000
20181010,9907542.959999999031425,9907542.959999999031425
20181011,9594892.179999999701977,9594892.179999999701977
20181012,9618006.439999999478459,9618006.439999999478459
20181015,9748176.219999998807907,9748176.219999998807907
20181016,9855231.740000000223517,9855231.740000000223517
20181017,9958637.639999998733401,9958637.639999998733401
20181018,9761558.159999998286366,9761558.159999998286366
20181019,10620435.399999998509884,10620435.399999998509884
20181022,10535277.599999997764826,10535277.599999997764826
20181023,10603403.839999997988343,10603403.839999997988343
20181024,10883208.039999999105930,10883208.039999999105930
20181025,10827247.199999999254942,10827247.199999999254942
20181026,10688561.639999998733401,10688561.639999998733401
20181029,10734790.159999998286366,10734790.159999998286366
20181030,10850361.459999999031425,10850361.459999999031425
20181031,10788317.919999999925494,10788317.919999999925494
20181101,10899023.060000000521541,10899023.060000000521541
20181102,10925786.939999999478459,10925786.939999999478459
20181105,11094886.000000000000000,11094886.000000000000000
20181106,11132598.740000000223517,11132598.740000000223517
20181107,11105834.859999999403954,11105834.859999999403954
20181108,11114350.639999998733401,11114350.639999998733401
20181109,11242087.339999997988343,11242087.339999997988343
20181112,11277367.000000000000000,11277367.000000000000000
20181113,11371040.579999998211861,11371040.579999998211861
20181114,11373473.659999998286366,11373473.659999998286366
20181115,11414836.019999999552965,11414836.019999999552965
20181116,11413619.479999998584390,11413619.479999998584390
20181119,11349142.859999999403954,11349142.859999999403954
20181120,11204374.599999997764826,11204374.599999997764826
20181121,11120433.339999997988343,11120433.339999997988343
20181123,11136248.359999999403954,11136248.359999999403954
20181126,11184909.959999999031425,11184909.959999999031425
20181127,11279800.079999998211861,11279800.079999998211861
20181128,11315079.740000000223517,11315079.740000000223517
20181129,11291965.479999998584390,11291965.479999998584390
20181130,11497560.740000000223517,11497560.740000000223517
20181203,11352792.479999998584390,11352792.479999998584390
20181204,11351575.939999999478459,11351575.939999999478459
20181206,11380772.899999998509884,11380772.899999998509884
20181207,11246953.500000000000000,11246953.500000000000000
20181210,11317512.820000000298023,11317512.820000000298023
20181211,11424568.339999997988343,11424568.339999997988343
20181212,11439166.820000000298023,11439166.820000000298023
20181213,11738435.659999998286366,11738435.659999998286366
20181214,11756683.759999999776483,11756683.759999999776483
20181217,11285882.779999999329448,11285882.779999999329448
20181218,11251819.659999998286366,11251819.659999998286366
20181219,11163012.240000000223517,11163012.240000000223517
20181220,11068122.119999999180436,11068122.119999999180436
20181221,11066905.579999998211861,11066905.579999998211861
20181224,10627734.639999998733401,10627734.639999998733401
20181226,10959850.060000000521541,10959850.060000000521541
20181227,11194642.279999999329448,11194642.279999999329448
20181228,11092452.919999999925494,11092452.919999999925494
20181231,11182476.879999998956919,11182476.879999998956919
20190102,11104618.320000000298023,11104618.320000000298023
20190103,11026759.759999999776483,11026759.759999999776483
20190104,11251819.659999998286366,11251819.659999998286366
20190107,11206807.679999999701977,11206807.679999999701977
20190108,11248170.039999999105930,11248170.039999999105930
20190109,11064472.500000000000000,11064472.500000000000000
20190110,11091236.379999998956919,11091236.379999998956919
20190111,11164228.779999999329448,11164228.779999999329448
