代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12213066.809999998658895
真實報酬,2213066.809999998658895

夏普值報酬,0.212606681000000
夏普值風險,0.060771184903868
夏普值,3.498478453831628

二次趨勢線,31.702581137647758 x^2 + 14722.870440835218687 x + 10000000.000000000000000
二次加權預期報酬,19943.228801501216367
風險,196701.485029960313113
二次加權趨勢值,0.101388298102902
一次趨勢線,17659.273887260809715 x + 10000000.000000000000000
一次預期報酬,17659.273887260809715
一次風險,204023.377067370427540
一次趨勢值,0.086555149420106
找到最佳解世代,4053
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
BA[2](1),MCD[15](6),
Stock#,BA[2](1),MCD[15](6),
張數,102522,89863,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.059999999590218,22.679999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4962066.859999999403954,4975736.989999999292195,9937803.849999997764826
FS( 3 ),4968218.179999999701977,4993709.589999999850988,9961927.769999999552965
FS( 4 ),5038958.359999999403954,5044931.500000000000000,10083889.859999999403954
FS( 5 ),5074841.059999999590218,5052120.540000000037253,10126961.599999999627471
FS( 6 ),5180438.719999999739230,4950575.349999999627471,10131014.070000000298023
FS( 7 ),5176337.839999999850988,4929008.229999999515712,10105346.070000000298023
FS( 8 ),5264506.759999999776483,4887671.250000000000000,10152178.009999999776483
FS( 9 ),5225548.399999999441206,4873293.169999998994172,10098841.569999998435378
FS( 10 ),5338322.599999999627471,4940690.419999998994172,10279013.019999999552965
FS( 11 ),5368053.979999999515712,5074586.290000000037253,10442640.269999999552965
FS( 12 ),5421365.419999999925494,5073687.660000000149012,10495053.080000000074506
FS( 13 ),5435718.500000000000000,5122213.679999999701977,10557932.179999999701977
FS( 14 ),5419314.979999999515712,5044931.500000000000000,10464246.480000000447035
FS( 15 ),5448021.139999999664724,5015276.709999999962747,10463297.849999999627471
FS( 16 ),5369079.199999999254942,4991013.699999999254942,10360092.899999998509884
FS( 17 ),5309616.439999999478459,5043134.239999999292195,10352750.679999999701977
FS( 18 ),5281935.500000000000000,5117720.530000000260770,10399656.030000001192093
FS( 19 ),5440844.599999999627471,5137490.389999999664724,10578334.989999998360872
FS( 20 ),5599753.699999999254942,5137490.389999999664724,10737244.089999999850988
FS( 21 ),5551568.359999999403954,5128504.089999999850988,10680072.449999999254942
FS( 22 ),5342423.479999999515712,5098849.299999999813735,10441272.779999999329448
FS( 23 ),5269632.859999999403954,5096153.410000000149012,10365786.269999999552965
FS( 24 ),5359852.219999999739230,5087167.109999999403954,10447019.329999998211861
FS( 25 ),5360877.439999999478459,5161753.399999999441206,10522630.839999999850988
FS( 26 ),5309616.439999999478459,5134794.500000000000000,10444410.939999999478459
FS( 27 ),5361902.659999999217689,5110531.489999999292195,10472434.149999998509884
FS( 28 ),5401886.239999999292195,5095254.780000000260770,10497141.019999999552965
FS( 29 ),5296288.579999999143183,5093457.519999999552965,10389746.099999997764826
FS( 30 ),5320893.859999999403954,5126706.829999999143183,10447600.689999997615814
FS( 31 ),5383432.279999999329448,5167145.179999999701977,10550577.459999999031425
FS( 32 ),5306540.779999999329448,5230049.280000000260770,10536590.059999998658895
FS( 33 ),5453147.239999999292195,5282169.819999999366701,10735317.059999998658895
FS( 34 ),5479802.959999999962747,5327101.319999999366701,10806904.279999999329448
FS( 35 ),5319868.639999999664724,5294750.639999999664724,10614619.279999999329448
FS( 36 ),5190690.919999999925494,5241731.469999999739230,10432422.390000000596046
