代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11564037.500000000000000
真實報酬,1564037.500000000000000

夏普值報酬,0.147703750000000
夏普值風險,0.043529760290525
夏普值,3.393167088773263

二次趨勢線,59.461933181648206 x^2 + 4689.910796299487629 x + 10000000.000000000000000
二次加權預期報酬,14639.874282028622474
風險,86463.659186163698905
二次加權趨勢值,0.169318236353006
一次趨勢線,10286.676419472581983 x + 10000000.000000000000000
一次預期報酬,10286.676419472581983
一次風險,135949.294518069946207
一次趨勢值,0.075665537330944
找到最佳解世代,2708
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,2
MCD[15](2),PFE[20](1),
Stock#,MCD[15](2),PFE[20](1),
張數,63059,299401,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,51.889999999664724,3.299999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5005675.309999999590218,4997005.990000000223517,10002681.300000000745058
FS( 3 ),5029637.730000000447035,5005988.019999999552965,10035625.750000000000000
FS( 4 ),5018287.109999999403954,5032934.109999999403954,10051221.219999998807907
FS( 5 ),5066211.950000000186265,5020958.069999999366701,10087170.019999999552965
FS( 6 ),4965317.549999998882413,5005988.019999999552965,9971305.569999998435378
FS( 7 ),4894060.879999999888241,5017964.060000000521541,9912024.940000001341105
FS( 8 ),4890907.929999999701977,5095808.319999999366701,9986716.250000000000000
FS( 9 ),4862531.379999999888241,5146706.490000000223517,10009237.870000001043081
FS( 10 ),4862531.379999999888241,5122754.409999999217689,9985285.789999999105930
FS( 11 ),4854333.709999999962747,5113772.379999998956919,9968106.089999999850988
FS( 12 ),4837307.779999999329448,5155688.519999999552965,9992996.299999998882413
FS( 13 ),4843613.679999999701977,5098802.330000000074506,9942416.009999999776483
FS( 14 ),4850550.169999999925494,5140718.470000000670552,9991268.640000000596046
FS( 15 ),4846766.629999999888241,5203592.679999999701977,10050359.309999998658895
FS( 16 ),4856225.480000000447035,5257484.859999999403954,10113710.339999999850988
FS( 17 ),4853072.529999999329448,5272454.909999999217689,10125527.439999997615814
FS( 18 ),4819651.259999999776483,5236526.789999999105930,10056178.049999998882413
FS( 19 ),4819651.259999999776483,5266466.889999999664724,10086118.149999998509884
FS( 20 ),4854964.299999998882413,5269460.900000000372529,10124425.199999999254942
FS( 21 ),4840460.730000000447035,5236526.789999999105930,10076987.519999999552965
FS( 22 ),4840460.730000000447035,5242514.810000000521541,10082975.540000000968575
FS( 23 ),4830371.289999999105930,5293412.979999999515712,10123784.269999999552965
FS( 24 ),4685966.179999999701977,5386227.289999999105930,10072193.469999998807907
FS( 25 ),4708036.829999999143183,5422155.409999999217689,10130192.239999998360872
FS( 26 ),4679660.279999999329448,5443113.479999999515712,10122773.759999997913837
FS( 27 ),4689749.719999999739230,5491017.639999999664724,10180767.359999999403954
FS( 28 ),4638671.929999999701977,5467065.560000000521541,10105737.490000000223517
FS( 29 ),4660111.990000000223517,5455089.519999999552965,10115201.509999999776483
FS( 30 ),4641194.289999999105930,5499999.669999999925494,10141193.959999999031425
FS( 31 ),4582549.419999999925494,5455089.519999999552965,10037638.939999999478459
FS( 32 ),4670201.429999999701977,5491017.639999999664724,10161219.070000000298023
FS( 33 ),4709298.009999999776483,5502993.679999999701977,10212291.689999999478459
FS( 34 ),4751547.539999999105930,5485029.620000000111759,10236577.160000000149012
FS( 35 ),4739566.329999999143183,5461077.539999999105930,10200643.869999997317791
FS( 36 ),4730107.480000000447035,5497005.659999999217689,10227113.140000000596046
FS( 37 ),4753439.309999999590218,5523951.750000000000000,10277391.059999998658895
FS( 38 ),4759745.209999999962747,5529939.769999999552965,10289684.980000000447035
FS( 39 ),4740196.919999999925494,5497005.659999999217689,10237202.579999998211861
FS( 40 ),4688488.539999999105930,5532933.780000000260770,10221422.320000000298023
FS( 41 ),4621015.410000000149012,5434131.449999999254942,10055146.859999999403954
FS( 42 ),4645608.419999999925494,5455089.519999999552965,10100697.939999999478459
FS( 43 ),4632996.619999999180436,5754490.519999999552965,10387487.139999998733401
FS( 44 ),4643716.649999999441206,5676646.259999999776483,10320362.910000000149012
FS( 45 ),4655697.859999999403954,5739520.470000000670552,10395218.330000000074506
FS( 46 ),4669570.839999999850988,5778442.599999999627471,10448013.439999999478459
FS( 47 ),4631735.439999999478459,5700598.339999999850988,10332333.779999999329448
FS( 48 ),4752178.129999999888241,5736526.459999999962747,10488704.589999999850988
FS( 49 ),4788121.759999999776483,5703592.349999999627471,10491714.109999999403954
FS( 50 ),4777401.730000000447035,5697604.330000000074506,10475006.060000000521541
FS( 51 ),4801364.149999999441206,5637724.129999998956919,10439088.279999997466803
FS( 52 ),4807670.049999998882413,5703592.349999999627471,10511262.399999998509884
FS( 53 ),4801994.740000000223517,5703592.349999999627471,10505587.089999999850988
FS( 54 ),4793797.069999999366701,5772454.580000000074506,10566251.649999998509884
FS( 55 ),4791274.709999999962747,5799400.669999999925494,10590675.379999998956919
FS( 56 ),4800733.559999999590218,5745508.490000000223517,10546242.050000000745058
FS( 57 ),4773618.189999999478459,5655688.190000000409782,10429306.379999998956919
FS( 58 ),4741458.099999999627471,5616766.060000000521541,10358224.160000000149012
FS( 59 ),4742719.279999999329448,5658682.199999999254942,10401401.479999998584390
FS( 60 ),4694163.849999999627471,5646706.159999999217689,10340870.009999997913837
FS( 61 ),4772357.009999999776483,5760478.539999999105930,10532835.549999998882413
FS( 62 ),4722540.399999999441206,5730538.440000000409782,10453078.839999999850988
FS( 63 ),4709928.599999999627471,5745508.490000000223517,10455437.089999999850988
FS( 64 ),4807670.049999998882413,5919161.069999999366701,10726831.119999997317791
FS( 65 ),4794427.660000000149012,5886226.959999999962747,10680654.620000001043081
FS( 66 ),4810823.000000000000000,5871256.909999999217689,10682079.910000000149012
FS( 67 ),4763528.750000000000000,5892214.979999999515712,10655743.730000000447035
FS( 68 ),4778662.910000000149012,5886226.959999999962747,10664889.870000001043081
FS( 69 ),4835416.009999999776483,5796406.659999999217689,10631822.669999998062849
FS( 70 ),4838568.959999999962747,5829340.769999999552965,10667909.730000000447035
FS( 71 ),4771726.419999999925494,5931137.109999999403954,10702863.529999999329448
FS( 72 ),4737043.969999999739230,5916167.060000000521541,10653211.030000001192093
FS( 73 ),4627321.309999999590218,5778442.599999999627471,10405763.910000000149012
FS( 74 ),4628582.490000000223517,5952095.179999999701977,10580677.669999999925494
FS( 75 ),4602728.299999998882413,6041915.479999999515712,10644643.779999997466803
FS( 76 ),4651283.730000000447035,5982035.280000000260770,10633319.010000001639128
FS( 77 ),4658220.219999999739230,5970059.240000000223517,10628279.460000000894070
FS( 78 ),4699839.160000000149012,5964071.220000000670552,10663910.380000000819564
FS( 79 ),4725062.759999999776483,6077843.599999999627471,10802906.359999999403954
FS( 80 ),4745241.639999999664724,6092813.650000000372529,10838055.289999999105930
FS( 81 ),4729476.889999999664724,6068861.569999999366701,10798338.459999999031425
FS( 82 ),4752808.719999999739230,6101795.679999999701977,10854604.399999998509884
FS( 83 ),4780554.679999999701977,6089819.639999999664724,10870374.320000000298023
FS( 84 ),4798211.200000000186265,6080837.609999999403954,10879048.809999998658895
FS( 85 ),4791905.299999998882413,6101795.679999999701977,10893700.979999998584390
FS( 86 ),4817128.899999999441206,6149699.839999999850988,10966828.739999998360872
FS( 87 ),4830371.289999999105930,6122753.750000000000000,10953125.039999999105930
FS( 88 ),4837938.369999999180436,6074849.589999999850988,10912787.959999999031425
FS( 89 ),4793166.480000000447035,6086825.629999998956919,10879992.109999999403954
FS( 90 ),4795058.250000000000000,6125747.759999999776483,10920806.009999999776483
FS( 91 ),4808300.639999999664724,6188621.970000000670552,10996922.609999999403954
FS( 92 ),4834154.829999999143183,6125747.759999999776483,10959902.589999999850988
FS( 93 ),4848658.399999999441206,6125747.759999999776483,10974406.160000000149012
FS( 94 ),4860009.019999999552965,6134729.789999999105930,10994738.809999998658895
FS( 95 ),4879557.309999999590218,6146705.830000000074506,11026263.140000000596046
FS( 96 ),4855594.889999999664724,6107783.699999999254942,10963378.589999999850988
FS( 97 ),4830371.289999999105930,6146705.830000000074506,10977077.119999999180436
FS( 98 ),4943877.490000000223517,6104789.690000000409782,11048667.179999999701977
FS( 99 ),4849919.579999999143183,5925149.089999999850988,10775068.669999998062849
FS( 100 ),4863792.559999999590218,6029939.440000000409782,10893732.000000000000000
FS( 101 ),4851811.349999999627471,6044909.490000000223517,10896720.839999999850988
FS( 102 ),4910456.219999999739230,6176645.929999999701977,11087102.149999998509884
FS( 103 ),4920545.660000000149012,6236526.129999998956919,11157071.789999999105930
FS( 104 ),4938202.179999999701977,6278442.269999999552965,11216644.449999999254942
FS( 105 ),4959011.649999999441206,6293412.319999999366701,11252423.969999998807907
FS( 106 ),4977929.349999999627471,6119759.740000000223517,11097689.089999999850988
FS( 107 ),4986127.019999999552965,6179639.940000000409782,11165766.960000000894070
FS( 108 ),4956489.289999999105930,6104789.690000000409782,11061278.980000000447035
FS( 109 ),4962795.189999999478459,6152693.849999999627471,11115489.039999999105930
FS( 110 ),5001261.179999999701977,6167663.900000000372529,11168925.080000000074506
FS( 111 ),5026484.779999999329448,6245508.159999999217689,11271992.939999997615814
FS( 112 ),5013872.980000000447035,6170657.909999999217689,11184530.890000000596046
FS( 113 ),5086390.829999999143183,6254490.190000000409782,11340881.019999999552965
FS( 114 ),5091435.549999998882413,6263472.220000000670552,11354907.769999999552965
FS( 115 ),5116659.149999999441206,6281436.280000000260770,11398095.429999999701977
FS( 116 ),5103416.759999999776483,6329340.440000000409782,11432757.199999999254942
FS( 117 ),5139360.389999999664724,6341316.479999999515712,11480676.869999999180436
FS( 118 ),5203049.980000000447035,6296406.330000000074506,11499456.310000000521541
FS( 119 ),5191699.359999999403954,6194609.990000000223517,11386309.349999999627471
FS( 120 ),5202419.389999999664724,6164669.889999999664724,11367089.279999999329448
FS( 121 ),5211247.649999999441206,6143711.819999999366701,11354959.469999998807907
FS( 122 ),5216292.369999999180436,6221556.080000000074506,11437848.449999999254942
FS( 123 ),5198005.259999999776483,6257484.199999999254942,11455489.459999999031425
FS( 124 ),5146927.469999999739230,6266466.229999999515712,11413393.699999999254942
FS( 125 ),5141882.750000000000000,6422154.750000000000000,11564037.500000000000000
