代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11579814.039999999105930
真實報酬,1579814.039999999105930

夏普值報酬,0.149281404000000
夏普值風險,0.063751263152604
夏普值,2.341622685069935

二次趨勢線,270.652539026413649 x^2 + -20768.183603195881005 x + 10000000.000000000000000
二次加權預期報酬,25242.748031294438988
風險,230474.200207768066321
二次加權趨勢值,0.109525265771781
一次趨勢線,5112.567422765167976 x + 10000000.000000000000000
一次預期報酬,5112.567422765167976
一次風險,544074.791303172241896
一次趨勢值,0.009396809968937
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,136128,58377,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.560000000521541,9.949999999254942,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4980942.080000001005828,4999416.229999999515712,9980358.310000000521541
FS( 3 ),4978219.520000000484288,5012259.169999998994172,9990478.689999999478459
FS( 4 ),5043560.959999999962747,5023934.569999999366701,10067495.529999999329448
FS( 5 ),4985025.919999999925494,4997081.149999998509884,9982107.069999998435378
FS( 6 ),4949632.640000000596046,4982486.899999998509884,9932119.539999999105930
FS( 7 ),4915600.640000000596046,4961471.179999998770654,9877071.820000000298023
FS( 8 ),4918323.200000001117587,4959719.869999999180436,9878043.070000000298023
FS( 9 ),4895181.440000000409782,5009340.319999999366701,9904521.759999999776483
FS( 10 ),4888375.040000000037253,4990075.909999999217689,9878450.949999999254942
FS( 11 ),4858426.879999999888241,4985405.750000000000000,9843832.629999998956919
FS( 12 ),4915600.640000000596046,5032691.119999999180436,9948291.759999999776483
FS( 13 ),4956439.040000000037253,5036193.739999999292195,9992632.779999999329448
FS( 14 ),4998638.720000000670552,5051955.529999999329448,10050594.250000000000000
FS( 15 ),4971413.120000001043081,5169877.069999999366701,10141290.190000001341105
FS( 16 ),4989109.760000000707805,5144191.189999999478459,10133300.949999999254942
FS( 17 ),4953716.480000000447035,5138353.489999999292195,10092069.969999998807907
FS( 18 ),4850259.200000001117587,5084062.879999999888241,9934322.080000001937151
FS( 19 ),4784917.760000000707805,5065966.009999999776483,9850883.769999999552965
FS( 20 ),4754969.600000000558794,5048452.909999999217689,9803422.509999999776483
FS( 21 ),4662402.560000000521541,5043198.979999999515712,9705601.539999999105930
FS( 22 ),4467739.520000000484288,4965557.569999999366701,9433297.089999999850988
FS( 23 ),4485436.160000001080334,4993578.529999999329448,9479014.690000001341105
FS( 24 ),4315276.160000000149012,4920023.509999999776483,9235299.669999999925494
FS( 25 ),4184593.280000000260770,4966725.109999999403954,9151318.390000000596046
FS( 26 ),3938201.600000000558794,4793345.419999998994172,8731547.019999999552965
FS( 27 ),4104277.760000000242144,5018096.869999999180436,9122374.629999998956919
FS( 28 ),3881027.840000000782311,4908348.109999999403954,8789375.949999999254942
FS( 29 ),4090664.960000000428408,5036777.509999999776483,9127442.470000000670552
FS( 30 ),4162812.800000000279397,5049620.449999999254942,9212433.250000000000000
FS( 31 ),4282605.440000000409782,5068301.089999998919666,9350906.529999999329448
FS( 32 ),4508577.919999999925494,5059544.539999999105930,9568122.459999999031425
FS( 33 ),4548055.040000000037253,5107997.449999999254942,9656052.489999998360872
FS( 34 ),4377895.040000000037253,4997664.919999998994172,9375559.959999999031425
FS( 35 ),4339779.200000000186265,5092235.659999999217689,9432014.859999999403954
FS( 36 ),4394230.400000000372529,5123175.469999999739230,9517405.870000001043081
FS( 37 ),4507216.640000000596046,5226502.759999999776483,9733719.400000000372529
FS( 38 ),4678737.919999999925494,5261528.959999999031425,9940266.879999998956919
FS( 39 ),4606590.080000001005828,5178633.619999999180436,9785223.699999999254942
FS( 40 ),4628370.560000000521541,5249853.559999999590218,9878224.120000001043081
