代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11401876.959999999031425
真實報酬,1401876.959999999031425

夏普值報酬,0.131487696000000
夏普值風險,0.041740971323078
夏普值,3.150087116619207

二次趨勢線,63.533270059075349 x^2 + 4897.519729092795387 x + 10000000.000000000000000
二次加權預期報酬,15189.909478663003028
風險,104960.523639207720407
二次加權趨勢值,0.144720214343413
一次趨勢線,10686.890918056193186 x + 10000000.000000000000000
一次預期報酬,10686.890918056193186
一次風險,148513.145415437669726
一次趨勢值,0.071959225482442
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](18),JNJ[12](8),NKE[19](2),PG[21](10),V[25](4),
Stock#,BA[2](18),JNJ[12](8),NKE[19](2),PG[21](10),V[25](4),
張數,28220,29735,82236,29673,62247,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.599999999860302,23.899999999906868,20.479999999981374,39.799999999813735,3.889999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2029631.000000000000000,2000297.349999999860302,2001644.719999999972060,1996735.969999999972060,1985683.189999999711290,10013992.229999998584390
FS( 3 ),2055028.999999999767169,2017246.300000000046566,2045229.800000000046566,2024925.319999999599531,2015561.750000000000000,10157992.169999998062849
FS( 4 ),2057004.399999999906868,2018435.699999999720603,2041118.000000000000000,2033233.759999999776483,2018674.099999999860302,10168465.959999999031425
FS( 5 ),2005926.199999999720603,2027356.200000000186265,2056742.840000000083819,2032937.030000000027940,2002489.879999999888241,10125452.150000000372529
FS( 6 ),2011287.999999999767169,2027950.899999999906868,2049341.600000000093132,2025518.780000000027940,2046062.779999999795109,10160162.060000000521541
FS( 7 ),2002539.799999999580905,2026464.150000000139698,2073190.040000000037253,2020771.099999999627471,2077186.279999999795109,10200151.369999999180436
FS( 8 ),2020036.199999999720603,2051441.549999999813735,2039473.280000000027940,2044806.229999999748543,2100217.669999999925494,10255974.929999999701977
FS( 9 ),2011570.199999999953434,2035979.349999999860302,1986842.239999999990687,2052224.479999999748543,2089013.209999999962747,10175629.480000000447035
FS( 10 ),1973191.000000000000000,2029437.649999999906868,2013980.119999999878928,2054895.049999999813735,2083410.979999999748543,10154914.799999998882413
FS( 11 ),1988147.599999999860302,2038358.149999999906868,2009045.959999999962747,2054004.859999999869615,2080298.629999999888241,10169855.199999999254942
FS( 12 ),1972626.600000000093132,2039844.899999999674037,2008223.600000000093132,2055191.780000000027940,2097727.790000000037253,10173614.669999999925494
FS( 13 ),1971215.599999999627471,2048765.400000000139698,1988486.959999999962747,2064093.679999999934807,2094615.439999999711290,10167177.080000000074506
FS( 14 ),1974601.999999999767169,2053523.000000000000000,1984375.159999999916181,2059939.459999999962747,2100840.139999999664724,10173279.759999999776483
FS( 15 ),1976295.199999999953434,2051738.899999999906868,1959704.359999999869615,2070028.280000000027940,2081543.569999999832362,10139310.309999998658895
FS( 16 ),1957952.199999999720603,2061254.099999999627471,1954770.199999999953434,2064983.869999999878928,2093992.969999999972060,10132953.339999999850988
FS( 17 ),1982503.599999999860302,2051738.899999999906868,1962993.800000000046566,2056378.699999999720603,2062247.000000000000000,10115862.000000000000000
FS( 18 ),1978270.599999999627471,2052036.250000000000000,1973684.479999999981374,2056378.699999999720603,2084033.449999999720603,10144403.479999998584390
FS( 19 ),1964160.599999999627471,2049062.749999999767169,1951480.760000000009313,2058159.079999999841675,2089635.679999999934807,10112498.869999999180436
FS( 20 ),1975730.800000000046566,2055604.449999999720603,1964638.520000000018626,2060829.649999999906868,2127606.349999999627471,10184409.769999999552965
FS( 21 ),1962185.199999999953434,2050549.499999999767169,1952303.119999999878928,2041245.469999999972060,2116401.889999999664724,10122685.179999999701977
FS( 22 ),1971497.799999999813735,2051738.899999999906868,1928454.679999999934807,2052521.209999999962747,2155617.500000000000000,10159830.089999999850988
FS( 23 ),1973755.399999999906868,2059767.349999999860302,1971217.399999999906868,2058752.539999999571592,2173669.129999999888241,10237161.820000000298023
FS( 24 ),2000564.399999999906868,2071066.650000000139698,1958059.639999999897555,2066170.789999999571592,2183006.179999999701977,10278867.659999998286366
FS( 25 ),1991533.999999999767169,2064822.299999999813735,1953125.479999999981374,2050444.099999999627471,2158729.849999999627471,10218655.729999998584390
FS( 26 ),1993509.399999999906868,2034195.249999999767169,1942434.800000000046566,2038574.899999999906868,2128228.819999999366701,10136943.169999998062849
FS( 27 ),1985043.399999999906868,2028545.599999999860302,1937500.639999999897555,2021958.019999999785796,2138188.339999999850988,10111236.000000000000000
FS( 28 ),1998871.199999999720603,2021111.849999999860302,1951480.760000000009313,2017803.799999999813735,2163709.609999999403954,10152977.219999998807907
FS( 29 ),2027655.599999999627471,2021111.849999999860302,1941612.439999999944121,2016023.419999999692664,2164954.549999999813735,10171357.859999999403954
FS( 30 ),2038943.599999999860302,2039844.899999999674037,1965460.879999999888241,2038871.629999999655411,2176781.479999999515712,10259902.489999998360872
FS( 31 ),2073654.199999999953434,2068093.149999999906868,1999177.639999999897555,2047476.799999999813735,2196700.519999999552965,10385102.309999998658895
FS( 32 ),2077887.199999999720603,2111208.899999999906868,2005756.520000000018626,2061423.109999999869615,2218486.969999999739230,10474762.699999999254942
FS( 33 ),2095665.800000000046566,2156406.099999999627471,2005756.520000000018626,2061423.109999999869615,2207904.979999999515712,10527156.509999997913837
FS( 34 ),2088610.800000000046566,2136781.000000000000000,1982730.439999999944121,2034717.409999999683350,2178026.419999999925494,10420866.070000000298023
FS( 35 ),2079862.599999999860302,2134402.199999999720603,1942434.800000000046566,2032640.299999999813735,2163087.139999999664724,10352427.039999999105930
FS( 36 ),2055028.999999999767169,2107938.049999999813735,1908718.040000000037253,2001186.919999999692664,2126361.410000000149012,10199233.419999999925494
FS( 37 ),2051924.799999999580905,2103477.799999999813735,1909540.399999999906868,2020177.639999999664724,2123871.529999999329448,10208992.169999998062849
FS( 38 ),2018907.400000000139698,2115371.799999999813735,1877468.359999999869615,2079226.909999999683350,2140678.219999999739230,10231652.690000001341105
FS( 39 ),2006772.799999999813735,2108235.399999999906868,1874178.919999999925494,2060532.919999999692664,2152505.149999999441206,10202225.189999997615814
FS( 40 ),1987865.399999999906868,2105856.599999999627471,1879113.080000000074506,2054598.319999999599531,2159352.319999999366701,10186785.719999998807907
FS( 41 ),1997742.400000000139698,2126076.399999999906868,1960526.719999999972060,2054895.049999999813735,2239028.479999999515712,10378269.049999998882413
FS( 42 ),1976859.599999999860302,2108235.399999999906868,1944079.520000000018626,2053114.669999999692664,2231558.839999999850988,10313848.029999999329448
FS( 43 ),1987018.799999999813735,2104964.550000000279397,1958882.000000000000000,2037684.709999999962747,2202302.750000000000000,10290852.809999998658895
FS( 44 ),2032452.999999999767169,2111506.250000000000000,1976151.560000000055879,2045399.689999999944121,2239028.479999999515712,10404538.980000000447035
FS( 45 ),1978552.799999999813735,2091583.800000000046566,1945724.239999999990687,2019584.179999999934807,2218486.969999999739230,10253931.989999998360872
FS( 46 ),2003104.199999999953434,2071066.650000000139698,1888981.399999999906868,1985460.229999999748543,2211017.330000000074506,10159629.809999998658895
FS( 47 ),2067163.599999999860302,2077608.350000000093132,1898027.359999999869615,1988427.530000000027940,2224089.199999999254942,10255316.039999999105930
FS( 48 ),2079580.399999999906868,2071958.700000000186265,1897205.000000000000000,1990504.639999999664724,2229068.959999999962747,10268317.699999999254942
FS( 49 ),2070267.799999999813735,2066903.750000000000000,1880757.800000000046566,1983679.849999999627471,2216619.559999999590218,10218228.759999997913837
FS( 50 ),2011852.400000000139698,2059767.349999999860302,1862665.879999999888241,1974184.489999999757856,2178026.419999999925494,10086496.539999999105930
FS( 51 ),2004797.400000000139698,2053820.349999999627471,1867600.040000000037253,1967953.159999999683350,2178648.889999999664724,10072819.839999999850988
FS( 52 ),1997177.999999999767169,2057388.549999999813735,1903783.879999999888241,1982789.659999999683350,2220976.849999999627471,10162116.939999999478459
FS( 53 ),2030759.799999999580905,2059172.649999999906868,1980263.359999999869615,2015429.959999999962747,2266417.160000000149012,10352042.929999999701977
FS( 54 ),2047127.400000000139698,2071661.349999999860302,1965460.879999999888241,2026705.699999999720603,2277621.620000000111759,10388576.949999999254942
