代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12415744.470000000670552
真實報酬,2415744.470000000670552

夏普值報酬,0.232874447000000
夏普值風險,0.075959965363972
夏普值,3.065752411604609

二次趨勢線,167.923470995109028 x^2 + 1526.321960102990488 x + 10000000.000000000000000
二次加權預期報酬,29401.618145291093242
風險,85599.749245853381581
二次加權趨勢值,0.343477853665738
一次趨勢線,17205.923167477649258 x + 10000000.000000000000000
一次預期報酬,17205.923167477649258
一次風險,303880.060442311922088
一次趨勢值,0.056620770518584
找到最佳解世代,2935
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,7
AXP[1](4),BA[2](2),HD[9](6),JNJ[12](1),MSFT[18](5),UNH[23](17),VZ[26](12),
Stock#,AXP[1](4),BA[2](2),HD[9](6),JNJ[12](1),MSFT[18](5),UNH[23](17),VZ[26](12),
張數,25514,19299,21984,20510,54051,26509,32393,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,42.139999999897555,59.020000000018626,50.679999999934807,49.499999999767169,3.070000000065193,0.989999999990687,39.699999999953434,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1424743.899999999906868,1429149.969999999972060,1412302.839999999850988,1432878.099999999860302,1425327.940000000176951,1419292.849999999860302,1414642.010000000009313,9958340.609999999403954
FS( 3 ),1439031.739999999757856,1425676.150000000139698,1407466.359999999869615,1435134.199999999720603,1441543.240000000223517,1427245.550000000046566,1428571.000000000000000,10004671.240000000223517
FS( 4 ),1431887.819999999832362,1427799.040000000037253,1414501.239999999990687,1436774.999999999767169,1444786.300000000046566,1422208.839999999850988,1439908.550000000046566,10017869.789999999105930
FS( 5 ),1444389.679999999934807,1440536.380000000121072,1416919.479999999981374,1444978.999999999767169,1430192.530000000027940,1428040.819999999832362,1438612.829999999841675,10043673.720000000670552
FS( 6 ),1447961.639999999897555,1457712.489999999990687,1385922.039999999804422,1448055.499999999534339,1456137.010000000242144,1436523.699999999953434,1426303.489999999990687,10058618.869999999180436
FS( 7 ),1455870.979999999981374,1463309.199999999953434,1382624.439999999944121,1458310.499999999534339,1476676.390000000130385,1451633.829999999841675,1439584.619999999878928,10128012.959999999031425
FS( 8 ),1471434.520000000018626,1456554.550000000046566,1383503.799999999813735,1455439.099999999627471,1472352.310000000055879,1464623.239999999990687,1450922.169999999925494,10154832.689999999478459
FS( 9 ),1472710.219999999972060,1434360.699999999953434,1372072.119999999878928,1451131.999999999767169,1465325.679999999934807,1441560.410000000149012,1442176.060000000055879,10079340.189999999478459
FS( 10 ),1445410.239999999757856,1428571.000000000000000,1364377.719999999972060,1449901.399999999674037,1449110.379999999888241,1432812.439999999944121,1432134.229999999981374,10002320.410000000149012
FS( 11 ),1461228.919999999925494,1440729.370000000111759,1391857.719999999972060,1455028.899999999674037,1464785.170000000158325,1441030.229999999981374,1429218.859999999869615,10083882.169999998062849
FS( 12 ),1475261.619999999878928,1457519.500000000000000,1385042.679999999934807,1455233.999999999767169,1489648.629999999888241,1456670.540000000037253,1421120.609999999869615,10140500.579999998211861
FS( 13 ),1448982.199999999953434,1457326.510000000009313,1358002.360000000102445,1448670.799999999580905,1476135.879999999888241,1444476.400000000139698,1405248.040000000037253,10038845.190000001341105
FS( 14 ),1464545.739999999757856,1470642.820000000065193,1362399.159999999916181,1451131.999999999767169,1496134.750000000000000,1470190.130000000121072,1419177.030000000027940,10134224.629999998956919
FS( 15 ),1470924.239999999757856,1470063.850000000093132,1348109.560000000055879,1441287.199999999720603,1483703.020000000018626,1458791.260000000009313,1411402.709999999962747,10084284.839999999850988
FS( 16 ),1467862.559999999823049,1466204.050000000046566,1353605.560000000055879,1436159.699999999720603,1462623.129999999888241,1454019.640000000130385,1410430.919999999925494,10050908.559999998658895
FS( 17 ),1457656.959999999962747,1467169.000000000000000,1344152.439999999944121,1439236.199999999720603,1451812.929999999934807,1437318.969999999972060,1407515.550000000046566,10004865.050000000745058
