代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11650757.810000000521541
真實報酬,1650757.810000000521541

夏普值報酬,0.156375781000000
夏普值風險,0.054768919172872
夏普值,2.855192020613345

二次趨勢線,16.283985186461702 x^2 + 13561.241287736364029 x + 10000000.000000000000000
二次加權預期報酬,16329.518769434856949
風險,125863.607605829995009
二次加權趨勢值,0.129739795958927
一次趨勢線,15118.373424154713575 x + 10000000.000000000000000
一次預期報酬,15118.373424154713575
一次風險,129309.393039666596451
一次趨勢值,0.116916281708298
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](15),BA[2](7),CAT[3](8),DD[7](12),MRK[17](2),MSFT[18](16),V[25](1),
Stock#,AAPL[0](15),BA[2](7),CAT[3](8),DD[7](12),MRK[17](2),MSFT[18](16),V[25](1),
張數,21897,13388,16918,28339,29406,45108,31894,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,10.720000000204891,71.399999999906868,15.080000000074506,2.010000000009313,27.520000000018626,0.639999999897555,38.739999999990687,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1446964.480000000214204,1444636.600000000093132,1426202.479999999981374,1461727.629999999888241,1427394.760000000009313,1438494.760000000009313,1467162.739999999990687,10112586.450000001117587
FS( 3 ),1468423.540000000270084,1439281.399999999906868,1413683.160000000149012,1472213.060000000055879,1427100.699999999953434,1429924.239999999757856,1471627.899999999906868,10122257.000000000000000
FS( 4 ),1455285.340000000083819,1433122.919999999925494,1396257.620000000111759,1455209.660000000149012,1424454.159999999916181,1424511.279999999795109,1458232.419999999925494,10047076.400000000372529
FS( 5 ),1454628.430000000400469,1424822.359999999869615,1394565.820000000298023,1464561.530000000027940,1427688.819999999832362,1446163.120000000111759,1446431.640000000130385,10058864.720000002533197
FS( 6 ),1442147.140000000130385,1417057.320000000065193,1420450.359999999869615,1489499.850000000093132,1425336.340000000083819,1483602.760000000009313,1441647.540000000037253,10119744.309999998658895
FS( 7 ),1421563.960000000195578,1410229.439999999944121,1429755.260000000242144,1535125.640000000130385,1422983.860000000102445,1475032.239999999990687,1433674.040000000037253,10128367.440000001341105
