代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10598300.349999999627471
真實報酬,598300.349999999627471

夏普值報酬,0.051130035000000
夏普值風險,0.018885815932297
夏普值,2.707324649530261

二次趨勢線,147.172178352256992 x^2 + 25868.171266363809991 x + 10000000.000000000000000
二次加權預期報酬,30283.336616931519529
風險,54369.148679789228481
二次加權趨勢值,0.556994864776848
一次趨勢線,28350.475341238485271 x + 10000000.000000000000000
一次預期報酬,28350.475341238485271
一次風險,55015.255360695075069
一次趨勢值,0.515320253543585
找到最佳解世代,2457
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](5),MSFT[18](2),VZ[26](1),
Stock#,JNJ[12](5),MSFT[18](2),VZ[26](1),
張數,59758,155763,121876,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.759999999776483,4.800000000279397,24.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3359028.939999999944121,3333333.000000000000000,3369895.799999999813735,10062258.739999998360872
FS( 3 ),3356041.039999999571592,3384734.790000000502914,3371114.560000000055879,10111891.390000000596046
FS( 4 ),3336918.479999999981374,3400311.089999999850988,3369895.799999999813735,10107126.370000001043081
FS( 5 ),3342296.699999999720603,3448597.620000000577420,3333333.000000000000000,10124228.320000000298023
FS( 6 ),3324369.299999999813735,3434578.950000000186265,3335770.520000000018626,10094719.769999999552965
FS( 7 ),3328552.359999999869615,3439251.839999999850988,3352833.160000000149012,10120638.359999999403954
FS( 8 ),3326162.039999999571592,3512460.450000000186265,3365020.759999999776483,10203644.250000000000000
FS( 9 ),3349467.659999999683350,3556074.089999999850988,3389395.959999999962747,10294938.710000000894070
FS( 10 ),3350065.239999999757856,3633955.589999999850988,3408896.119999999646097,10392917.949999999254942
FS( 11 ),3271782.259999999776483,3647974.260000000707805,3388177.200000000186265,10307934.720000000670552
FS( 12 ),3264013.719999999739230,3652647.150000000372529,3366239.520000000018626,10282901.390000000596046
FS( 13 ),3298673.359999999869615,3688472.640000000130385,3393052.239999999757856,10380199.240000000223517
FS( 14 ),3333930.579999999608845,3660435.300000000279397,3428396.279999999795109,10422763.160000000149012
FS( 15 ),3351857.979999999981374,3749220.210000000428408,3379645.879999999888241,10480725.070000000298023
FS( 16 ),3316003.179999999701977,3626167.440000000409782,3421083.719999999739230,10363255.339999999850988
FS( 17 ),3287319.339999999850988,3635513.220000000204891,3477146.680000000167638,10399980.240000000223517
FS( 18 ),3314210.439999999944121,3655762.410000000149012,3510053.200000000186265,10480027.050000000745058
FS( 19 ),3362614.419999999925494,3705606.570000000298023,3542959.719999999739230,10611181.710000000894070
FS( 20 ),3382334.560000000055879,3637070.850000000558794,3530772.119999999646097,10550178.529999999329448
FS( 21 ),3403847.439999999944121,3716509.979999999981374,3573428.719999999739230,10693787.140000000596046
FS( 22 ),3394286.159999999683350,3702491.310000000055879,3501521.879999999888241,10598300.349999999627471
