代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11082360.559999998658895
真實報酬,1082360.559999998658895

夏普值報酬,0.099536056000000
夏普值風險,0.028672678260165
夏普值,3.471460011403499

二次趨勢線,137.214524625858758 x^2 + 44430.741090739764331 x + 10000000.000000000000000
二次加權預期報酬,48364.224130014386901
風險,55269.012548174629046
二次加權趨勢值,0.875069444887553
一次趨勢線,46642.128662035604066 x + 10000000.000000000000000
一次預期報酬,46642.128662035604066
一次風險,55730.753489856884698
一次趨勢值,0.836919039153572
找到最佳解世代,2430
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),MRK[17](1),
Stock#,JNJ[12](2),MRK[17](1),
張數,80932,134480,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.040000000037253,33.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5045321.919999999925494,5037654.399999999441206,10082976.320000000298023
FS( 3 ),5034800.759999999776483,5043033.599999999627471,10077834.359999999403954
FS( 4 ),5082550.639999999664724,5096825.599999999627471,10179376.239999998360872
FS( 5 ),5082550.639999999664724,5154651.999999999068677,10237202.639999998733401
FS( 6 ),5097118.399999999441206,5172134.399999999441206,10269252.799999998882413
FS( 7 ),5027516.879999999888241,5173479.199999999254942,10200996.079999998211861
FS( 8 ),5105211.599999999627471,5224581.599999999627471,10329793.199999999254942
FS( 9 ),5216088.440000000409782,5164065.599999999627471,10380154.039999999105930
FS( 10 ),5297020.440000000409782,5216512.799999999813735,10513533.240000000223517
FS( 11 ),5342342.360000000335276,5236684.799999998882413,10579027.160000000149012
FS( 12 ),5365812.639999999664724,5224581.599999999627471,10590394.239999998360872
FS( 13 ),5399804.080000000074506,5275683.999999999068677,10675488.079999998211861
FS( 14 ),5422465.040000000037253,5272994.399999999441206,10695459.439999999478459
FS( 15 ),5373096.520000000484288,5305269.599999999627471,10678366.120000001043081
FS( 16 ),5392520.199999999254942,5403440.000000000000000,10795960.199999999254942
FS( 17 ),5381999.040000000037253,5349648.000000000000000,10731647.039999999105930
FS( 18 ),5375524.480000000447035,5388647.199999999254942,10764171.679999999701977
FS( 19 ),5409515.919999999925494,5450508.000000000000000,10860023.919999999925494
FS( 20 ),5417609.120000000111759,5470680.000000000000000,10888289.120000001043081
FS( 21 ),5467786.959999999962747,5614573.599999999627471,11082360.559999998658895
