代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10581999.539999999105930
真實報酬,581999.539999999105930

夏普值報酬,0.049499954000000
夏普值風險,0.025276766312635
夏普值,1.958318298620966

二次趨勢線,2821.088370806347484 x^2 + -22283.535227372798545 x + 10000000.000000000000000
二次加權預期報酬,54826.213574667366629
風險,103204.130979669585940
二次加權趨勢值,0.531240494486289
一次趨勢線,21064.895836236941250 x + 10000000.000000000000000
一次預期報酬,21064.895836236941250
一次風險,169028.051435783883790
一次趨勢值,0.124623668422515
找到最佳解世代,2805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UTX[24](6),
Stock#,BA[2](1),UTX[24](6),
張數,38476,43463,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.800000000745058,16.479999999515712,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4965371.600000001490116,4916551.040000000037253,9881922.640000000596046
FS( 3 ),4906888.080000001005828,4847010.239999999292195,9753898.320000000298023
FS( 4 ),4983070.560000000521541,4899600.469999999739230,9882671.030000001192093
FS( 5 ),5071180.600000001490116,4983049.429999999701977,10054230.030000001192093
FS( 6 ),5061176.840000000782311,4955667.739999999292195,10016844.580000000074506
FS( 7 ),5035397.920000000856817,4974356.830000000074506,10009754.750000000000000
FS( 8 ),5046940.720000000670552,4969575.899999999441206,10016516.620000001043081
FS( 9 ),5016544.680000000633299,4933936.239999999292195,9950480.919999999925494
FS( 10 ),5007310.440000000409782,4933936.239999999292195,9941246.679999999701977
FS( 11 ),5031935.080000001005828,5048243.929999999701977,10080179.010000001639128
FS( 12 ),5048864.520000000484288,5108222.869999999180436,10157087.390000000596046
FS( 13 ),5094650.960000000894070,5173417.369999999180436,10268068.330000000074506
FS( 14 ),5218928.440000000409782,5235134.830000000074506,10454063.269999999552965
FS( 15 ),5179682.920000000856817,5214707.219999999739230,10394390.140000000596046
FS( 16 ),5158521.120000000111759,5161247.729999999515712,10319768.849999999627471
FS( 17 ),5097344.280000000260770,5179067.559999999590218,10276411.839999999850988
FS( 18 ),5372832.440000000409782,5081710.439999999478459,10454542.879999998956919
FS( 19 ),5686027.080000001005828,5061282.830000000074506,10747309.910000000149012
FS( 20 ),5593299.920000000856817,4988699.619999999180436,10581999.539999999105930
