代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10374797.359999999403954
真實報酬,374797.359999999403954

夏普值報酬,0.028779736000000
夏普值風險,0.016853549928611
夏普值,1.707636439913597

二次趨勢線,2002.353758558987238 x^2 + -18256.166948589358071 x + 10000000.000000000000000
二次加權預期報酬,36474.835785356292035
風險,72679.479238354804693
二次加權趨勢值,0.501858793810779
一次趨勢線,12511.707878048739076 x + 10000000.000000000000000
一次預期報酬,12511.707878048739076
一次風險,119623.947144742720411
一次趨勢值,0.104591999985670
找到最佳解世代,2094
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](1),INTC[11](2),
Stock#,GS[8](1),INTC[11](2),
張數,25312,149611,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,120.639999999664724,0.379999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5044802.240000000223517,5001496.109999999403954,10046298.349999999627471
FS( 3 ),4993925.119999999180436,4883303.419999999925494,9877228.539999999105930
FS( 4 ),4967600.639999999664724,4820466.799999999813735,9788067.439999999478459
FS( 5 ),4996456.319999999366701,4823459.020000000484288,9819915.339999999850988
FS( 6 ),5075176.639999999664724,4907241.179999999701977,9982417.820000000298023
FS( 7 ),5106310.399999999441206,4890783.969999999739230,9997094.369999999180436
FS( 8 ),5075936.000000000000000,4824955.129999999888241,9900891.129999998956919
FS( 9 ),5098716.799999999813735,4883303.419999999925494,9982020.219999998807907
FS( 10 ),5128838.080000000074506,4932675.049999999813735,10061513.129999998956919
FS( 11 ),5137697.279999999329448,4935667.270000000484288,10073364.550000000745058
FS( 12 ),5180474.559999999590218,4998503.889999999664724,10178978.449999999254942
FS( 13 ),5199205.439999999478459,4959605.029999999329448,10158810.469999998807907
FS( 14 ),5191105.599999999627471,4992519.449999999254942,10183625.049999998882413
FS( 15 ),5187815.039999999105930,5019449.429999999701977,10207264.469999998807907
FS( 16 ),5259954.240000000223517,5004488.330000000074506,10264442.570000000298023
FS( 17 ),5224011.199999999254942,4952124.480000000447035,10176135.679999999701977
FS( 18 ),5291847.359999999403954,5043387.190000000409782,10335234.550000000745058
FS( 19 ),5277166.399999999441206,5088270.489999999292195,10365436.889999998733401
FS( 20 ),5219201.919999999925494,5155595.440000000409782,10374797.359999999403954
