代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10573351.980000000447035
真實報酬,573351.980000000447035

夏普值報酬,0.048635198000000
夏普值風險,0.017037679250380
夏普值,2.854567061938076

二次趨勢線,80.586188930768003 x^2 + 26825.699340819919598 x + 10000000.000000000000000
二次加權預期報酬,29028.388504927585018
風險,34011.276500968975597
二次加權趨勢值,0.853493061458619
一次趨勢線,28063.974926829276228 x + 10000000.000000000000000
一次預期報酬,28063.974926829276228
一次風險,34225.561697009827185
一次趨勢值,0.819971200919140
找到最佳解世代,2252
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),JNJ[12](6),MSFT[18](1),WMT[28](18),
Stock#,AAPL[0](7),JNJ[12](6),MSFT[18](1),WMT[28](18),
張數,26071,20611,48866,34335,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.810000000055879,91.810000000055879,15.439999999944121,68.649999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476536.100000000093132,2520198.779999999795109,2500488.660000000149012,2511330.549999999813735,10008554.089999999850988
FS( 3 ),2490614.439999999944121,2527824.850000000093132,2510750.520000000018626,2534678.349999999627471,10063868.160000000149012
FS( 4 ),2501303.549999999813735,2525145.420000000391155,2510750.520000000018626,2524721.199999999720603,10061920.689999999478459
FS( 5 ),2520596.090000000316650,2532153.160000000149012,2555707.239999999757856,2535365.049999999813735,10143821.539999999105930
FS( 6 ),2528417.390000000130385,2533802.040000000037253,2569878.379999999888241,2542918.750000000000000,10175016.559999998658895
FS( 7 ),2539888.629999999888241,2533595.930000000167638,2600175.299999999813735,2515794.099999999627471,10189453.960000000894070
FS( 8 ),2525549.580000000074506,2535244.810000000055879,2614835.099999999627471,2527811.350000000093132,10203440.839999999850988
FS( 9 ),2575605.900000000372529,2538954.790000000037253,2626074.280000000260770,2530558.149999999906868,10271193.120000001043081
FS( 10 ),2575345.189999999944121,2535244.810000000055879,2624119.640000000130385,2529528.100000000093132,10264237.740000000223517
FS( 11 ),2602719.740000000223517,2538130.350000000093132,2636824.799999999813735,2535365.049999999813735,10313039.939999999478459
FS( 12 ),2603762.580000000074506,2581619.560000000055879,2594311.379999999888241,2529184.750000000000000,10308878.269999999552965
FS( 13 ),2606108.969999999739230,2579352.350000000093132,2732113.500000000000000,2533648.300000000279397,10451223.120000001043081
FS( 14 ),2592291.340000000316650,2579558.459999999962747,2726738.239999999757856,2524377.849999999627471,10422965.890000000596046
FS( 15 ),2572216.669999999925494,2577085.140000000130385,2764365.060000000055879,2525407.899999999906868,10439074.770000001415610
FS( 16 ),2537802.950000000186265,2574199.600000000093132,2772183.619999999646097,2532274.899999999906868,10416461.070000000298023
FS( 17 ),2520335.379999999888241,2579558.459999999962747,2773649.599999999627471,2531588.200000000186265,10405131.640000000596046
FS( 18 ),2684061.260000000242144,2571726.279999999795109,2745795.979999999981374,2517510.849999999627471,10519094.369999999180436
FS( 19 ),2720299.950000000186265,2565336.870000000111759,2746773.299999999813735,2514764.049999999813735,10547174.169999999925494
FS( 20 ),2716910.719999999739230,2581207.340000000316650,2769740.319999999832362,2505493.600000000093132,10573351.980000000447035
