代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10344175.320000000298023
真實報酬,344175.320000000298023

夏普值報酬,0.025717532000000
夏普值風險,0.040045316800894
夏普值,0.642210726609251

二次趨勢線,10468.785777929906544 x^2 + -168300.689815088815521 x + 10000000.000000000000000
二次加權預期報酬,103887.740411088772817
風險,164047.400673335068859
二次加權趨勢值,0.633278796156964
一次趨勢線,-15295.359214574837097 x + 10000000.000000000000000
一次預期報酬,-15295.359214574837097
一次風險,478633.378489726223052
一次趨勢值,-7320869456.085919380187988
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
INTC[11](1),
Stock#,INTC[11](1),
張數,209863,
分配資金,10000000.000000000000000,
剩餘資金,28.050000000745058,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9685205.500000000000000,9685205.500000000000000
FS( 3 ),9343128.810000000521541,9343128.810000000521541
FS( 4 ),9424975.380000000819564,9424975.380000000819564
FS( 5 ),9485835.650000002235174,9485835.650000002235174
FS( 6 ),8971671.300000000745058,8971671.300000000745058
FS( 7 ),9223506.900000002235174,9223506.900000002235174
FS( 8 ),9408186.339999999850988,9408186.339999999850988
FS( 9 ),9330537.030000001192093,9330537.030000001192093
FS( 10 ),9523610.990000002086163,9523610.990000002086163
FS( 11 ),9636937.010000001639128,9636937.010000001639128
FS( 12 ),9561386.330000001937151,9561386.330000001937151
FS( 13 ),9720882.210000000894070,9720882.210000000894070
FS( 14 ),9641134.269999999552965,9641134.269999999552965
FS( 15 ),9611753.449999999254942,9611753.449999999254942
FS( 16 ),10016789.040000000968575,10016789.040000000968575
FS( 17 ),10306399.980000000447035,10306399.980000000447035
FS( 18 ),10474290.380000000819564,10474290.380000000819564
FS( 19 ),10344175.320000000298023,10344175.320000000298023
