代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11413696.070000000298023
真實報酬,1413696.070000000298023

夏普值報酬,0.132669607000000
夏普值風險,0.043987073665091
夏普值,3.016104413085547

二次趨勢線,1061.103172754438674 x^2 + 48576.295167215408583 x + 10000000.000000000000000
二次加權預期報酬,78994.586119509331184
風險,99579.188803937533521
二次加權趨勢值,0.793284089460124
一次趨勢線,65677.330021141635370 x + 10000000.000000000000000
一次預期報酬,65677.330021141635370
一次風險,113934.412281597789843
一次趨勢值,0.576448578668357
找到最佳解世代,2446
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](7),GS[8](8),IBM[10](2),PG[21](9),
Stock#,BA[2](7),GS[8](8),IBM[10](2),PG[21](9),
張數,7720,14532,21699,27388,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,186.799999999813735,60.040000000037253,58.209999999962747,23.359999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2400334.799999999813735,2463379.359999999869615,2450092.299999999813735,2482471.679999999701977,9796278.140000000596046
FS( 3 ),2525244.399999999906868,2543886.640000000130385,2545784.889999999664724,2533139.479999999515712,10148055.410000000149012
FS( 4 ),2533196.000000000000000,2557982.680000000167638,2563795.060000000055879,2523005.919999999925494,10177979.660000000149012
FS( 5 ),2629078.399999999441206,2548536.879999999888241,2600249.379999999888241,2532317.839999999850988,10310182.500000000000000
FS( 6 ),2654554.399999999906868,2564522.080000000074506,2618910.520000000018626,2490961.959999999962747,10328948.960000000894070
FS( 7 ),2722336.000000000000000,2557692.040000000037253,2642779.419999999925494,2496987.319999999832362,10419794.779999999329448
FS( 8 ),2724574.799999999813735,2571206.800000000279397,2635618.750000000000000,2513420.119999999646097,10444820.469999998807907
FS( 9 ),2704966.000000000000000,2597219.080000000074506,2612400.819999999832362,2496439.560000000055879,10411025.460000000894070
FS( 10 ),2719479.600000000093132,2614512.160000000149012,2641477.479999999981374,2519993.240000000223517,10495462.480000000447035
FS( 11 ),2718090.000000000000000,2864026.600000000093132,2639090.589999999850988,2502464.919999999925494,10723672.109999999403954
FS( 12 ),2772361.599999999627471,2893235.919999999925494,2651459.020000000018626,2482471.679999999701977,10799528.219999998807907
FS( 13 ),2815902.399999999906868,2943371.319999999832362,2686828.389999999664724,2503834.319999999832362,10949936.429999999701977
FS( 14 ),2763174.799999999813735,2872745.800000000279397,2658619.689999999944121,2476994.079999999608845,10771534.369999999180436
FS( 15 ),2768656.000000000000000,2861410.840000000316650,2883638.319999999832362,2597501.279999999795109,11111206.439999999478459
FS( 16 ),2766031.199999999720603,2874489.640000000130385,2875826.680000000167638,2582711.759999999776483,11099059.279999999329448
FS( 17 ),2811810.799999999813735,2917213.720000000204891,2907073.239999999757856,2563540.159999999683350,11199637.919999999925494
FS( 18 ),2802315.200000000186265,2902391.080000000074506,2913582.940000000409782,2561349.119999999646097,11179638.339999999850988
FS( 19 ),2817292.000000000000000,2913726.040000000037253,2914884.880000000353903,2561896.879999999888241,11207799.800000000745058
FS( 20 ),2993385.200000000186265,2942499.399999999906868,2915969.830000000074506,2588737.119999999646097,11440591.549999998882413
FS( 21 ),2977173.199999999720603,2877541.359999999869615,2916837.789999999571592,2642143.719999999739230,11413696.070000000298023
