代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11246880.519999999552965
真實報酬,1246880.519999999552965

夏普值報酬,0.115988052000000
夏普值風險,0.037876827763242
夏普值,3.062243034844684

二次趨勢線,445.721867678178171 x^2 + -9316.661779413181648 x + 10000000.000000000000000
二次加權預期報酬,28421.123017339239595
風險,81723.893475753371604
二次加權趨勢值,0.347770056082454
一次趨勢線,11909.526060883006721 x + 10000000.000000000000000
一次預期報酬,11909.526060883006721
一次風險,217612.273955040174769
一次趨勢值,0.054728190852615
找到最佳解世代,2372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](6),VZ[26](2),WMT[28](1),
Stock#,MRK[17](6),VZ[26](2),WMT[28](1),
張數,86557,86535,54324,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.930000000167638,4.799999999813735,12.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3351509.970000000204891,3328140.899999999906868,3294762.959999999962747,9974414.830000000074506
FS( 3 ),3367955.799999999813735,3322083.449999999720603,3273576.599999999627471,9963616.849999999627471
FS( 4 ),3365359.090000000316650,3258912.899999999441206,3295849.439999999944121,9920122.429999999701977
FS( 5 ),3352375.540000000037253,3241605.899999999906868,3266514.479999999981374,9860496.919999999925494
FS( 6 ),3328139.580000000540167,3184492.799999999348074,3255649.679999999701977,9768283.059999998658895
FS( 7 ),3330736.290000000037253,3234683.100000000093132,3248587.559999999590218,9814007.949999999254942
FS( 8 ),3312559.320000000298023,3249394.049999999348074,3267057.719999999739230,9829012.089999999850988
FS( 9 ),3270146.390000000130385,3224298.899999999441206,3246957.839999999850988,9741404.129999998956919
FS( 10 ),3284861.080000000540167,3239009.849999999627471,3290960.279999999795109,9814832.209999999031425
FS( 11 ),3333333.000000000000000,3265835.700000000186265,3361038.239999999757856,9960207.939999999478459
FS( 12 ),3323811.729999999981374,3258912.899999999441206,3371359.799999999813735,9954085.429999999701977
FS( 13 ),3320349.450000000186265,3301315.049999999813735,3354519.359999999869615,9976184.859999999403954
FS( 14 ),3352375.540000000037253,3351505.349999999627471,3392546.160000000149012,10096428.050000000745058
FS( 15 ),3312559.320000000298023,3337659.750000000000000,3234463.319999999832362,9884683.390000000596046
FS( 16 ),3312559.320000000298023,3418137.299999999813735,3138309.839999999850988,9869007.460000000894070
FS( 17 ),3326408.439999999944121,3416406.599999999627471,3116037.000000000000000,9858853.039999999105930
FS( 18 ),3329870.720000000204891,3473519.699999999720603,3202412.160000000149012,10005803.580000000074506
FS( 19 ),3329005.150000000372529,3481307.849999999627471,3206758.080000000074506,10017072.080000000074506
FS( 20 ),3396519.610000000335276,3494288.100000000093132,3200239.199999999720603,10091047.910000000149012
FS( 21 ),3407772.020000000018626,3509864.399999999906868,3208931.040000000037253,10126568.460000000894070
FS( 22 ),3400847.459999999962747,3513325.799999999813735,3205671.599999999627471,10119845.859999999403954
FS( 23 ),3390460.620000000111759,3516787.199999999720603,3204585.120000000111759,10111833.940000001341105
FS( 24 ),3361896.810000000521541,3483903.899999999441206,3188831.160000000149012,10034632.870000001043081
FS( 25 ),3335929.709999999962747,3507268.350000000093132,3215449.919999999925494,10058648.980000000447035
FS( 26 ),3343719.840000000316650,3508999.049999999348074,3207844.559999999590218,10060564.449999999254942
FS( 27 ),3296979.060000000521541,3483038.549999999813735,3206758.080000000074506,9986776.690000001341105
FS( 28 ),3322946.160000000149012,3508999.049999999348074,3215449.919999999925494,10047396.129999998956919
FS( 29 ),3291785.640000000130385,3561785.399999999441206,3227944.439999999944121,10081516.479999998584390
FS( 30 ),3308231.470000000204891,3538420.949999999720603,3208931.040000000037253,10055584.460000000894070
FS( 31 ),3266684.110000000335276,3552266.549999999348074,3224141.759999999776483,10043093.419999999925494
FS( 32 ),3309097.040000000037253,3537555.600000000093132,3215449.919999999925494,10062103.560000000521541
FS( 33 ),3291785.640000000130385,3579957.749999999534339,3350716.679999999701977,10222461.070000000298023
FS( 34 ),3273608.670000000391155,3593803.350000000093132,3391459.679999999701977,10258872.699999999254942
FS( 35 ),3254566.130000000353903,3577361.700000000186265,3424597.319999999832362,10256526.150000000372529
FS( 36 ),3242448.150000000372529,3581688.449999999720603,3462080.879999999888241,10286218.480000000447035
FS( 37 ),3242448.150000000372529,3581688.449999999720603,3462080.879999999888241,10286218.480000000447035
FS( 38 ),3254566.130000000353903,3581688.449999999720603,3534875.039999999571592,10371130.619999999180436
FS( 39 ),3250238.279999999795109,3586880.550000000279397,3547912.799999999813735,10385032.629999998956919
FS( 40 ),3253700.560000000521541,3612841.049999999813735,3568012.680000000167638,10434555.290000000968575
FS( 41 ),3237254.729999999981374,3584284.500000000000000,3554974.919999999925494,10376515.150000000372529
FS( 42 ),3252834.990000000223517,3603322.199999999720603,3575618.039999999571592,10431776.229999998584390
FS( 43 ),3218212.189999999944121,3550535.850000000093132,3560950.559999999590218,10329699.599999999627471
FS( 44 ),3242448.150000000372529,3577361.700000000186265,3584853.119999999646097,10404663.970000000670552
FS( 45 ),3245910.430000000167638,3565246.800000000279397,3558234.359999999869615,10369392.589999999850988
FS( 46 ),3280533.229999999981374,3614571.750000000000000,3581593.680000000167638,10476699.660000000149012
FS( 47 ),3317752.740000000223517,3603322.199999999720603,3578334.240000000223517,10499410.179999999701977
FS( 48 ),3329005.150000000372529,3672550.199999999720603,3705995.639999999664724,10707551.989999998360872
FS( 49 ),3329870.720000000204891,3682934.399999999906868,3668512.080000000074506,10681318.199999999254942
FS( 50 ),3362762.380000000353903,3715817.699999999720603,3678833.639999999664724,10757414.719999998807907
FS( 51 ),3323811.729999999981374,3720144.450000000186265,3643523.039999999571592,10687480.219999998807907
FS( 52 ),3357568.959999999962747,3785911.049999999813735,3673944.479999999515712,10817425.489999998360872
FS( 53 ),3370552.509999999776483,3768604.049999999348074,3680463.359999999869615,10819620.919999998062849
FS( 54 ),3362762.380000000353903,3791968.500000000000000,3700563.240000000223517,10855295.120000001043081
FS( 55 ),3395654.040000000037253,3784180.349999999627471,3683722.799999999813735,10863558.189999999478459
FS( 56 ),3393922.900000000372529,3746970.299999999348074,3722292.839999999850988,10863187.039999999105930
FS( 57 ),3414696.580000000540167,3749566.349999999627471,3677747.160000000149012,10842011.089999999850988
FS( 58 ),3477883.189999999944121,3803218.050000000279397,3656017.559999999590218,10937119.800000000745058
FS( 59 ),3443260.390000000130385,3777257.549999999813735,3703822.680000000167638,10924341.619999999180436
FS( 60 ),3468361.920000000391155,3793699.200000000186265,3725552.279999999795109,10987614.400000000372529
FS( 61 ),3508178.140000000130385,3788507.100000000093132,3726095.520000000018626,11022781.759999999776483
FS( 62 ),3521161.689999999944121,3804948.749999999534339,3710341.559999999590218,11036453.000000000000000
FS( 63 ),3613777.680000000167638,3845620.199999999720603,3787481.639999999664724,11246880.519999999552965
