代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11345980.199999999254942
真實報酬,1345980.199999999254942

夏普值報酬,0.125898020000000
夏普值風險,0.036633478058725
夏普值,3.436693065238813

二次趨勢線,144.326267506178112 x^2 + 10641.112588453377612 x + 10000000.000000000000000
二次加權預期報酬,23053.171593984705396
風險,112424.531682679051301
二次加權趨勢值,0.205054637532784
一次趨勢線,17622.476225961527234 x + 10000000.000000000000000
一次預期報酬,17622.476225961527234
一次風險,131067.580111843999475
一次趨勢值,0.134453357656590
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),HD[9](1),INTC[11](4),PG[21](6),
Stock#,DIS[6](2),HD[9](1),INTC[11](4),PG[21](6),
張數,29666,30925,91709,31110,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.180000000167638,23.000000000000000,12.659999999683350,0.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488430.260000000242144,2494742.750000000000000,2536683.599999999627471,2486622.700000000186265,10006479.309999998658895
FS( 3 ),2499110.020000000018626,2490722.500000000000000,2531181.059999999590218,2484445.000000000000000,10005458.579999998211861
FS( 4 ),2515129.660000000149012,2485774.500000000000000,2536683.599999999627471,2492222.500000000000000,10029810.259999999776483
FS( 5 ),2510086.439999999944121,2493815.000000000000000,2583455.189999999944121,2489733.699999999720603,10077090.329999998211861
FS( 6 ),2535895.860000000335276,2492887.250000000000000,2559610.849999999627471,2491600.299999999813735,10079994.259999999776483
FS( 7 ),2514239.680000000167638,2496907.500000000000000,2589874.819999999366701,2493466.899999999906868,10094488.899999998509884
FS( 8 ),2501186.640000000130385,2468147.250000000000000,2561445.029999999795109,2490667.000000000000000,10021445.919999999925494
FS( 9 ),2456390.979999999981374,2425470.750000000000000,2564196.299999999813735,2481334.000000000000000,9927392.030000001192093
FS( 10 ),2456390.979999999981374,2414337.750000000000000,2739360.489999999757856,2477600.799999999813735,10087690.019999999552965
FS( 11 ),2471223.979999999981374,2440005.500000000000000,2752199.750000000000000,2479156.299999999813735,10142585.530000001192093
FS( 12 ),2467070.740000000223517,2474641.500000000000000,2746697.209999999497086,2475734.199999999720603,10164143.649999998509884
FS( 13 ),2479530.459999999962747,2495979.750000000000000,2744863.029999999795109,2482267.300000000279397,10202640.540000000968575
FS( 14 ),2485167.000000000000000,2487630.000000000000000,2759536.469999999739230,2496266.799999999813735,10228600.269999999552965
FS( 15 ),2456984.299999999813735,2479280.250000000000000,2769624.459999999497086,2486622.700000000186265,10192511.710000000894070
FS( 16 ),2455204.340000000316650,2493815.000000000000000,2772375.729999999515712,2473867.599999999627471,10195262.669999998062849
FS( 17 ),2452831.060000000521541,2487320.750000000000000,2797137.159999999683350,2458001.500000000000000,10195290.470000000670552
FS( 18 ),2489023.580000000540167,2490413.250000000000000,2831986.579999999608845,2467645.599999999627471,10279069.009999999776483
FS( 19 ),2505339.880000000353903,2497216.750000000000000,2822815.679999999701977,2445868.600000000093132,10271240.910000000149012
FS( 20 ),2530555.979999999981374,2508968.250000000000000,2836572.029999999795109,2458312.599999999627471,10334408.859999999403954
FS( 21 ),2543609.020000000018626,2503711.000000000000000,2833820.759999999776483,2444935.299999999813735,10326076.079999998211861
FS( 22 ),2565265.200000000186265,2530306.500000000000000,2841157.479999999515712,2466401.199999999720603,10403130.379999998956919
FS( 23 ),2564375.220000000204891,2535254.500000000000000,2841157.479999999515712,2475112.000000000000000,10415899.199999999254942
FS( 24 ),2576241.620000000111759,2537419.250000000000000,2855830.919999999925494,2488178.200000000186265,10457669.990000000223517
FS( 25 ),2568825.120000000111759,2517936.500000000000000,2845742.929999999701977,2494711.299999999813735,10427215.849999999627471
FS( 26 ),2547168.939999999944121,2497526.000000000000000,2823732.769999999552965,2506222.000000000000000,10374649.709999999031425
FS( 27 ),2587514.700000000186265,2496598.250000000000000,2832903.669999999925494,2540754.100000000093132,10457770.720000000670552
FS( 28 ),2576834.939999999944121,2455468.000000000000000,2866836.000000000000000,2538887.500000000000000,10438026.439999999478459
FS( 29 ),2577724.920000000391155,2461962.250000000000000,2865918.909999999683350,2524888.000000000000000,10430494.080000000074506
FS( 30 ),2573868.340000000316650,2457323.500000000000000,2887929.069999999366701,2529865.599999999627471,10448986.509999997913837
FS( 31 ),2555772.080000000540167,2469693.500000000000000,2908105.049999999813735,2527999.000000000000000,10461569.629999998956919
FS( 32 ),2532039.279999999795109,2463508.500000000000000,3177729.509999999776483,2518043.799999999813735,10691321.089999999850988
FS( 33 ),2522546.160000000149012,2460106.750000000000000,3090605.959999999962747,2501244.399999999906868,10574503.269999999552965
FS( 34 ),2545685.640000000130385,2476497.000000000000000,3090605.959999999962747,2505910.899999999906868,10618699.500000000000000
FS( 35 ),2543609.020000000018626,2465054.750000000000000,3123621.199999999720603,2497511.199999999720603,10629796.169999998062849
FS( 36 ),2557552.040000000037253,2490722.500000000000000,3190568.769999999552965,2491911.399999999906868,10730754.709999999031425
FS( 37 ),2552508.820000000298023,2505566.500000000000000,3163973.159999999683350,2488489.299999999813735,10710537.780000001192093
