代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11433150.390000000596046
真實報酬,1433150.390000000596046

夏普值報酬,0.134615039000000
夏普值風險,0.041770113452676
夏普值,3.222759716765274

二次趨勢線,452.555861485831770 x^2 + -7999.173619098382005 x + 10000000.000000000000000
二次加權預期報酬,31524.038283997586404
風險,49819.959019795576751
二次加權趨勢值,0.632759217474903
一次趨勢線,14231.337592056803260 x + 10000000.000000000000000
一次預期報酬,14231.337592056803260
一次風險,223479.296888876764569
一次趨勢值,0.063680787393622
找到最佳解世代,3335
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
Stock#,AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
張數,23463,17683,13764,55020,12983,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.880000000121072,52.700000000186265,90.799999999813735,23.000000000000000,98.680000000167638,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2001407.780000000027940,1999823.170000000158325,1988300.599999999627471,2015955.800000000046566,2033106.650000000139698,10038594.000000000000000
FS( 3 ),2007038.900000000372529,2008134.180000000167638,1995044.959999999729916,2007702.800000000046566,2008828.440000000176951,10026749.279999999329448
FS( 4 ),2017127.989999999990687,2022103.750000000000000,1998073.039999999804422,1997248.999999999767169,1997143.739999999990687,10031697.519999999552965
FS( 5 ),2014312.429999999934807,2028469.630000000121072,1974811.879999999888241,2004401.600000000093132,2012074.190000000176951,10034069.729999998584390
FS( 6 ),2016424.100000000093132,2023164.730000000214204,1956092.840000000083819,2003301.199999999720603,2011425.040000000037253,10010407.910000000149012
FS( 7 ),2010558.350000000093132,2021926.920000000158325,1951413.079999999841675,2013204.800000000279397,2011425.040000000037253,10008528.190000001341105
FS( 8 ),1984045.160000000149012,2000884.150000000372529,1952376.559999999823049,1988445.800000000046566,2033496.140000000130385,9959247.810000000521541
FS( 9 ),1977710.150000000372529,1995579.250000000000000,1952376.559999999823049,1973590.399999999906868,2042324.580000000307336,9941580.939999999478459
FS( 10 ),2005396.489999999990687,2010786.630000000121072,1958983.279999999795109,1999449.800000000279397,2041805.260000000009313,10016421.460000000894070
FS( 11 ),2036367.650000000372529,2009725.650000000372529,1955542.279999999795109,1980743.000000000000000,2046479.140000000130385,10028857.720000000670552
FS( 12 ),2050445.450000000186265,2018036.660000000381842,1961460.799999999813735,1970289.200000000186265,2063097.380000000353903,10063329.490000000223517
FS( 13 ),2019943.550000000279397,2000707.320000000298023,1936685.599999999627471,1935076.400000000139698,2049984.550000000046566,9942397.420000001788139
FS( 14 ),2003284.820000000065193,2014500.060000000288710,1922921.599999999627471,1926273.199999999953434,2048296.760000000009313,9915276.440000001341105
FS( 15 ),2001407.780000000027940,2008841.500000000000000,1931592.919999999925494,1921321.400000000139698,2056086.560000000288710,9919250.160000000149012
FS( 16 ),2001407.780000000027940,2048097.760000000009313,1940952.439999999711290,1906466.000000000000000,2072704.800000000046566,9969628.779999999329448
FS( 17 ),2000938.520000000251457,2029176.950000000186265,1956505.759999999543652,1907016.199999999720603,2061928.910000000149012,9955566.339999999850988
