代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10916444.219999998807907
真實報酬,916444.219999998807907

夏普值報酬,0.082944422000000
夏普值風險,0.055817674795581
夏普值,1.485988484897738

二次趨勢線,1352.550923007389201 x^2 + -58621.775236431421945 x + 10000000.000000000000000
二次加權預期報酬,48680.597988821449690
風險,201190.951667849207297
二次加權趨勢值,0.241962163731843
一次趨勢線,1731.547462469737638 x + 10000000.000000000000000
一次預期報酬,1731.547462469737638
一次風險,573883.666655316599645
一次趨勢值,0.003017244718884
找到最佳解世代,2096
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),CSCO[4](1),MRK[17](6),PG[21](4),
Stock#,BA[2](2),CSCO[4](1),MRK[17](6),PG[21](4),
張數,6945,51292,31557,26789,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,77.800000000279397,27.919999999925494,54.459999999962747,50.520000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2378740.300000000279397,2428704.120000000111759,2468127.429999999701977,2499732.109999999869615,9775303.959999999031425
FS( 3 ),2305123.300000000279397,2482047.799999999813735,2473176.550000000279397,2506161.469999999739230,9766509.120000001043081
FS( 4 ),2244840.700000000651926,2382028.399999999906868,2421107.500000000000000,2476693.570000000298023,9524670.170000001788139
FS( 5 ),2266578.550000000279397,2403571.040000000037253,2443197.399999999906868,2492231.189999999944121,9605578.179999999701977
FS( 6 ),2236576.149999999906868,2415368.200000000186265,2433414.729999999981374,2515805.509999999776483,9601164.589999999850988
FS( 7 ),2268939.850000000093132,2432294.560000000055879,2461816.030000000260770,2519020.189999999944121,9682070.630000000819564
FS( 8 ),2260466.950000000651926,2434859.159999999683350,2493373.030000000260770,2584921.129999999888241,9773620.269999999552965
FS( 9 ),2213796.550000000279397,2350227.359999999869615,2413533.820000000298023,2588939.479999999981374,9566497.210000000894070
FS( 10 ),2195600.650000000372529,2267134.320000000298023,2374087.570000000298023,2485266.049999999813735,9322088.589999999850988
FS( 11 ),2278454.500000000465661,2259953.439999999944121,2345686.270000000018626,2477765.129999999888241,9361859.339999999850988
FS( 12 ),2219352.550000000279397,2212764.799999999813735,2328014.349999999627471,2458209.160000000149012,9218340.859999999403954
FS( 13 ),2174210.050000000279397,2179425.000000000000000,2319178.389999999664724,2437313.740000000223517,9110127.179999999701977
FS( 14 ),2115177.550000000279397,2146598.120000000111759,2300559.760000000242144,2437045.850000000093132,8999381.279999999329448
