代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13220018.109999999403954
真實報酬,3220018.109999999403954

夏普值報酬,0.313301811000000
夏普值風險,0.091207007473677
夏普值,3.435062937356215

二次趨勢線,9.168614775456373 x^2 + 12288.434945887176582 x + 10000000.000000000000000
二次加權預期報酬,15350.752280889606482
風險,190970.843982084945310
二次加權趨勢值,0.080382701153741
一次趨勢線,14010.981584090461183 x + 10000000.000000000000000
一次預期報酬,14010.981584090461183
一次風險,201533.123047360306373
一次趨勢值,0.069521979177576
找到最佳解世代,2539
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),TRV[22](1),V[25](2),WMT[28](9),
Stock#,HD[9](3),TRV[22](1),V[25](2),WMT[28](9),
張數,59326,42380,97087,41438,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.359999999869615,3.799999999813735,9.750000000000000,45.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2535595.600000000093132,2489828.799999999813735,2455339.979999999981374,2474308.439999999944121,9955072.820000000298023
FS( 3 ),2556359.700000000186265,2514409.199999999720603,2473786.510000000242144,2462291.419999999925494,10006846.830000000074506
FS( 4 ),2562885.560000000055879,2515256.799999999813735,2444660.410000000149012,2444887.459999999962747,9967690.230000000447035
FS( 5 ),2564665.339999999850988,2529665.999999999534339,2425243.010000000242144,2452346.299999999813735,9971920.649999998509884
FS( 6 ),2582463.140000000130385,2547041.799999999813735,2422330.399999999906868,2446544.979999999981374,9998380.320000000298023
FS( 7 ),2578310.319999999832362,2538565.799999999813735,2405825.610000000335276,2461462.659999999683350,9984164.389999998733401
FS( 8 ),2574157.500000000000000,2534327.799999999813735,2460194.330000000074506,2465606.459999999962747,10034286.089999999850988
FS( 9 ),2581276.619999999646097,2516104.399999999906868,2445631.280000000260770,2467263.979999999981374,10010276.279999999329448
FS( 10 ),2594921.600000000093132,2529665.999999999534339,2488349.560000000055879,2480109.760000000242144,10093046.919999999925494
FS( 11 ),2662553.240000000223517,2538142.000000000000000,2519417.399999999906868,2486739.839999999850988,10206852.480000000447035
FS( 12 ),2693996.019999999552965,2555517.799999999813735,2484466.080000000074506,2511602.640000000130385,10245582.539999999105930
FS( 13 ),2640602.619999999646097,2610188.000000000000000,2441747.799999999813735,2528177.839999999850988,10220716.259999997913837
FS( 14 ),2662553.240000000223517,2555094.000000000000000,2417476.049999999813735,2524034.040000000037253,10159157.330000000074506
FS( 15 ),2667299.319999999832362,2458043.799999999813735,2451456.500000000000000,2543924.279999999795109,10120723.899999998509884
FS( 16 ),2685097.119999999646097,2506780.799999999813735,2440776.930000000167638,2547239.319999999832362,10179894.169999999925494
FS( 17 ),2666706.060000000055879,2487709.799999999813735,2448543.889999999664724,2526520.319999999832362,10129480.069999998435378
FS( 18 ),2661959.979999999515712,2460162.799999999813735,2452427.370000000111759,2515746.439999999944121,10090296.589999999850988
FS( 19 ),2656027.379999999888241,2462705.599999999627471,2424272.139999999664724,2540194.859999999869615,10083199.979999998584390
FS( 20 ),2633483.500000000000000,2470757.799999999813735,2442718.669999999925494,2542681.140000000130385,10089641.109999999403954
FS( 21 ),2638229.579999999608845,2511866.399999999906868,2488349.560000000055879,2576660.299999999813735,10215105.839999999850988
FS( 22 ),2637636.319999999832362,2516952.000000000000000,2574756.989999999757856,2566715.179999999701977,10296060.490000000223517
FS( 23 ),2679757.779999999795109,2547889.399999999906868,2598057.870000000111759,2570444.600000000093132,10396149.650000000372529
FS( 24 ),2681537.560000000055879,2514409.199999999720603,2605824.830000000074506,2564228.899999999906868,10366000.490000000223517
FS( 25 ),2696962.319999999832362,2531785.000000000000000,2597087.000000000000000,2556355.679999999701977,10382190.000000000000000
FS( 26 ),2679757.779999999795109,2536446.799999999813735,2630096.580000000074506,2553455.020000000018626,10399756.179999999701977
FS( 27 ),2685690.379999999888241,2538142.000000000000000,2729125.319999999832362,2567543.939999999944121,10520501.639999998733401
FS( 28 ),2689249.939999999944121,2516528.199999999720603,2765047.510000000242144,2565057.659999999683350,10535883.310000000521541
FS( 29 ),2724845.540000000037253,2500000.000000000000000,2735921.410000000149012,2560499.479999999981374,10521266.429999999701977
FS( 30 ),2732557.919999999925494,2507204.599999999627471,2797086.219999999739230,2578317.819999999832362,10615166.559999998658895
