代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13529400.620000001043081
真實報酬,3529400.620000001043081

夏普值報酬,0.344240062000000
夏普值風險,0.115747529653300
夏普值,2.974059688626666

二次趨勢線,68.215855438216551 x^2 + 448.128222008618081 x + 10000000.000000000000000
二次加權預期報酬,23141.269464455330308
風險,231134.148877280094894
二次加權趨勢值,0.100120512597825
一次趨勢線,13212.968906464491738 x + 10000000.000000000000000
一次預期報酬,13212.968906464491738
一次風險,528462.587382917176001
一次趨勢值,0.025002657183167
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
BA[2](1),UNH[23](2),UTX[24](6),
Stock#,BA[2](1),UNH[23](2),UTX[24](6),
張數,47034,61094,42544,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.419999999925494,44.359999999869615,10.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3382718.700000000186265,3316226.680000000167638,3319718.919999999925494,10018665.300000000745058
FS( 3 ),3425049.299999999813735,3353494.020000000018626,3378004.200000000186265,10156548.519999999552965
FS( 4 ),3428341.680000000167638,3352883.080000000074506,3378429.640000000130385,10159655.400000000372529
FS( 5 ),3343210.139999999664724,3283235.919999999925494,3344394.439999999944121,9970841.500000000000000
FS( 6 ),3352146.599999999627471,3225807.559999999590218,3350776.040000000502914,9928731.199999999254942
FS( 7 ),3337566.059999999590218,3227029.439999999944121,3353754.120000000111759,9918350.620000001043081
FS( 8 ),3366727.139999999664724,3292400.020000000018626,3426078.919999999925494,10085207.080000000074506
FS( 9 ),3352616.939999999944121,3314393.859999999869615,3507763.400000000372529,10174775.199999999254942
FS( 10 ),3288650.700000000186265,3328445.479999999515712,3495000.200000000186265,10112097.379999998956919
FS( 11 ),3313578.720000000204891,3368156.580000000074506,3466495.720000000204891,10148232.020000001415610
FS( 12 ),3287710.020000000018626,3357159.660000000149012,3476706.280000000260770,10121576.960000000894070
