代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14382955.540000000968575
真實報酬,4382955.540000000968575

夏普值報酬,0.429595554000000
夏普值風險,0.136713516127650
夏普值,3.142304917378361

二次趨勢線,91.335942336900402 x^2 + -3336.474143683672537 x + 10000000.000000000000000
二次加權預期報酬,27413.293109739464853
風險,254337.959050158038735
二次加權趨勢值,0.107782940510006
一次趨勢線,13960.202112647284594 x + 10000000.000000000000000
一次預期報酬,13960.202112647284594
一次風險,699564.924019008991309
一次趨勢值,0.019955548989572
找到最佳解世代,1611
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),UNH[23](1),
Stock#,HD[9](2),UNH[23](1),
張數,62988,61094,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.560000000521541,67.040000000037253,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5035903.160000001080334,4985948.379999999888241,10021851.540000000968575
FS( 3 ),5001259.760000000707805,5025048.540000000037253,10026308.300000000745058
FS( 4 ),4958427.920000000856817,4981060.860000000335276,9939488.780000001192093
FS( 5 ),4858277.000000000000000,4953568.559999999590218,9811845.559999998658895
FS( 6 ),4857017.240000000223517,4927909.080000000074506,9784926.320000000298023
FS( 7 ),4897959.440000000409782,4972507.700000000186265,9870467.140000000596046
FS( 8 ),4836231.200000000186265,4886976.099999999627471,9723207.300000000745058
FS( 9 ),4768204.160000001080334,4823438.339999999850988,9591642.500000000000000
FS( 10 ),4785210.920000000856817,4837489.960000000894070,9622700.880000002682209
FS( 11 ),4780171.880000000819564,4857650.980000000447035,9637822.860000001266599
FS( 12 ),4823633.600000000558794,4777006.899999999441206,9600640.500000000000000
FS( 13 ),4855757.480000000447035,4629770.360000000335276,9485527.839999999850988
FS( 14 ),4910557.040000000037253,4579062.339999999850988,9489619.379999998956919
FS( 15 ),5018266.520000000484288,4628548.480000000447035,9646815.000000000000000
FS( 16 ),4945830.320000000298023,4602278.059999999590218,9548108.379999998956919
FS( 17 ),5024565.320000000298023,4679256.500000000000000,9703821.820000000298023
FS( 18 ),5000000.000000000000000,4622439.080000000074506,9622439.080000000074506
FS( 19 ),5049760.520000000484288,4627326.599999999627471,9677087.120000001043081
FS( 20 ),5008818.320000000298023,4594335.839999999850988,9603154.160000000149012
FS( 21 ),5008188.440000000409782,4584560.800000000745058,9592749.240000002086163
FS( 22 ),4996850.600000000558794,4579062.339999999850988,9575912.940000001341105
FS( 23 ),5001259.760000000707805,4583949.860000000335276,9585209.620000001043081
FS( 24 ),4956538.280000000260770,4596168.660000000149012,9552706.940000001341105
FS( 25 ),4876543.520000000484288,4598001.480000000447035,9474545.000000000000000
FS( 26 ),4855127.600000000558794,4759900.580000000074506,9615028.179999999701977
