代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13646520.800000000745058
真實報酬,3646520.800000000745058

夏普值報酬,0.355952080000000
夏普值風險,0.091572563386569
夏普值,3.887104028063139

二次趨勢線,32.133300273803584 x^2 + 6601.343161718339616 x + 10000000.000000000000000
二次加權預期報酬,17376.709853533804562
風險,227160.001765305816662
二次加權趨勢值,0.076495464511780
一次趨勢線,12662.462969626745689 x + 10000000.000000000000000
一次預期報酬,12662.462969626745689
一次風險,321467.277681059087627
一次趨勢值,0.039389585966475
找到最佳解世代,2308
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](6),PG[21](1),V[25](2),
Stock#,MCD[15](6),PG[21](1),V[25](2),
張數,21242,41330,24110,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.360000000335276,68.499999999534339,125.500000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3301257.580000000074506,3389128.499999999534339,3349486.699999999720603,10039873.779999999329448
FS( 3 ),3318251.180000000633299,3402767.399999999441206,3371185.699999999720603,10092205.279999999329448
FS( 4 ),3329084.600000000093132,3410620.099999999161810,3368533.600000000093132,10108239.299999998882413
FS( 5 ),3314640.040000000037253,3415579.699999999720603,3382276.299999999813735,10112497.039999999105930
FS( 6 ),3375817.000000000000000,3403593.999999999068677,3391920.300000000279397,10171332.299999998882413
FS( 7 ),3383888.960000000428408,3364330.500000000000000,3375766.599999999627471,10123987.060000000521541
FS( 8 ),3370718.920000000391155,3365570.399999999906868,3369015.799999999813735,10105306.120000001043081
FS( 9 ),3359248.240000000223517,3369290.099999999161810,3380588.600000000093132,10109127.939999999478459
FS( 10 ),3411503.560000000055879,3360610.799999999813735,3393849.099999999627471,10165964.459999999031425
FS( 11 ),3396209.320000000298023,3401527.499999999534339,3373596.699999999720603,10171334.519999999552965
FS( 12 ),3435507.020000000018626,3458976.199999999254942,3391197.000000000000000,10285681.219999998807907
FS( 13 ),3423186.660000000614673,3458976.199999999254942,3407591.800000000279397,10289755.660000000149012
FS( 14 ),3434444.920000000391155,3456909.699999999720603,3398188.899999999906868,10289544.519999999552965
FS( 15 ),3420850.040000000037253,3467655.500000000000000,3376489.899999999906868,10264996.439999999478459
FS( 16 ),3410441.460000000428408,3446577.199999999720603,3403010.899999999441206,10260030.559999998658895
FS( 17 ),3378578.460000000428408,3440377.699999999254942,3426156.500000000000000,10245113.660000000149012
FS( 18 ),3385588.320000000298023,3445337.299999999348074,3476787.499999999534339,10307714.119999999180436
FS( 19 ),3408954.520000000018626,3448643.699999999254942,3505719.500000000000000,10363318.719999998807907
FS( 20 ),3433595.240000000223517,3450296.899999999906868,3500897.499999999534339,10384790.640000000596046
FS( 21 ),3464820.980000000447035,3450710.199999999254942,3545018.799999999813735,10460550.980000000447035
FS( 22 ),3458235.960000000428408,3447403.799999999348074,3538026.900000000372529,10443667.660000000149012
FS( 23 ),3446128.020000000018626,3428391.999999999534339,3541643.399999999441206,10416164.419999998062849
FS( 24 ),3435294.600000000093132,3418059.499999999534339,3563583.500000000465661,10416938.599999999627471
FS( 25 ),3467582.440000000409782,3442444.199999999720603,3439899.199999999720603,10349926.839999999850988
FS( 26 ),3478203.440000000409782,3415993.000000000000000,3484020.500000000000000,10378217.940000001341105
FS( 27 ),3481602.160000000614673,3385408.799999999348074,3452677.499999999534339,10319689.459999999031425
FS( 28 ),3506455.300000000279397,3404833.899999999441206,3473894.300000000279397,10385184.500000000000000
FS( 29 ),3496896.400000000372529,3389541.799999999813735,3507889.400000000372529,10394328.600000001490116
FS( 30 ),3499445.440000000409782,3435004.799999999348074,3533928.199999999720603,10468379.439999999478459
FS( 31 ),3449739.160000000614673,3449056.999999999534339,3559484.799999999813735,10458281.960000000894070
FS( 32 ),3416601.640000000596046,3455669.799999999348074,3564547.899999999906868,10436820.339999999850988
FS( 33 ),3359248.240000000223517,3482120.999999999534339,3524525.300000000279397,10365895.540000000968575
FS( 34 ),3351388.700000000651926,3471788.499999999534339,3559484.799999999813735,10382663.000000000000000
FS( 35 ),3381339.920000000391155,3471788.499999999534339,3554421.699999999720603,10407551.119999999180436
FS( 36 ),3415539.540000000037253,3527997.299999999348074,3598301.900000000372529,10541839.740000000223517
FS( 37 ),3511340.960000000428408,3547009.099999999161810,3617831.000000000465661,10676182.060000000521541
FS( 38 ),3469069.380000000353903,3482947.599999999161810,3595167.600000000558794,10547185.580000000074506
FS( 39 ),3534919.580000000074506,3435418.099999999627471,3606499.300000000279397,10576837.980000000447035
FS( 40 ),3521112.280000000260770,3441204.299999999813735,3599025.200000000186265,10561342.780000001192093
FS( 41 ),3537468.620000000577420,3424672.299999999348074,3617107.700000000186265,10579249.620000001043081
FS( 42 ),3553612.540000000037253,3439964.399999999906868,3618795.399999999906868,10612373.339999999850988
FS( 43 ),3540442.500000000000000,3458149.599999999627471,3635672.399999999906868,10634265.500000000000000
