訓練日期,20100408 - 20100709
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10819719.150000000372529
真實報酬,819719.150000000372529

夏普值報酬,0.073271915000000
夏普值風險,0.038198768997811
夏普值,1.918174771658189

預期報酬,16516.740414242220140
風險,444684.725162898306735
趨勢值,0.037142585476017
找到最佳解世代,2499
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,291715,
分配資金,10000000.000000000000000,
剩餘資金,9.799999998882413,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10075845.899999998509884,10075845.899999998509884
FS( 3 ),10096265.949999999254942,10096265.949999999254942
FS( 4 ),10102100.250000000000000,10102100.250000000000000
FS( 5 ),10239206.299999998882413,10239206.299999998882413
FS( 6 ),10373395.199999999254942,10373395.199999999254942
FS( 7 ),10309217.900000000372529,10309217.900000000372529
FS( 8 ),10297549.299999998882413,10297549.299999998882413
FS( 9 ),10192531.899999998509884,10192531.899999998509884
FS( 10 ),10802216.250000000000000,10802216.250000000000000
FS( 11 ),11105599.849999999627471,11105599.849999999627471
FS( 12 ),11286463.149999998509884,11286463.149999998509884
FS( 13 ),11231037.299999998882413,11231037.299999998882413
FS( 14 ),10918902.249999998137355,10918902.249999998137355
FS( 15 ),10901399.349999997764826,10901399.349999997764826
FS( 16 ),11196031.500000000000000,11196031.500000000000000
FS( 17 ),10880979.299999998882413,10880979.299999998882413
FS( 18 ),11099765.549999998882413,11099765.549999998882413
FS( 19 ),10778879.049999998882413,10778879.049999998882413
FS( 20 ),10668027.349999999627471,10668027.349999999627471
FS( 21 ),10262543.499999998137355,10262543.499999998137355
FS( 22 ),9827888.149999998509884,9827888.149999998509884
FS( 23 ),10583430.000000000000000,10583430.000000000000000
FS( 24 ),10691364.549999998882413,10691364.549999998882413
FS( 25 ),10921819.399999998509884,10921819.399999998509884
FS( 26 ),10767210.449999997392297,10767210.449999997392297
FS( 27 ),10577595.699999997392297,10577595.699999997392297
FS( 28 ),10595098.599999999627471,10595098.599999999627471
FS( 29 ),10516335.549999998882413,10516335.549999998882413
FS( 30 ),10350057.999999998137355,10350057.999999998137355
FS( 31 ),9909568.349999997764826,9909568.349999997764826
FS( 32 ),10099183.099999997764826,10099183.099999997764826
FS( 33 ),10282963.549999998882413,10282963.549999998882413
FS( 34 ),10218786.250000000000000,10218786.250000000000000
FS( 35 ),10172111.849999997764826,10172111.849999997764826
FS( 36 ),10557175.649999998509884,10557175.649999998509884
FS( 37 ),10705950.299999998882413,10705950.299999998882413
FS( 38 ),10869310.699999997392297,10869310.699999997392297
FS( 39 ),11000582.449999999254942,11000582.449999999254942
FS( 40 ),10965576.650000000372529,10965576.650000000372529
FS( 41 ),10668027.349999999627471,10668027.349999999627471
FS( 42 ),10457992.549999998882413,10457992.549999998882413
FS( 43 ),10390898.099999997764826,10390898.099999997764826
FS( 44 ),10134188.900000000372529,10134188.900000000372529
FS( 45 ),10440489.649999998509884,10440489.649999998509884
FS( 46 ),10565927.099999997764826,10565927.099999997764826
FS( 47 ),10598015.749999998137355,10598015.749999998137355
FS( 48 ),10822636.299999998882413,10822636.299999998882413
FS( 49 ),11137688.499999998137355,11137688.499999998137355
FS( 50 ),11330220.400000000372529,11330220.400000000372529
FS( 51 ),11420652.049999998882413,11420652.049999998882413
FS( 52 ),11260208.799999998882413,11260208.799999998882413
FS( 53 ),11411900.599999997764826,11411900.599999997764826
FS( 54 ),11292297.449999999254942,11292297.449999999254942
FS( 55 ),11210617.249999998137355,11210617.249999998137355
FS( 56 ),11114351.299999998882413,11114351.299999998882413
FS( 57 ),11181445.749999998137355,11181445.749999998137355
FS( 58 ),10676778.799999998882413,10676778.799999998882413
FS( 59 ),10481329.749999998137355,10481329.749999998137355
FS( 60 ),10355892.299999998882413,10355892.299999998882413
FS( 61 ),10291715.000000000000000,10291715.000000000000000
FS( 62 ),10361726.599999999627471,10361726.599999999627471
FS( 63 ),10778879.049999998882413,10778879.049999998882413
FS( 64 ),10755541.849999997764826,10755541.849999997764826
FS( 65 ),10819719.150000000372529,10819719.150000000372529
