訓練日期,20100302 - 20100602
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12637394.400000000372529
真實報酬,2637394.400000000372529

夏普值報酬,0.255039440000000
夏普值風險,0.065798106653147
夏普值,3.876090862985387

預期報酬,44708.188715101663547
風險,530802.476412405609153
趨勢值,0.084227543581326
找到最佳解世代,1509
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,335120,
分配資金,10000000.000000000000000,
剩餘資金,19.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10020107.199999999254942,10020107.199999999254942
FS( 3 ),10087131.199999999254942,10087131.199999999254942
FS( 4 ),10482572.799999998882413,10482572.799999998882413
FS( 5 ),10489275.199999999254942,10489275.199999999254942
FS( 6 ),10676942.399999998509884,10676942.399999998509884
FS( 7 ),10764073.599999997764826,10764073.599999997764826
FS( 8 ),10794234.400000000372529,10794234.400000000372529
FS( 9 ),10847853.599999997764826,10847853.599999997764826
FS( 10 ),10717156.799999998882413,10717156.799999998882413
FS( 11 ),10743966.400000000372529,10743966.400000000372529
FS( 12 ),10730561.599999999627471,10730561.599999999627471
FS( 13 ),10754020.000000000000000,10754020.000000000000000
FS( 14 ),10640079.199999999254942,10640079.199999999254942
FS( 15 ),10760722.399999998509884,10760722.399999998509884
FS( 16 ),10931633.599999997764826,10931633.599999997764826
FS( 17 ),10981901.599999999627471,10981901.599999999627471
FS( 18 ),10851204.800000000745058,10851204.800000000745058
FS( 19 ),11055628.000000000000000,11055628.000000000000000
FS( 20 ),11126003.200000001117587,11126003.200000001117587
FS( 21 ),11290211.999999998137355,11290211.999999998137355
FS( 22 ),11249997.599999999627471,11249997.599999999627471
FS( 23 ),11296914.400000000372529,11296914.400000000372529
FS( 24 ),11417557.599999999627471,11417557.599999999627471
FS( 25 ),11467825.599999999627471,11467825.599999999627471
FS( 26 ),11518093.599999997764826,11518093.599999997764826
FS( 27 ),11487932.799999998882413,11487932.799999998882413
FS( 28 ),11575063.999999998137355,11575063.999999998137355
FS( 29 ),11598522.399999998509884,11598522.399999998509884
FS( 30 ),11605224.800000000745058,11605224.800000000745058
FS( 31 ),11762731.199999999254942,11762731.199999999254942
FS( 32 ),11916886.400000000372529,11916886.400000000372529
FS( 33 ),11843160.000000000000000,11843160.000000000000000
FS( 34 ),11829755.199999997392297,11829755.199999997392297
FS( 35 ),11709111.999999998137355,11709111.999999998137355
FS( 36 ),12409512.799999998882413,12409512.799999998882413
FS( 37 ),12758037.599999999627471,12758037.599999999627471
FS( 38 ),12965811.999999998137355,12965811.999999998137355
FS( 39 ),12902139.199999999254942,12902139.199999999254942
FS( 40 ),12543560.799999998882413,12543560.799999998882413
FS( 41 ),12523453.599999997764826,12523453.599999997764826
FS( 42 ),12861924.800000000745058,12861924.800000000745058
FS( 43 ),12499995.199999997392297,12499995.199999997392297
FS( 44 ),12751335.199999997392297,12751335.199999997392297
FS( 45 ),12382703.200000001117587,12382703.200000001117587
FS( 46 ),12255357.599999999627471,12255357.599999999627471
FS( 47 ),11789540.799999998882413,11789540.799999998882413
FS( 48 ),11290211.999999998137355,11290211.999999998137355
FS( 49 ),12158172.799999998882413,12158172.799999998882413
FS( 50 ),12282167.199999999254942,12282167.199999999254942
FS( 51 ),12546911.999999998137355,12546911.999999998137355
FS( 52 ),12369298.399999998509884,12369298.399999998509884
FS( 53 ),12151470.399999998509884,12151470.399999998509884
FS( 54 ),12171577.599999999627471,12171577.599999999627471
FS( 55 ),12081095.199999997392297,12081095.199999997392297
FS( 56 ),11890076.799999998882413,11890076.799999998882413
FS( 57 ),11384045.599999999627471,11384045.599999999627471
FS( 58 ),11601873.599999997764826,11601873.599999997764826
FS( 59 ),11812999.199999999254942,11812999.199999999254942
FS( 60 ),11739272.799999998882413,11739272.799999998882413
FS( 61 ),11685653.599999997764826,11685653.599999997764826
FS( 62 ),12128011.999999998137355,12128011.999999998137355
FS( 63 ),12298923.200000001117587,12298923.200000001117587
FS( 64 ),12486590.399999998509884,12486590.399999998509884
FS( 65 ),12637394.400000000372529,12637394.400000000372529
