訓練日期,20110307 - 20110607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10880657.429999999701977
真實報酬,880657.429999999701977

夏普值報酬,0.079365743000000
夏普值風險,0.036985100702852
夏普值,2.145884193682376

預期報酬,19480.918759622054495
風險,140610.814866485423408
趨勢值,0.138544953161105
找到最佳解世代,2265
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,114390,254971,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.099999999627471,18.690000000409782,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5175016.700000000186265,5017847.970000000670552,10192864.670000001788139
FS( 3 ),5153282.599999999627471,5012748.550000000745058,10166031.150000000372529
FS( 4 ),5035460.900000000372529,4936257.250000000000000,9971718.150000000372529
FS( 5 ),5065202.299999999813735,4964304.060000000521541,10029506.359999999403954
FS( 6 ),5022877.999999999068677,5050994.200000000186265,10073872.199999999254942
FS( 7 ),4991992.699999999254942,5038245.650000000372529,10030238.349999999627471
FS( 8 ),4845573.500000000000000,4920958.990000000223517,9766532.490000000223517
FS( 9 ),4966826.899999999441206,5068842.169999999925494,10035669.070000000298023
FS( 10 ),5052619.399999999441206,5145333.470000000670552,10197952.870000001043081
FS( 11 ),5069777.899999999441206,5094339.270000000484288,10164117.169999999925494
FS( 12 ),5118965.599999999627471,5084140.430000000633299,10203106.030000001192093
FS( 13 ),5149850.900000000372529,5079041.010000000707805,10228891.910000000149012
FS( 14 ),5215053.200000000186265,5175929.990000000223517,10390983.190000001341105
FS( 15 ),5215053.200000000186265,5188678.540000000968575,10403731.740000002086163
FS( 16 ),5229923.899999999441206,5168280.860000000335276,10398204.759999999776483
FS( 17 ),5221916.599999999627471,5196327.669999999925494,10418244.269999999552965
FS( 18 ),5251657.999999999068677,5186128.830000000074506,10437786.829999998211861
FS( 19 ),5170441.099999999627471,5178479.700000000186265,10348920.800000000745058
FS( 20 ),5188743.500000000000000,5196327.669999999925494,10385071.169999999925494
FS( 21 ),5195606.899999999441206,5237123.030000000260770,10432729.929999999701977
FS( 22 ),5195606.899999999441206,5214175.640000000596046,10409782.539999999105930
FS( 23 ),5293982.299999999813735,5173380.280000000260770,10467362.580000000074506
FS( 24 ),5280255.499999999068677,5183579.120000000111759,10463834.619999999180436
FS( 25 ),5293982.299999999813735,5216725.350000000558794,10510707.650000000372529
FS( 26 ),5305421.299999999813735,5270269.260000000707805,10575690.560000000521541
FS( 27 ),5264240.900000000372529,5216725.350000000558794,10480966.250000000000000
FS( 28 ),5273392.099999999627471,5216725.350000000558794,10490117.449999999254942
FS( 29 ),5248226.299999999813735,5224374.480000000447035,10472600.780000001192093
FS( 30 ),5290550.599999999627471,5234573.320000000298023,10525123.919999999925494
FS( 31 ),5268816.500000000000000,5201427.089999999850988,10470243.589999999850988
FS( 32 ),5335162.699999999254942,5234573.320000000298023,10569736.019999999552965
FS( 33 ),5376343.099999999627471,5198877.380000000819564,10575220.480000000447035
FS( 34 ),5388926.000000000000000,5045894.780000000260770,10434820.780000001192093
FS( 35 ),5382062.599999999627471,5135134.630000000819564,10517197.230000000447035
FS( 36 ),5387782.099999999627471,5147883.180000000633299,10535665.280000001192093
FS( 37 ),5447264.899999999441206,5260070.419999999925494,10707335.320000000298023
FS( 38 ),5550215.900000000372529,5311064.620000000111759,10861280.519999999552965
FS( 39 ),5614274.299999999813735,5346760.560000000521541,10961034.859999999403954
FS( 40 ),5679476.599999999627471,5359509.110000000335276,11038985.710000000894070
FS( 41 ),5708074.099999999627471,5211625.930000000633299,10919700.030000001192093
FS( 42 ),5685196.099999999627471,5262620.130000000819564,10947816.230000000447035
FS( 43 ),5664605.900000000372529,5198877.380000000819564,10863483.280000001192093
FS( 44 ),5742391.099999999627471,5239672.740000000223517,10982063.839999999850988
FS( 45 ),5741247.199999999254942,5252421.290000000968575,10993668.490000000223517
FS( 46 ),5738959.399999999441206,5318713.750000000000000,11057673.149999998509884
FS( 47 ),5700066.799999999813735,5254971.000000000000000,10955037.800000000745058
FS( 48 ),5666893.699999999254942,5326362.880000000819564,10993256.580000000074506
FS( 49 ),5661174.200000000186265,5334012.010000000707805,10995186.210000000894070
FS( 50 ),5727520.399999999441206,5349310.270000000484288,11076830.669999999925494
FS( 51 ),5806449.499999999068677,5390105.630000000819564,11196555.129999998956919
FS( 52 ),5840766.500000000000000,5400304.470000000670552,11241070.970000000670552
FS( 53 ),5927702.899999999441206,5362058.820000000298023,11289761.719999998807907
