訓練日期,20110315 - 20110615
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10781851.779999999329448
真實報酬,781851.779999999329448

夏普值報酬,0.069485178000000
夏普值風險,0.033238436407790
夏普值,2.090506820101623

預期報酬,16871.322942934904859
風險,129508.400651171061327
趨勢值,0.130272035312810
找到最佳解世代,2335
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](2),PFE[20](8),
Stock#,JNJ[12](1),MCD[15](2),PFE[20](8),
張數,56999,44373,168690,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.479999999981374,33.239999999757856,18.599999999627471,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3286593.819999999832362,3256123.979999999515712,3255735.599999999627471,9798454.399999998509884
FS( 3 ),3313383.350000000093132,3257011.439999999944121,3353575.799999999348074,9923971.589999999850988
FS( 4 ),3338462.910000000149012,3238818.509999999310821,3404182.799999999348074,9981465.219999998807907
FS( 5 ),3353282.649999999906868,3272985.720000000204891,3370444.799999999813735,9996714.169999999925494
FS( 6 ),3351002.689999999944121,3277866.750000000000000,3363697.199999999720603,9992567.639999998733401
FS( 7 ),3347012.759999999776483,3307152.929999999701977,3360323.399999999906868,10014490.089999999850988
FS( 8 ),3364682.450000000186265,3324902.129999999888241,3424425.599999999627471,10114011.179999999701977
FS( 9 ),3361832.500000000000000,3339101.489999999757856,3432860.100000000093132,10133795.089999999850988
FS( 10 ),3376652.240000000223517,3328008.239999999757856,3419364.899999999441206,10124026.379999998956919
FS( 11 ),3375512.259999999776483,3344426.250000000000000,3437920.799999999348074,10157860.309999998658895
FS( 12 ),3384632.100000000093132,3363950.369999999646097,3431173.199999999720603,10179756.669999999925494
FS( 13 ),3377222.229999999981374,3376374.810000000055879,3426112.499999999534339,10179710.539999999105930
FS( 14 ),3390901.990000000223517,3371937.509999999310821,3437920.799999999348074,10200761.299999998882413
FS( 15 ),3428521.330000000074506,3389686.709999999962747,3464911.199999999254942,10283120.239999998360872
FS( 16 ),3408571.679999999701977,3399005.039999999571592,3449729.099999999627471,10257306.819999998435378
