訓練日期,20150623 - 20150923
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10516415.189999999478459
真實報酬,516415.189999999478459

夏普值報酬,0.042941519000000
夏普值風險,0.023357322838748
夏普值,1.838460653066072

預期報酬,8772.509592804144631
風險,225918.629940977232764
趨勢值,0.038830394797879
找到最佳解世代,2207
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,44177,93283,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,47.139999999664724,31.200000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4963333.089999999850988,4954291.330000000074506,9917624.419999999925494
FS( 3 ),4958473.619999999180436,4907649.830000000074506,9866123.449999999254942
FS( 4 ),4974377.339999999850988,5117536.580000000074506,10091913.919999999925494
FS( 5 ),4883372.719999999739230,5022387.920000000856817,9905760.640000000596046
FS( 6 ),4909437.149999999441206,5038246.030000000260770,9947683.179999999701977
FS( 7 ),4950963.529999999329448,5104476.959999999962747,10055440.489999998360872
FS( 8 ),4925340.869999999180436,5124999.219999999739230,10050340.089999999850988
FS( 9 ),4917830.779999999329448,5123133.560000000521541,10040964.339999999850988
FS( 10 ),4965541.939999999478459,5191230.150000000372529,10156772.089999999850988
FS( 11 ),4903694.139999999664724,5097014.320000000298023,10000708.460000000894070
FS( 12 ),4920481.399999999441206,5104476.959999999962747,10024958.359999999403954
FS( 13 ),4996465.839999999850988,5154849.780000000260770,10151315.620000001043081
FS( 14 ),5075984.439999999478459,5243468.629999999888241,10319453.070000000298023
FS( 15 ),5096305.859999999403954,5239737.310000000521541,10336043.169999999925494
FS( 16 ),5106024.799999999813735,5219215.050000000745058,10325239.850000001490116
FS( 17 ),5068474.349999999627471,5239737.310000000521541,10308211.660000000149012
FS( 18 ),5056988.330000000074506,5261192.400000000372529,10318180.730000000447035
FS( 19 ),5010160.709999999962747,5277050.509999999776483,10287211.219999998807907
FS( 20 ),5030040.359999999403954,5270520.700000000186265,10300561.059999998658895
FS( 21 ),5075984.439999999478459,5321826.349999999627471,10397810.789999999105930
FS( 22 ),5062289.569999999366701,5317162.200000000186265,10379451.769999999552965
FS( 23 ),5018112.569999999366701,5270520.700000000186265,10288633.269999999552965
FS( 24 ),4995140.529999999329448,5211752.410000000149012,10206892.939999999478459
FS( 25 ),5073333.819999999366701,5292908.620000000111759,10366242.439999999478459
FS( 26 ),5140924.629999999888241,5360072.379999999888241,10500997.009999999776483
FS( 27 ),5144900.559999999590218,5364736.530000000260770,10509637.089999999850988
FS( 28 ),5170081.449999999254942,5374064.830000000074506,10544146.279999999329448
FS( 29 ),5163896.669999999925494,5356341.060000000521541,10520237.730000000447035
FS( 30 ),5192169.949999999254942,5400184.070000000298023,10592354.019999999552965
FS( 31 ),5212933.139999999664724,5445892.740000000223517,10658825.879999998956919
FS( 32 ),5149318.259999999776483,5369400.680000000633299,10518718.940000001341105
FS( 33 ),5165663.750000000000000,5341415.780000000260770,10507079.530000001192093
FS( 34 ),5195262.339999999850988,5380594.640000000596046,10575856.980000000447035
FS( 35 ),5199238.269999999552965,5338617.290000000037253,10537855.559999998658895
FS( 36 ),5199238.269999999552965,5273319.190000000409782,10472557.460000000894070
FS( 37 ),5257993.679999999701977,5298505.599999999627471,10556499.279999999329448
FS( 38 ),5290242.889999999664724,5333953.140000000596046,10624196.030000001192093
FS( 39 ),5288034.040000000037253,5362870.870000000111759,10650904.910000000149012
FS( 40 ),5424982.739999999292195,5355408.229999999515712,10780390.969999998807907
FS( 41 ),5423215.660000000149012,5361938.040000000037253,10785153.699999999254942
FS( 42 ),5325142.719999999739230,5237871.650000000372529,10563014.370000001043081
FS( 43 ),5131647.459999999962747,4985074.719999999739230,10116722.179999999701977
FS( 44 ),4971726.719999999739230,4845150.219999999739230,9816876.939999999478459
FS( 45 ),4902368.830000000074506,4829292.110000000335276,9731660.940000001341105
FS( 46 ),5121486.750000000000000,5072760.740000000223517,10194247.490000000223517
FS( 47 ),5197912.959999999962747,5252796.930000000633299,10450709.890000000596046
FS( 48 ),5191728.179999999701977,5247199.950000000186265,10438928.129999998956919
FS( 49 ),5144900.559999999590218,5212685.240000000223517,10357585.800000000745058
FS( 50 ),4995140.529999999329448,5067163.759999999776483,10062304.289999999105930
FS( 51 ),5145784.099999999627471,5163245.250000000000000,10309029.349999999627471
FS( 52 ),5151085.339999999850988,5170707.890000000596046,10321793.230000000447035
FS( 53 ),5054779.479999999515712,5116603.750000000000000,10171383.230000000447035
FS( 54 ),5143575.250000000000000,5212685.240000000223517,10356260.490000000223517
FS( 55 ),5034899.830000000074506,5124066.390000000596046,10158966.220000000670552
FS( 56 ),5057871.869999999180436,5148319.969999999739230,10206191.839999999850988
FS( 57 ),5099840.019999999552965,5215483.729999999515712,10315323.750000000000000
FS( 58 ),5068474.349999999627471,5219215.050000000745058,10287689.400000000372529
FS( 59 ),5132531.000000000000000,5309699.560000000521541,10442230.560000000521541
FS( 60 ),5204981.279999999329448,5390855.770000000484288,10595837.050000000745058
FS( 61 ),5208957.209999999962747,5376863.320000000298023,10585820.530000001192093
FS( 62 ),5085703.379999999888241,5366602.190000000409782,10452305.570000000298023
FS( 63 ),5150201.799999999813735,5436564.440000000409782,10586766.240000000223517
FS( 64 ),5115743.739999999292195,5409512.370000000111759,10525256.109999999403954
FS( 65 ),5132089.229999999515712,5384325.959999999962747,10516415.189999999478459
