訓練日期,20181019 - 20190124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11055454.359999999403954
真實報酬,1055454.359999999403954

夏普值報酬,0.096845436000000
夏普值風險,0.024791133958545
夏普值,3.906454467227734

預期報酬,15494.278295200996581
風險,325447.566989121725783
趨勢值,0.047609138512069
找到最佳解世代,2273
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](2),PG[21](1),
Stock#,INTC[11](2),PG[21](1),
張數,113636,57273,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,16.000000000000000,67.100000000558794,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5114772.359999999403954,4959908.900000000372529,10074681.259999999776483
FS( 3 ),5056818.000000000000000,4991981.780000000260770,10048799.780000001192093
FS( 4 ),4820455.120000000111759,5123709.680000000633299,9944164.800000000745058
FS( 5 ),5035227.160000000149012,5097364.100000000558794,10132591.260000001639128
FS( 6 ),5192044.839999999850988,5032072.880000000819564,10224117.720000000670552
FS( 7 ),5159090.399999999441206,5053836.620000000111759,10212927.019999999552965
FS( 8 ),5427271.359999999403954,5108245.970000000670552,10535517.330000000074506
FS( 9 ),5327271.680000000633299,5079036.740000001154840,10406308.420000001788139
FS( 10 ),5479543.919999999925494,5131155.170000000856817,10610699.089999999850988
FS( 11 ),5353407.959999999962747,5143755.230000000447035,10497163.190000001341105
FS( 12 ),5451134.919999999925494,5223364.700000001117587,10674499.620000001043081
FS( 13 ),5369317.000000000000000,5241119.330000001005828,10610436.330000001937151
FS( 14 ),5536361.919999999925494,5228519.270000000484288,10764881.190000001341105
FS( 15 ),5567043.640000000596046,5232528.380000000819564,10799572.020000001415610
FS( 16 ),5467043.959999999962747,5292665.030000000260770,10759708.990000000223517
FS( 17 ),5301135.399999999441206,5309274.200000001117587,10610409.600000001490116
FS( 18 ),5385226.040000000037253,5353374.410000000149012,10738600.449999999254942
FS( 19 ),5351135.240000000223517,5354519.870000000111759,10705655.109999999403954
FS( 20 ),5467043.959999999962747,5373992.690000000409782,10841036.650000000372529
FS( 21 ),5548861.879999999888241,5373419.959999999962747,10922281.839999999850988
FS( 22 ),5454544.000000000000000,5343065.270000000484288,10797609.269999999552965
FS( 23 ),5385226.040000000037253,5274910.400000000372529,10660136.440000001341105
FS( 24 ),5344317.080000000074506,5235392.030000000260770,10579709.109999999403954
FS( 25 ),5288635.439999999478459,5242837.520000000484288,10531472.960000000894070
FS( 26 ),5392044.200000000186265,5265746.720000000670552,10657790.920000001788139
FS( 27 ),5462498.520000000484288,5310419.660000000149012,10772918.179999999701977
FS( 28 ),5552270.959999999962747,5327028.830000001005828,10879299.790000000968575
FS( 29 ),5420453.200000000186265,5316146.959999999962747,10736600.160000000149012
FS( 30 ),5603407.160000000149012,5412938.330000001005828,11016345.490000002086163
FS( 31 ),5696588.680000000633299,5344783.459999999962747,11041372.140000000596046
